index,parallelism_deepspeech,parallelism_ffmpeg-0,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_librosa,target,memory_queue,acquisition,terminated,feasible,ml_mape
51,4.0,4.0,2.0,8.0,6.0,-0.361694444,13/51/77//160/178/234//179/182/233//166/237/248//49/108/116//8/115/159//49/108/116//60/118/140//155/217/221//3/4/57//7/11/45//41/68/102//5/6/64//65/66/158//157/267/272//16/26//163/220/246//101/185/261//30/38/94,,False,True,
178,4.0,4.0,4.0,2.0,2.0,-0.674233264,13/51/77//160/178/234//179/182/233//166/237/248//49/108/116//8/115/159//49/108/116//60/118/140//155/217/221//3/4/57//7/11/45//41/68/102//5/6/64//65/66/158//157/267/272//16/26//163/220/246//101/185/261//30/38/94,,False,False,
179,4.0,4.0,2.0,2.0,2.0,-0.773426778,13/51/77//160/178/234//179/182/233//166/237/248//49/108/116//8/115/159//49/108/116//60/118/140//155/217/221//3/4/57//7/11/45//41/68/102//5/6/64//65/66/158//157/267/272//16/26//163/220/246//101/185/261//30/38/94,,False,False,
237,2.0,4.0,4.0,2.0,2.0,-0.970541667,13/51/77//160/178/234//179/182/233//166/237/248//49/108/116//8/115/159//49/108/116//60/118/140//155/217/221//3/4/57//7/11/45//41/68/102//5/6/64//65/66/158//157/267/272//16/26//163/220/246//101/185/261//30/38/94,,False,False,
116,2.0,2.0,2.0,4.0,4.0,-0.513097222,13/51/77//160/178/234//179/182/233//166/237/248//49/108/116//8/115/159//49/108/116//60/118/140//155/217/221//3/4/57//7/11/45//41/68/102//5/6/64//65/66/158//157/267/272//16/26//163/220/246//101/185/261//30/38/94,,False,True,
159,2.0,2.0,2.0,8.0,4.0,-0.50775,13/51/77//160/178/234//179/182/233//166/237/248//49/108/116//8/115/159//49/108/116//60/118/140//155/217/221//3/4/57//7/11/45//41/68/102//5/6/64//65/66/158//157/267/272//16/26//163/220/246//101/185/261//30/38/94,,False,True,
108,2.0,2.0,2.0,4.0,4.0,-0.457611111,13/51/77//160/178/234//179/182/233//166/237/248//49/108/116//8/115/159//49/108/116//60/118/140//155/217/221//3/4/57//7/11/45//41/68/102//5/6/64//65/66/158//157/267/272//16/26//163/220/246//101/185/261//30/38/94,,False,True,
140,2.0,2.0,4.0,6.0,6.0,-0.489888889,13/51/77//160/178/234//179/182/233//166/237/248//49/108/116//8/115/159//49/108/116//60/118/140//155/217/221//3/4/57//7/11/45//41/68/102//5/6/64//65/66/158//157/267/272//16/26//163/220/246//101/185/261//30/38/94,,False,True,
221,2.0,4.0,4.0,4.0,2.0,-0.581986111,13/51/77//160/178/234//179/182/233//166/237/248//49/108/116//8/115/159//49/108/116//60/118/140//155/217/221//3/4/57//7/11/45//41/68/102//5/6/64//65/66/158//157/267/272//16/26//163/220/246//101/185/261//30/38/94,,False,False,
3,4.0,4.0,4.0,8.0,6.0,-0.174361111,13/51/77//160/178/234//179/182/233//166/237/248//49/108/116//8/115/159//49/108/116//60/118/140//155/217/221//3/4/57//7/11/45//41/68/102//5/6/64//65/66/158//157/267/272//16/26//163/220/246//101/185/261//30/38/94,0.00991218376102972,False,True,2.377784086663197
7,4.0,4.0,4.0,8.0,4.0,-0.233569444,13/51/77//160/178/234//179/182/233//166/237/248//49/108/116//8/115/159//49/108/116//60/118/140//155/217/221//3/4/57//7/11/45//41/68/102//5/6/64//65/66/158//157/267/272//16/26//163/220/246//101/185/261//30/38/94,0.010526424626285965,False,True,0.21249140198028565
