index,parallelism_deepspeech,parallelism_ffmpeg-0,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_librosa,target,memory_queue,acquisition,terminated,feasible,ml_mape
259,4.0,2.0,2.0,2.0,2.0,-0.68475,,,False,False,
255,2.0,2.0,2.0,4.0,6.0,-0.638375,,,False,False,
246,4.0,2.0,4.0,2.0,6.0,-1.744666667,,,False,False,
171,4.0,4.0,2.0,2.0,6.0,-1.776849611,,,False,True,
79,4.0,4.0,2.0,6.0,6.0,-0.416763889,,,False,True,
124,2.0,2.0,4.0,4.0,6.0,-0.550736111,,,False,True,
161,2.0,2.0,2.0,2.0,2.0,-0.920423736,,,False,True,
125,2.0,4.0,4.0,6.0,2.0,-0.4634665,,,False,True,
71,4.0,4.0,2.0,8.0,4.0,-0.4445,,,False,True,
41,2.0,4.0,4.0,8.0,6.0,-0.336847361,,0.05223959436832319,False,True,0.12386425051721824
60,2.0,2.0,4.0,6.0,6.0,-0.347250847,,0.1509053410082615,False,True,0.5967562505928217
40,2.0,4.0,4.0,6.0,6.0,-0.354989264,,0.1554719603825108,False,True,0.16796563679276733
13,4.0,4.0,2.0,8.0,6.0,-0.298934014,,0.13343906801759764,False,True,0.20741461051106147
107,4.0,4.0,4.0,6.0,2.0,-0.446536125,,0.05761660776409773,False,True,0.1348879955836489
33,2.0,4.0,2.0,8.0,6.0,-0.326393083,,0.13408387846669798,False,True,0.6253268319999178
30,2.0,4.0,2.0,6.0,6.0,-0.328707986,,0.13363509773711502,False,True,0.2926170466533944
52,2.0,2.0,2.0,6.0,6.0,-0.341679014,,0.12384567785523413,False,True,0.6340258020076432
58,4.0,2.0,2.0,8.0,6.0,-0.368771528,,0.10256552960395388,False,True,0.8911760295750331
3,4.0,4.0,4.0,8.0,6.0,-0.174361111,,1.0,False,True,1.200223934579751
