index,parallelism_deepspeech,parallelism_ffmpeg-0,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_librosa,target,memory_queue,acquisition,terminated,feasible,ml_mape
69,4.0,2.0,2.0,8.0,6.0,-0.358575153,,,False,True,
123,4.0,2.0,2.0,6.0,2.0,-0.461257611,,,False,True,
232,2.0,4.0,2.0,2.0,2.0,-1.063930556,,,False,False,
219,2.0,4.0,2.0,6.0,2.0,-0.582208333,,,False,False,
269,4.0,4.0,2.0,8.0,2.0,-0.818444444,,,False,False,
6,4.0,4.0,4.0,6.0,6.0,-0.263958333,,,False,True,
6,4.0,4.0,4.0,6.0,6.0,-0.263958333,,,False,True,
248,2.0,4.0,4.0,2.0,2.0,-1.079555556,,,False,False,
269,4.0,4.0,2.0,8.0,2.0,-0.818444444,,,False,False,
203,2.0,2.0,4.0,8.0,2.0,-0.560458333,,0.13142714573201755,False,False,0.6915289022976466
65,4.0,2.0,4.0,8.0,6.0,-0.352691847,,0.31029341041018366,False,True,0.8307123597598105
41,2.0,4.0,4.0,8.0,6.0,-0.336847361,,0.13756741336386236,False,True,0.4709847745010651
31,4.0,2.0,4.0,6.0,6.0,-0.327348181,,0.31670469215423486,False,True,0.8982959127973722
3,4.0,4.0,4.0,8.0,6.0,-0.174361111,,0.39629015012199775,False,True,0.028894822626615052
13,4.0,4.0,2.0,8.0,6.0,-0.298934014,,0.3834762128635223,False,True,0.37791509634182974
55,4.0,2.0,2.0,6.0,6.0,-0.347265153,,0.31691162763555764,False,True,0.3700592584054929
29,4.0,4.0,2.0,6.0,6.0,-0.329223611,,0.29944935282189583,False,True,0.1867995387597703
40,2.0,4.0,4.0,6.0,6.0,-0.354989264,,0.27949384291368695,False,True,0.21155236348591844
59,4.0,2.0,4.0,8.0,4.0,-0.346334431,,0.1918702491543264,False,True,0.01265580155821452
