index,parallelism_deepspeech,parallelism_ffmpeg-0,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_librosa,target,memory_queue,acquisition,terminated,feasible,ml_mape
3,4.0,4.0,4.0,8.0,6.0,-0.174361111,,,False,True,
113,4.0,2.0,4.0,4.0,4.0,-0.496375,,,False,True,
14,4.0,4.0,4.0,4.0,4.0,-0.506810167,,,False,True,
219,2.0,4.0,2.0,6.0,2.0,-0.582208333,,,False,False,
223,2.0,2.0,2.0,2.0,2.0,-1.058027778,,,False,False,
158,4.0,2.0,4.0,8.0,6.0,-0.506138889,,,False,True,
246,4.0,2.0,4.0,2.0,6.0,-1.744666667,,,False,False,
50,4.0,2.0,2.0,6.0,4.0,-0.353336194,,,False,True,
210,4.0,2.0,2.0,2.0,6.0,-0.572237847,,,False,False,
5,4.0,4.0,4.0,6.0,6.0,-0.289680556,,0.029488466983537562,False,True,0.009986670513713257
16,4.0,4.0,4.0,6.0,4.0,-0.309360444,,0.9557404114445949,False,True,0.20885374511621696
18,4.0,4.0,2.0,6.0,4.0,-0.312747681,,0.8816514121665793,False,True,0.8025762369364827
29,4.0,4.0,2.0,6.0,6.0,-0.329223611,,0.9370535727262435,False,True,0.7110821557523822
41,2.0,4.0,4.0,8.0,6.0,-0.336847361,,0.9586752431310399,False,True,0.34809902539441034
7,4.0,4.0,4.0,8.0,4.0,-0.233569444,,0.9136337029265189,False,True,0.5549280455551542
25,2.0,4.0,4.0,8.0,4.0,-0.322285514,,0.8599279986817968,False,True,0.15121774306386515
13,4.0,4.0,2.0,8.0,6.0,-0.298934014,,0.8420748656289757,False,True,0.04554468313145515
21,4.0,4.0,2.0,8.0,4.0,-0.313295944,,0.8860786707592588,False,True,0.06557228118268184
33,2.0,4.0,2.0,8.0,6.0,-0.326393083,,0.9511185946758975,False,True,0.7280336844160149
