index,parallelism_deepspeech,parallelism_ffmpeg-0,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_librosa,target,memory_queue,acquisition,terminated,feasible,ml_mape
264,4.0,4.0,2.0,8.0,2.0,-0.718686361,,,False,False,
221,2.0,4.0,4.0,4.0,2.0,-0.581986111,,,False,False,
141,2.0,2.0,2.0,8.0,6.0,-0.486847222,,,False,True,
19,2.0,4.0,2.0,8.0,4.0,-0.314709528,,,False,True,
206,2.0,4.0,2.0,6.0,2.0,-0.564430556,,,False,False,
93,2.0,4.0,2.0,8.0,4.0,-0.449402778,,,False,True,
161,2.0,2.0,2.0,2.0,2.0,-0.920423736,,,False,True,
218,4.0,4.0,2.0,6.0,2.0,-0.581611111,,,False,False,
170,4.0,2.0,4.0,2.0,4.0,-1.748654097,,,False,True,
41,2.0,4.0,4.0,8.0,6.0,-0.336847361,,0.31968562442853854,False,True,0.07129744571282913
13,4.0,4.0,2.0,8.0,6.0,-0.298934014,,0.975752814359126,False,True,0.6125816471786971
30,2.0,4.0,2.0,6.0,6.0,-0.328707986,,0.9696084082880694,False,True,0.5203118162929676
33,2.0,4.0,2.0,8.0,6.0,-0.326393083,,0.9930794076506775,False,True,0.28759423939560846
180,2.0,4.0,2.0,2.0,6.0,-1.863021056,,0.9168847077484826,False,False,0.3476065570162275
65,4.0,2.0,4.0,8.0,6.0,-0.352691847,,0.9516914272580301,False,True,0.5075729147092224
43,2.0,2.0,4.0,6.0,4.0,-0.338625681,,0.9843538293966139,False,True,0.43490944974201035
192,4.0,2.0,2.0,8.0,4.0,-0.5575,,0.9530358959615204,False,False,0.16214853857425846
7,4.0,4.0,4.0,8.0,4.0,-0.233569444,,0.9784959178917264,False,True,1.0872279315696323
3,4.0,4.0,4.0,8.0,6.0,-0.174361111,,0.9573540634057371,False,True,0.3894358472192681
