index,parallelism_deepspeech,parallelism_ffmpeg-0,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_librosa,target,memory_queue,acquisition,terminated,feasible,ml_mape
233,4.0,4.0,2.0,2.0,2.0,-1.0745,179/182/233//17/50/149//42/124/126//52/130/146//40/90/103//56/194/251//75/168/186//128/265/271//169/236/240//3/4/57//65/66/158//13/51/77//7/11/45//41/68/102//5/6/64//157/267/272//25/92/97//21/71/74//22/37/96,,False,False,
149,4.0,2.0,2.0,6.0,4.0,-0.503263889,179/182/233//17/50/149//42/124/126//52/130/146//40/90/103//56/194/251//75/168/186//128/265/271//169/236/240//3/4/57//65/66/158//13/51/77//7/11/45//41/68/102//5/6/64//157/267/272//25/92/97//21/71/74//22/37/96,,False,True,
124,2.0,2.0,4.0,4.0,6.0,-0.550736111,179/182/233//17/50/149//42/124/126//52/130/146//40/90/103//56/194/251//75/168/186//128/265/271//169/236/240//3/4/57//65/66/158//13/51/77//7/11/45//41/68/102//5/6/64//157/267/272//25/92/97//21/71/74//22/37/96,,False,True,
130,2.0,2.0,2.0,6.0,6.0,-0.48275,179/182/233//17/50/149//42/124/126//52/130/146//40/90/103//56/194/251//75/168/186//128/265/271//169/236/240//3/4/57//65/66/158//13/51/77//7/11/45//41/68/102//5/6/64//157/267/272//25/92/97//21/71/74//22/37/96,,False,True,
40,2.0,4.0,4.0,6.0,6.0,-0.354989264,179/182/233//17/50/149//42/124/126//52/130/146//40/90/103//56/194/251//75/168/186//128/265/271//169/236/240//3/4/57//65/66/158//13/51/77//7/11/45//41/68/102//5/6/64//157/267/272//25/92/97//21/71/74//22/37/96,,False,True,
194,4.0,2.0,2.0,4.0,6.0,-0.529667778,179/182/233//17/50/149//42/124/126//52/130/146//40/90/103//56/194/251//75/168/186//128/265/271//169/236/240//3/4/57//65/66/158//13/51/77//7/11/45//41/68/102//5/6/64//157/267/272//25/92/97//21/71/74//22/37/96,,False,False,
186,2.0,2.0,4.0,6.0,2.0,-0.539194444,179/182/233//17/50/149//42/124/126//52/130/146//40/90/103//56/194/251//75/168/186//128/265/271//169/236/240//3/4/57//65/66/158//13/51/77//7/11/45//41/68/102//5/6/64//157/267/272//25/92/97//21/71/74//22/37/96,,False,False,
128,2.0,2.0,2.0,8.0,2.0,-0.468699931,179/182/233//17/50/149//42/124/126//52/130/146//40/90/103//56/194/251//75/168/186//128/265/271//169/236/240//3/4/57//65/66/158//13/51/77//7/11/45//41/68/102//5/6/64//157/267/272//25/92/97//21/71/74//22/37/96,,False,True,
240,4.0,2.0,4.0,2.0,2.0,-1.144777778,179/182/233//17/50/149//42/124/126//52/130/146//40/90/103//56/194/251//75/168/186//128/265/271//169/236/240//3/4/57//65/66/158//13/51/77//7/11/45//41/68/102//5/6/64//157/267/272//25/92/97//21/71/74//22/37/96,,False,False,
3,4.0,4.0,4.0,8.0,6.0,-0.174361111,179/182/233//17/50/149//42/124/126//52/130/146//40/90/103//56/194/251//75/168/186//128/265/271//169/236/240//3/4/57//65/66/158//13/51/77//7/11/45//41/68/102//5/6/64//157/267/272//25/92/97//21/71/74//22/37/96,0.06285740186300269,False,True,0.45419293364083124
65,4.0,2.0,4.0,8.0,6.0,-0.352691847,179/182/233//17/50/149//42/124/126//52/130/146//40/90/103//56/194/251//75/168/186//128/265/271//169/236/240//3/4/57//65/66/158//13/51/77//7/11/45//41/68/102//5/6/64//157/267/272//25/92/97//21/71/74//22/37/96,1.0,False,True,0.44436227356546226
13,4.0,4.0,2.0,8.0,6.0,-0.298934014,179/182/233//17/50/149//42/124/126//52/130/146//40/90/103//56/194/251//75/168/186//128/265/271//169/236/240//3/4/57//65/66/158//13/51/77//7/11/45//41/68/102//5/6/64//157/267/272//25/92/97//21/71/74//22/37/96,1.0,False,True,0.4852502024056685
7,4.0,4.0,4.0,8.0,4.0,-0.233569444,179/182/233//17/50/149//42/124/126//52/130/146//40/90/103//56/194/251//75/168/186//128/265/271//169/236/240//3/4/57//65/66/158//13/51/77//7/11/45//41/68/102//5/6/64//157/267/272//25/92/97//21/71/74//22/37/96,0.9981124690440162,False,True,0.2513007923403283
41,2.0,4.0,4.0,8.0,6.0,-0.336847361,179/182/233//17/50/149//42/124/126//52/130/146//40/90/103//56/194/251//75/168/186//128/265/271//169/236/240//3/4/57//65/66/158//13/51/77//7/11/45//41/68/102//5/6/64//157/267/272//25/92/97//21/71/74//22/37/96,1.0,False,True,0.3554310028994287
5,4.0,4.0,4.0,6.0,6.0,-0.289680556,179/182/233//17/50/149//42/124/126//52/130/146//40/90/103//56/194/251//75/168/186//128/265/271//169/236/240//3/4/57//65/66/158//13/51/77//7/11/45//41/68/102//5/6/64//157/267/272//25/92/97//21/71/74//22/37/96,0.953967387220107,False,True,0.5413050159418982
157,4.0,4.0,4.0,8.0,2.0,-0.507875,179/182/233//17/50/149//42/124/126//52/130/146//40/90/103//56/194/251//75/168/186//128/265/271//169/236/240//3/4/57//65/66/158//13/51/77//7/11/45//41/68/102//5/6/64//157/267/272//25/92/97//21/71/74//22/37/96,1.0,False,True,0.424463301536452
25,2.0,4.0,4.0,8.0,4.0,-0.322285514,179/182/233//17/50/149//42/124/126//52/130/146//40/90/103//56/194/251//75/168/186//128/265/271//169/236/240//3/4/57//65/66/158//13/51/77//7/11/45//41/68/102//5/6/64//157/267/272//25/92/97//21/71/74//22/37/96,0.9656565201000618,False,True,0.07785640563149218
21,4.0,4.0,2.0,8.0,4.0,-0.313295944,179/182/233//17/50/149//42/124/126//52/130/146//40/90/103//56/194/251//75/168/186//128/265/271//169/236/240//3/4/57//65/66/158//13/51/77//7/11/45//41/68/102//5/6/64//157/267/272//25/92/97//21/71/74//22/37/96,0.9128144625647199,False,True,0.11167312411783659
22,2.0,4.0,2.0,4.0,6.0,-0.377765889,179/182/233//17/50/149//42/124/126//52/130/146//40/90/103//56/194/251//75/168/186//128/265/271//169/236/240//3/4/57//65/66/158//13/51/77//7/11/45//41/68/102//5/6/64//157/267/272//25/92/97//21/71/74//22/37/96,1.0,False,True,0.5667739615047687
