index,parallelism_deepspeech,parallelism_ffmpeg-0,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_librosa,target,memory_queue,acquisition,terminated,feasible,ml_mape
42,2.0,2.0,4.0,4.0,6.0,-0.343127194,,,False,True,
172,2.0,4.0,2.0,2.0,4.0,-1.909765486,,,False,True,
28,2.0,4.0,4.0,4.0,4.0,-0.407666667,,,False,True,
136,4.0,2.0,4.0,6.0,6.0,-0.483944444,,,False,True,
66,4.0,2.0,4.0,8.0,6.0,-0.366388889,,,False,True,
152,2.0,2.0,4.0,4.0,2.0,-0.505361111,,,False,True,
224,2.0,4.0,2.0,2.0,2.0,-1.002263889,,,False,False,
95,2.0,4.0,2.0,4.0,4.0,-0.576430556,,,False,True,
194,4.0,2.0,2.0,4.0,6.0,-0.529667778,,,False,False,
53,2.0,2.0,4.0,4.0,4.0,-0.353006875,,0.09209943535044027,False,True,0.3849621627320899
19,2.0,4.0,2.0,8.0,4.0,-0.314709528,,0.5640351710333296,False,True,0.5404938380767396
60,2.0,2.0,4.0,6.0,6.0,-0.347250847,,0.676667433957875,False,True,0.6460972431471201
21,4.0,4.0,2.0,8.0,4.0,-0.313295944,,0.6840244173540011,False,True,0.1780405241690035
58,4.0,2.0,2.0,8.0,6.0,-0.368771528,,0.7044405974979964,False,True,0.6059241954741339
137,2.0,4.0,4.0,8.0,2.0,-0.471614069,,0.7235811879929069,False,True,0.25666087939072607
104,4.0,2.0,2.0,6.0,2.0,-0.445360833,,0.6934567894902881,False,True,0.07002659247042727
41,2.0,4.0,4.0,8.0,6.0,-0.336847361,,0.7133443837505244,False,True,0.568146516926235
35,2.0,4.0,2.0,6.0,4.0,-0.329550403,,0.8066015989805979,False,True,0.20517348822465895
114,2.0,4.0,2.0,6.0,2.0,-0.45505725,,0.7269884869623001,False,True,0.1536357769182359
