index,parallelism_deepspeech,parallelism_ffmpeg-0,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_librosa,target,memory_queue,acquisition,terminated,feasible,ml_mape
94,2.0,4.0,2.0,6.0,6.0,-0.453180556,,,False,True,
212,4.0,2.0,2.0,2.0,6.0,-1.265793236,,,False,False,
184,4.0,4.0,2.0,2.0,4.0,-1.912622528,,,False,False,
230,2.0,4.0,2.0,2.0,4.0,-2.073611111,,,False,False,
91,2.0,4.0,2.0,8.0,6.0,-0.442208333,,,False,True,
265,2.0,2.0,2.0,8.0,2.0,-0.723914528,,,False,False,
84,2.0,4.0,4.0,4.0,6.0,-0.990777778,,,False,True,
37,2.0,4.0,2.0,4.0,6.0,-0.4056085,,,False,True,
91,2.0,4.0,2.0,8.0,6.0,-0.442208333,,,False,True,
13,4.0,4.0,2.0,8.0,6.0,-0.298934014,,0.0976034044698143,False,True,0.053004967165425076
3,4.0,4.0,4.0,8.0,6.0,-0.174361111,,0.9161631870096172,False,True,2.2156735903439895
7,4.0,4.0,4.0,8.0,4.0,-0.233569444,,0.8330432211339927,False,True,0.4574944515187978
106,4.0,2.0,4.0,8.0,2.0,-0.456300083,,0.9226393335215188,False,True,0.15457666316513366
121,4.0,4.0,2.0,8.0,2.0,-0.475219681,,0.9430809131036795,False,True,0.321687863258795
41,2.0,4.0,4.0,8.0,6.0,-0.336847361,,0.9479515518290796,False,True,0.0032543186464607065
137,2.0,4.0,4.0,8.0,2.0,-0.471614069,,0.9668086735930663,False,True,0.5285375157792792
29,4.0,4.0,2.0,6.0,6.0,-0.329223611,,0.9516892014318299,False,True,0.12115384009588519
157,4.0,4.0,4.0,8.0,2.0,-0.507875,,1.0,False,True,0.5944433094312089
21,4.0,4.0,2.0,8.0,4.0,-0.313295944,,0.9723012883792638,False,True,0.13085382421061334
