index,parallelism_deepspeech,parallelism_ffmpeg-0,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_librosa,target,memory_queue,acquisition,terminated,feasible,ml_mape
256,2.0,4.0,2.0,4.0,2.0,-0.640430556,,,False,False,
245,4.0,4.0,4.0,2.0,6.0,-2.663833333,,,False,False,
26,4.0,4.0,4.0,6.0,4.0,-0.335936681,,,False,True,
4,4.0,4.0,4.0,8.0,6.0,-0.177944444,,,False,True,
96,2.0,4.0,2.0,4.0,6.0,-0.516527778,,,False,True,
122,4.0,2.0,2.0,6.0,6.0,-0.474069444,,,False,True,
31,4.0,2.0,4.0,6.0,6.0,-0.327348181,,,False,True,
147,2.0,2.0,4.0,8.0,4.0,-0.496416667,,,False,True,
3,4.0,4.0,4.0,8.0,6.0,-0.174361111,,,False,True,
33,2.0,4.0,2.0,8.0,6.0,-0.326393083,,1.2816573471263524,False,True,0.2809771983227101
101,4.0,2.0,4.0,6.0,2.0,-0.441108292,,0.9705791786325612,False,True,0.017506584337470283
3,4.0,4.0,4.0,8.0,6.0,-0.174361111,,1.0,False,True,0.0014449283082841986
40,2.0,4.0,4.0,6.0,6.0,-0.354989264,,0.9475543340206043,False,True,0.3859603625115914
47,2.0,2.0,4.0,8.0,6.0,-0.339389972,,0.9127548857298013,False,True,0.029382456963470596
3,4.0,4.0,4.0,8.0,6.0,-0.174361111,,1.0,False,True,0.0031376488750978968
35,2.0,4.0,2.0,6.0,4.0,-0.329550403,,0.885877004505808,False,True,0.7089998886729197
0,4.0,2.0,2.0,4.0,4.0,-0.478763889,,1.0,False,True,0.4271533879565818
43,2.0,2.0,4.0,6.0,4.0,-0.338625681,,0.8737082685789954,False,True,0.2712651325997179
41,2.0,4.0,4.0,8.0,6.0,-0.336847361,,0.8755708142455749,False,True,0.07390474808312587
