index,parallelism_deepspeech,parallelism_ffmpeg-0,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_librosa,target,memory_queue,acquisition,terminated,feasible,ml_mape
7,4.0,4.0,4.0,8.0,4.0,-0.233569444,,,False,True,
235,2.0,2.0,2.0,2.0,4.0,-1.583097222,,,False,False,
241,2.0,2.0,4.0,2.0,2.0,-1.150944444,,,False,False,
77,4.0,4.0,2.0,8.0,6.0,-0.411388889,,,False,True,
91,2.0,4.0,2.0,8.0,6.0,-0.442208333,,,False,True,
14,4.0,4.0,4.0,4.0,4.0,-0.506810167,,,False,True,
61,2.0,2.0,2.0,8.0,6.0,-0.3464265,,,False,True,
7,4.0,4.0,4.0,8.0,4.0,-0.233569444,,,False,True,
160,4.0,4.0,4.0,2.0,2.0,-0.833162361,,,False,True,
65,4.0,2.0,4.0,8.0,6.0,-0.352691847,,0.05818774736789771,False,True,1.4804367243674017
157,4.0,4.0,4.0,8.0,2.0,-0.507875,,0.03555749240916058,False,True,0.23120672721640287
5,4.0,4.0,4.0,6.0,6.0,-0.289680556,,0.03343453094003475,False,True,0.129475632727324
3,4.0,4.0,4.0,8.0,6.0,-0.174361111,,0.026817968715422698,False,True,0.8395447443059255
41,2.0,4.0,4.0,8.0,6.0,-0.336847361,,0.015800927823192753,False,True,0.8901059553413873
46,2.0,2.0,4.0,8.0,4.0,-0.341116875,,0.004482710263462222,False,True,0.049711463600669054
128,2.0,2.0,2.0,8.0,2.0,-0.468699931,,0.0028604335851750142,False,True,0.4596035496891976
16,4.0,4.0,4.0,6.0,4.0,-0.309360444,,0.002044610968583388,False,True,0.1626425754028965
25,2.0,4.0,4.0,8.0,4.0,-0.322285514,,0.0012721074827345426,False,True,0.22538095636588246
192,4.0,2.0,2.0,8.0,4.0,-0.5575,,0.0006671402892171451,False,False,0.06722025051279697
