index,parallelism_deepspeech,parallelism_ffmpeg-0,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_librosa,target,memory_queue,acquisition,terminated,feasible,ml_mape
178,4.0,4.0,4.0,2.0,2.0,-0.674233264,,,False,False,
187,4.0,2.0,2.0,4.0,2.0,-0.527723514,,,False,False,
188,2.0,2.0,4.0,4.0,2.0,-0.537317903,,,False,False,
88,2.0,4.0,2.0,4.0,4.0,-0.563819444,,,False,True,
74,4.0,4.0,2.0,8.0,4.0,-0.413611111,,,False,True,
200,4.0,2.0,4.0,4.0,2.0,-0.547041667,,,False,False,
97,2.0,4.0,4.0,8.0,4.0,-0.457888889,,,False,True,
20,4.0,4.0,2.0,4.0,4.0,-0.320928667,,,False,True,
14,4.0,4.0,4.0,4.0,4.0,-0.506810167,,,False,True,
128,2.0,2.0,2.0,8.0,2.0,-0.468699931,,-0.04906352814381471,False,True,0.45913654881267624
107,4.0,4.0,4.0,6.0,2.0,-0.446536125,,-0.03703792087449246,False,True,0.4279100226381976
169,4.0,2.0,4.0,2.0,2.0,-0.879925569,,-0.03560869679936757,False,True,0.17093319870909612
58,4.0,2.0,2.0,8.0,6.0,-0.368771528,,-0.00017116683023551136,False,True,0.546235254163505
59,4.0,2.0,4.0,8.0,4.0,-0.346334431,,-0.004766163249282251,False,True,0.4434982201141021
192,4.0,2.0,2.0,8.0,4.0,-0.5575,,-0.03186268272934404,False,False,0.18783382168739535
166,2.0,4.0,4.0,2.0,2.0,-0.686595319,,-0.03762663441536793,False,True,0.3358975557697116
61,2.0,2.0,2.0,8.0,6.0,-0.3464265,,-0.010706214858981947,False,True,0.6150978617808032
8,2.0,2.0,2.0,8.0,4.0,-0.240564167,,-0.03598090717363457,False,True,1.8604392304192623
106,4.0,2.0,4.0,8.0,2.0,-0.456300083,,-0.01833221417133064,False,True,0.9247593318208536
