index,parallelism_deepspeech,parallelism_ffmpeg-0,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_librosa,target,memory_queue,acquisition,terminated,feasible,ml_mape
24,4.0,4.0,2.0,4.0,4.0,-0.379202111,,,False,True,
261,4.0,2.0,4.0,6.0,2.0,-0.702819444,,,False,False,
43,2.0,2.0,4.0,6.0,4.0,-0.338625681,,,False,True,
59,4.0,2.0,4.0,8.0,4.0,-0.346334431,,,False,True,
125,2.0,4.0,4.0,6.0,2.0,-0.4634665,,,False,True,
105,2.0,4.0,2.0,8.0,4.0,-0.476013889,,,False,True,
19,2.0,4.0,2.0,8.0,4.0,-0.314709528,,,False,True,
17,4.0,2.0,2.0,6.0,4.0,-0.3125,,,False,True,
77,4.0,4.0,2.0,8.0,6.0,-0.411388889,,,False,True,
169,4.0,2.0,4.0,2.0,2.0,-0.879925569,,-0.02395223171721972,False,True,0.43097478014695445
106,4.0,2.0,4.0,8.0,2.0,-0.456300083,,-0.0011921241829882785,False,True,0.6476373880858913
87,4.0,2.0,4.0,4.0,2.0,-0.421543819,,-0.007755997448095425,False,True,0.8476266904022515
153,4.0,4.0,2.0,6.0,2.0,-0.487353861,,-0.020055069501797883,False,True,0.01644569562966777
30,2.0,4.0,2.0,6.0,6.0,-0.328707986,,-0.02923025355802188,False,True,0.4219945532760204
75,2.0,2.0,4.0,6.0,2.0,-0.391723917,,-0.03129953017422687,False,True,0.20698557247550733
7,4.0,4.0,4.0,8.0,4.0,-0.233569444,,-0.02826780178974515,False,True,2.351097150535664
109,4.0,2.0,2.0,4.0,2.0,-0.455934792,,-0.022876812818598463,False,True,0.18706460936409214
44,4.0,2.0,4.0,6.0,4.0,-0.349742236,,-0.029664500228580838,False,True,0.061964411241851224
35,2.0,4.0,2.0,6.0,4.0,-0.329550403,,-0.030909518359911473,False,True,0.15649758246821163
