index,parallelism_deepspeech,parallelism_ffmpeg-0,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_librosa,target,memory_queue,acquisition,terminated,feasible,ml_mape
255,2.0,2.0,2.0,4.0,6.0,-0.638375,,,False,False,
124,2.0,2.0,4.0,4.0,6.0,-0.550736111,,,False,True,
144,2.0,4.0,4.0,2.0,6.0,-2.553500542,,,False,True,
69,4.0,2.0,2.0,8.0,6.0,-0.358575153,,,False,True,
55,4.0,2.0,2.0,6.0,6.0,-0.347265153,,,False,True,
224,2.0,4.0,2.0,2.0,2.0,-1.002263889,,,False,False,
101,4.0,2.0,4.0,6.0,2.0,-0.441108292,,,False,True,
90,2.0,4.0,4.0,6.0,6.0,-0.589277778,,,False,True,
3,4.0,4.0,4.0,8.0,6.0,-0.174361111,,,False,True,
65,4.0,2.0,4.0,8.0,6.0,-0.352691847,,0.12876971975302526,False,True,0.5863431921074381
7,4.0,4.0,4.0,8.0,4.0,-0.233569444,,0.07881076087085184,False,True,0.011423124697685067
43,2.0,2.0,4.0,6.0,4.0,-0.338625681,,0.07461446010206824,False,True,0.8883594637781899
21,4.0,4.0,2.0,8.0,4.0,-0.313295944,,0.06345962684061178,False,True,0.3945936820500947
183,4.0,2.0,2.0,8.0,2.0,-0.525085903,,0.05559126077983143,False,False,0.12027291853081941
33,2.0,4.0,2.0,8.0,6.0,-0.326393083,,0.05453863927040092,False,True,1.0144980235605932
137,2.0,4.0,4.0,8.0,2.0,-0.471614069,,0.0525253135857059,False,True,0.6843869661150027
60,2.0,2.0,4.0,6.0,6.0,-0.347250847,,0.04445484060597493,False,True,0.47501349008697913
13,4.0,4.0,2.0,8.0,6.0,-0.298934014,,0.043606865208848086,False,True,0.22787207981530805
41,2.0,4.0,4.0,8.0,6.0,-0.336847361,,0.03265320978461923,False,True,0.4581604523672683
