index,parallelism_deepspeech,parallelism_ffmpeg-0,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_librosa,target,memory_queue,acquisition,terminated,feasible,ml_mape
96,2.0,4.0,2.0,4.0,6.0,-0.516527778,,,False,True,
130,2.0,2.0,2.0,6.0,6.0,-0.48275,,,False,True,
223,2.0,2.0,2.0,2.0,2.0,-1.058027778,,,False,False,
211,4.0,2.0,2.0,8.0,4.0,-0.55837625,,,False,False,
43,2.0,2.0,4.0,6.0,4.0,-0.338625681,,,False,True,
108,2.0,2.0,2.0,4.0,4.0,-0.457611111,,,False,True,
237,2.0,4.0,4.0,2.0,2.0,-0.970541667,,,False,False,
15,2.0,4.0,4.0,4.0,6.0,-0.782349653,,,False,True,
27,2.0,4.0,4.0,4.0,6.0,-0.852930556,,,False,True,
35,2.0,4.0,2.0,6.0,4.0,-0.329550403,,0.022837201909088122,False,True,0.38694926098961663
25,2.0,4.0,4.0,8.0,4.0,-0.322285514,,0.04651160908883938,False,True,0.6590546329478992
3,4.0,4.0,4.0,8.0,6.0,-0.174361111,,0.03760387465969576,False,True,0.9307805909867959
41,2.0,4.0,4.0,8.0,6.0,-0.336847361,,0.1227637394458362,False,True,0.6579746359995817
13,4.0,4.0,2.0,8.0,6.0,-0.298934014,,0.09579362539594233,False,True,0.06722808838606298
65,4.0,2.0,4.0,8.0,6.0,-0.352691847,,0.07498521197902946,False,True,0.39833186924885816
208,2.0,4.0,2.0,8.0,2.0,-0.562777778,,0.03591526227214647,False,False,0.5398101024137901
7,4.0,4.0,4.0,8.0,4.0,-0.233569444,,0.027705421631492626,False,True,0.028525551038647536
16,4.0,4.0,4.0,6.0,4.0,-0.309360444,,0.023020832354865475,False,True,0.13902472015297457
139,4.0,4.0,4.0,2.0,6.0,-2.581552792,,-0.0017354861853533475,False,True,1.3362964609463353
