index,parallelism_deepspeech,parallelism_ffmpeg-0,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_librosa,target,memory_queue,acquisition,terminated,feasible,ml_mape
168,2.0,2.0,4.0,6.0,2.0,-0.523680556,,,False,True,
237,2.0,4.0,4.0,2.0,2.0,-0.970541667,,,False,False,
174,2.0,2.0,2.0,2.0,4.0,-1.632116264,,,False,False,
51,4.0,4.0,2.0,8.0,6.0,-0.361694444,,,False,True,
202,2.0,2.0,2.0,4.0,2.0,-0.544842333,,,False,False,
28,2.0,4.0,4.0,4.0,4.0,-0.407666667,,,False,True,
192,4.0,2.0,2.0,8.0,4.0,-0.5575,,,False,False,
72,4.0,2.0,2.0,2.0,4.0,-0.389361375,,,False,True,
38,2.0,4.0,2.0,6.0,6.0,-0.332537986,,,False,True,
3,4.0,4.0,4.0,8.0,6.0,-0.174361111,,0.04947942518241651,False,True,1.1801264243341218
137,2.0,4.0,4.0,8.0,2.0,-0.471614069,,0.030777149964602044,False,True,0.2201233005422595
165,4.0,4.0,2.0,2.0,6.0,-1.700916667,,0.026727602450535307,False,True,0.49465735304644587
41,2.0,4.0,4.0,8.0,6.0,-0.336847361,,0.03458244054510443,False,True,1.0091011895772717
87,4.0,2.0,4.0,4.0,2.0,-0.421543819,,0.03517871995050101,False,True,0.6688983860401487
32,4.0,4.0,2.0,4.0,6.0,-0.345415417,,0.03302869764783652,False,True,0.17786864158339008
170,4.0,2.0,4.0,2.0,4.0,-1.748654097,,0.0352068857656645,False,True,0.35655340248839973
25,2.0,4.0,4.0,8.0,4.0,-0.322285514,,0.0368511317707924,False,True,0.18318981425108344
210,4.0,2.0,2.0,2.0,6.0,-0.572237847,,0.03625559802014962,False,False,0.35675465922576566
29,4.0,4.0,2.0,6.0,6.0,-0.329223611,,0.03279918640719017,False,True,0.24662806467587628
