index,parallelism_deepspeech,parallelism_ffmpeg-0,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_librosa,target,memory_queue,acquisition,terminated,feasible,ml_mape
3,4.0,4.0,4.0,8.0,6.0,-0.174361111,,,False,True,
175,2.0,2.0,4.0,2.0,4.0,-1.691752611,,,False,False,
123,4.0,2.0,2.0,6.0,2.0,-0.461257611,,,False,True,
254,2.0,2.0,2.0,2.0,6.0,-1.897097222,,,False,False,
140,2.0,2.0,4.0,6.0,6.0,-0.489888889,,,False,True,
7,4.0,4.0,4.0,8.0,4.0,-0.233569444,,,False,True,
256,2.0,4.0,2.0,4.0,2.0,-0.640430556,,,False,False,
259,4.0,2.0,2.0,2.0,2.0,-0.68475,,,False,False,
16,4.0,4.0,4.0,6.0,4.0,-0.309360444,,,False,True,
65,4.0,2.0,4.0,8.0,6.0,-0.352691847,,1.1439020597816152,False,True,0.47146756690474456
107,4.0,4.0,4.0,6.0,2.0,-0.446536125,,0.8406393029820629,False,True,0.16755119484461833
59,4.0,2.0,4.0,8.0,4.0,-0.346334431,,0.800133774919025,False,True,0.02027285710514136
5,4.0,4.0,4.0,6.0,6.0,-0.289680556,,0.7506946184176448,False,True,0.4933655250988778
40,2.0,4.0,4.0,6.0,6.0,-0.354989264,,0.6620887623470545,False,True,0.194695032186111
106,4.0,2.0,4.0,8.0,2.0,-0.456300083,,0.5415020322649036,False,True,0.1742561325151687
157,4.0,4.0,4.0,8.0,2.0,-0.507875,,0.5966898418530359,False,True,0.31632219792546995
101,4.0,2.0,4.0,6.0,2.0,-0.441108292,,0.5633057644228758,False,True,0.008745353712871926
15,2.0,4.0,4.0,4.0,6.0,-0.782349653,,0.4419125725512206,False,True,0.12707956704485646
44,4.0,2.0,4.0,6.0,4.0,-0.349742236,,0.5139605211452293,False,True,0.10954663195345472
