index,parallelism_deepspeech,parallelism_ffmpeg-0,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_librosa,target,memory_queue,acquisition,terminated,feasible,ml_mape
97,2.0,4.0,4.0,8.0,4.0,-0.457888889,,,False,True,
174,2.0,2.0,2.0,2.0,4.0,-1.632116264,,,False,False,
201,4.0,2.0,2.0,6.0,2.0,-0.548472222,,,False,False,
67,4.0,2.0,4.0,4.0,4.0,-0.356944444,,,False,True,
211,4.0,2.0,2.0,8.0,4.0,-0.55837625,,,False,False,
224,2.0,4.0,2.0,2.0,2.0,-1.002263889,,,False,False,
229,4.0,4.0,2.0,2.0,4.0,-2.081097222,,,False,False,
13,4.0,4.0,2.0,8.0,6.0,-0.298934014,,,False,True,
48,4.0,2.0,4.0,6.0,4.0,-0.342658708,,,False,True,
3,4.0,4.0,4.0,8.0,6.0,-0.174361111,,0.11531937336128927,False,True,0.08994517539444562
31,4.0,2.0,4.0,6.0,6.0,-0.327348181,,0.058070107472504344,False,True,0.4508225755130186
41,2.0,4.0,4.0,8.0,6.0,-0.336847361,,0.052935291207035634,False,True,0.13368000562483034
65,4.0,2.0,4.0,8.0,6.0,-0.352691847,,0.043644849144713,False,True,0.08927893616621177
75,2.0,2.0,4.0,6.0,2.0,-0.391723917,,0.03545326039089014,False,True,0.30390443242353127
87,4.0,2.0,4.0,4.0,2.0,-0.421543819,,0.03415150771574144,False,True,0.2868108310642149
5,4.0,4.0,4.0,6.0,6.0,-0.289680556,,0.0245885048024413,False,True,0.02795981978361131
157,4.0,4.0,4.0,8.0,2.0,-0.507875,,0.022363034851543385,False,True,0.18991031528660435
125,2.0,4.0,4.0,6.0,2.0,-0.4634665,,0.014981928739240492,False,True,0.04700887498973243
60,2.0,2.0,4.0,6.0,6.0,-0.347250847,,0.013140554724722657,False,True,0.01823356909976083
