index,parallelism_deepspeech,parallelism_ffmpeg-0,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_librosa,target,memory_queue,acquisition,terminated,feasible,ml_mape
252,2.0,2.0,2.0,4.0,2.0,-0.635083333,,,False,False,
182,4.0,4.0,2.0,2.0,2.0,-1.021298139,,,False,False,
96,2.0,4.0,2.0,4.0,6.0,-0.516527778,,,False,True,
89,2.0,4.0,4.0,4.0,4.0,-0.765861111,,,False,True,
111,2.0,2.0,4.0,4.0,4.0,-0.550722222,,,False,True,
87,4.0,2.0,4.0,4.0,2.0,-0.421543819,,,False,True,
179,4.0,4.0,2.0,2.0,2.0,-0.773426778,,,False,False,
259,4.0,2.0,2.0,2.0,2.0,-0.68475,,,False,False,
87,4.0,2.0,4.0,4.0,2.0,-0.421543819,,,False,True,
3,4.0,4.0,4.0,8.0,6.0,-0.174361111,,0.009883376845185057,False,True,6.351965295506997
5,4.0,4.0,4.0,6.0,6.0,-0.289680556,,0.0035231939236617694,False,True,0.6123897023826028
47,2.0,2.0,4.0,8.0,6.0,-0.339389972,,0.003698950947374947,False,True,0.07240698837803038
41,2.0,4.0,4.0,8.0,6.0,-0.336847361,,0.028892023674693915,False,True,0.17031058854230274
144,2.0,4.0,4.0,2.0,6.0,-2.553500542,,0.005122250871513499,False,True,0.2776461112332863
40,2.0,4.0,4.0,6.0,6.0,-0.354989264,,0.04739111890347531,False,True,0.03622043394065764
167,2.0,2.0,4.0,2.0,2.0,-0.826847028,,0.04715226822930162,False,True,0.09307765299613313
65,4.0,2.0,4.0,8.0,6.0,-0.352691847,,0.04208273482401279,False,True,0.40296449513439303
203,2.0,2.0,4.0,8.0,2.0,-0.560458333,,0.04240835529200216,False,False,0.2552097413478427
169,4.0,2.0,4.0,2.0,2.0,-0.879925569,,0.03880184347102271,False,True,0.08636575648924302
