index,parallelism_deepspeech,parallelism_ffmpeg-0,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_librosa,target,memory_queue,acquisition,terminated,feasible,ml_mape
147,2.0,2.0,4.0,8.0,4.0,-0.496416667,,,False,True,
212,4.0,2.0,2.0,2.0,6.0,-1.265793236,,,False,False,
214,2.0,4.0,2.0,4.0,2.0,-0.573271181,,,False,False,
114,2.0,4.0,2.0,6.0,2.0,-0.45505725,,,False,True,
160,4.0,4.0,4.0,2.0,2.0,-0.833162361,,,False,True,
1,4.0,2.0,2.0,4.0,4.0,-0.351947292,,,False,True,
189,2.0,2.0,4.0,2.0,6.0,-1.738330417,,,False,False,
90,2.0,4.0,4.0,6.0,6.0,-0.589277778,,,False,True,
161,2.0,2.0,2.0,2.0,2.0,-0.920423736,,,False,True,
17,4.0,2.0,2.0,6.0,4.0,-0.3125,,0.5445801028921557,False,True,0.24658711277249443
169,4.0,2.0,4.0,2.0,2.0,-0.879925569,,0.3427774332464341,False,True,0.4868777121996277
19,2.0,4.0,2.0,8.0,4.0,-0.314709528,,0.28410522294729196,False,True,0.16528574705246693
25,2.0,4.0,4.0,8.0,4.0,-0.322285514,,0.5909954293269398,False,True,0.31476065248111906
104,4.0,2.0,2.0,6.0,2.0,-0.445360833,,0.5754986181871464,False,True,0.3393294355355055
73,2.0,2.0,2.0,6.0,4.0,-0.397555556,,0.5425530339629577,False,True,0.1092116990198657
18,4.0,4.0,2.0,6.0,4.0,-0.312747681,,0.5639489640126458,False,True,0.03029440188386544
3,4.0,4.0,4.0,8.0,6.0,-0.174361111,,0.32964521824845416,False,True,0.004803222819008893
41,2.0,4.0,4.0,8.0,6.0,-0.336847361,,0.5733559185846604,False,True,0.10777214522696
7,4.0,4.0,4.0,8.0,4.0,-0.233569444,,0.5523294776694739,False,True,0.09166433740969233
