index,parallelism_deepspeech,parallelism_ffmpeg-0,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_librosa,target,memory_queue,acquisition,terminated,feasible,ml_mape
247,2.0,2.0,4.0,2.0,4.0,-1.706057556,,,False,False,
107,4.0,4.0,4.0,6.0,2.0,-0.446536125,,,False,True,
263,2.0,2.0,4.0,8.0,6.0,-0.730130069,,,False,False,
151,4.0,2.0,4.0,6.0,4.0,-0.502097222,,,False,True,
266,2.0,4.0,2.0,8.0,2.0,-0.745151792,,,False,False,
78,4.0,4.0,2.0,6.0,6.0,-0.430708333,,,False,True,
194,4.0,2.0,2.0,4.0,6.0,-0.529667778,,,False,False,
3,4.0,4.0,4.0,8.0,6.0,-0.174361111,,,False,True,
91,2.0,4.0,2.0,8.0,6.0,-0.442208333,,,False,True,
7,4.0,4.0,4.0,8.0,4.0,-0.233569444,,0.03850648100419919,False,True,0.7474345410333086
13,4.0,4.0,2.0,8.0,6.0,-0.298934014,,0.024479545302596942,False,True,0.04708871328076902
157,4.0,4.0,4.0,8.0,2.0,-0.507875,,0.004478083203170732,False,True,0.36703114808253384
0,4.0,2.0,2.0,4.0,4.0,-0.478763889,,-1.7976931348623157e+308,False,True,0.16108258915986395
5,4.0,4.0,4.0,6.0,6.0,-0.289680556,,-1.7976931348623157e+308,False,True,0.3805450324628146
58,4.0,2.0,2.0,8.0,6.0,-0.368771528,,0.0031989711881250374,False,True,0.5053354829024638
179,4.0,4.0,2.0,2.0,2.0,-0.773426778,,0.0021218786217176364,False,False,0.27735298292088584
8,2.0,2.0,2.0,8.0,4.0,-0.240564167,,-1.7976931348623157e+308,False,True,1.906403370182724
9,4.0,4.0,4.0,4.0,6.0,-0.68646125,,-1.7976931348623157e+308,False,True,1.143250684591403
73,2.0,2.0,2.0,6.0,4.0,-0.397555556,,0.00554534507911527,False,True,0.021655692247029717
