index,parallelism_deepspeech,parallelism_ffmpeg-0,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_librosa,target,memory_queue,acquisition,terminated,feasible,ml_mape
241,2.0,2.0,4.0,2.0,2.0,-1.150944444,,,False,False,
145,2.0,2.0,4.0,6.0,4.0,-0.503777778,,,False,True,
117,4.0,4.0,2.0,4.0,2.0,-0.462181681,,,False,True,
252,2.0,2.0,2.0,4.0,2.0,-0.635083333,,,False,False,
13,4.0,4.0,2.0,8.0,6.0,-0.298934014,,,False,True,
153,4.0,4.0,2.0,6.0,2.0,-0.487353861,,,False,True,
22,2.0,4.0,2.0,4.0,6.0,-0.377765889,,,False,True,
58,4.0,2.0,2.0,8.0,6.0,-0.368771528,,,False,True,
158,4.0,2.0,4.0,8.0,6.0,-0.506138889,,,False,True,
33,2.0,4.0,2.0,8.0,6.0,-0.326393083,,0.07479705844264316,False,True,0.9454379131746338
29,4.0,4.0,2.0,6.0,6.0,-0.329223611,,0.019357720925616727,False,True,0.11260293324174886
8,2.0,2.0,2.0,8.0,4.0,-0.240564167,,-0.022842668442247163,False,True,1.2894434134464945
128,2.0,2.0,2.0,8.0,2.0,-0.468699931,,0.002024264836633734,False,True,0.7265175631433592
52,2.0,2.0,2.0,6.0,6.0,-0.341679014,,-0.0027470425836948835,False,True,0.22115640388240865
21,4.0,4.0,2.0,8.0,4.0,-0.313295944,,-0.04299146984142135,False,True,0.24946640324565258
61,2.0,2.0,2.0,8.0,6.0,-0.3464265,,-0.09117394414622092,False,True,0.6286677951399565
35,2.0,4.0,2.0,6.0,4.0,-0.329550403,,-0.043020979008049576,False,True,0.24841456438946563
165,4.0,4.0,2.0,2.0,6.0,-1.700916667,,-0.07543146676913362,False,True,0.8861336996125365
157,4.0,4.0,4.0,8.0,2.0,-0.507875,,0.1593062853078196,False,True,0.7728380232021723
