index,parallelism_deepspeech,parallelism_ffmpeg-0,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_librosa,target,memory_queue,acquisition,terminated,feasible,ml_mape
138,4.0,4.0,4.0,2.0,4.0,-2.116722222,131/138/226//42/124/126//167/173/241//156/161/223//15/27/84//32/82/86//0/1/2//181/224/232//7/11/45//17/50/149//55/63/122//13/51/77//203//29/78/79//21/71/74//3/4/57//163/220/246//65/66/158//183/199/250,,False,True,
124,2.0,2.0,4.0,4.0,6.0,-0.550736111,131/138/226//42/124/126//167/173/241//156/161/223//15/27/84//32/82/86//0/1/2//181/224/232//7/11/45//17/50/149//55/63/122//13/51/77//203//29/78/79//21/71/74//3/4/57//163/220/246//65/66/158//183/199/250,,False,True,
173,2.0,2.0,4.0,2.0,2.0,-0.982603028,131/138/226//42/124/126//167/173/241//156/161/223//15/27/84//32/82/86//0/1/2//181/224/232//7/11/45//17/50/149//55/63/122//13/51/77//203//29/78/79//21/71/74//3/4/57//163/220/246//65/66/158//183/199/250,,False,True,
156,2.0,2.0,2.0,2.0,2.0,-0.8476465,131/138/226//42/124/126//167/173/241//156/161/223//15/27/84//32/82/86//0/1/2//181/224/232//7/11/45//17/50/149//55/63/122//13/51/77//203//29/78/79//21/71/74//3/4/57//163/220/246//65/66/158//183/199/250,,False,True,
15,2.0,4.0,4.0,4.0,6.0,-0.782349653,131/138/226//42/124/126//167/173/241//156/161/223//15/27/84//32/82/86//0/1/2//181/224/232//7/11/45//17/50/149//55/63/122//13/51/77//203//29/78/79//21/71/74//3/4/57//163/220/246//65/66/158//183/199/250,,False,True,
82,4.0,4.0,2.0,4.0,6.0,-0.523083333,131/138/226//42/124/126//167/173/241//156/161/223//15/27/84//32/82/86//0/1/2//181/224/232//7/11/45//17/50/149//55/63/122//13/51/77//203//29/78/79//21/71/74//3/4/57//163/220/246//65/66/158//183/199/250,,False,True,
0,4.0,2.0,2.0,4.0,4.0,-0.478763889,131/138/226//42/124/126//167/173/241//156/161/223//15/27/84//32/82/86//0/1/2//181/224/232//7/11/45//17/50/149//55/63/122//13/51/77//203//29/78/79//21/71/74//3/4/57//163/220/246//65/66/158//183/199/250,,False,True,
232,2.0,4.0,2.0,2.0,2.0,-1.063930556,131/138/226//42/124/126//167/173/241//156/161/223//15/27/84//32/82/86//0/1/2//181/224/232//7/11/45//17/50/149//55/63/122//13/51/77//203//29/78/79//21/71/74//3/4/57//163/220/246//65/66/158//183/199/250,,False,False,
11,4.0,4.0,4.0,8.0,4.0,-0.318486111,131/138/226//42/124/126//167/173/241//156/161/223//15/27/84//32/82/86//0/1/2//181/224/232//7/11/45//17/50/149//55/63/122//13/51/77//203//29/78/79//21/71/74//3/4/57//163/220/246//65/66/158//183/199/250,,False,True,
17,4.0,2.0,2.0,6.0,4.0,-0.3125,131/138/226//42/124/126//167/173/241//156/161/223//15/27/84//32/82/86//0/1/2//181/224/232//7/11/45//17/50/149//55/63/122//13/51/77//203//29/78/79//21/71/74//3/4/57//163/220/246//65/66/158//183/199/250,0.06517594012405294,False,True,0.5031627511355768
55,4.0,2.0,2.0,6.0,6.0,-0.347265153,131/138/226//42/124/126//167/173/241//156/161/223//15/27/84//32/82/86//0/1/2//181/224/232//7/11/45//17/50/149//55/63/122//13/51/77//203//29/78/79//21/71/74//3/4/57//163/220/246//65/66/158//183/199/250,0.08902261486998685,False,True,0.023164970313306776
13,4.0,4.0,2.0,8.0,6.0,-0.298934014,131/138/226//42/124/126//167/173/241//156/161/223//15/27/84//32/82/86//0/1/2//181/224/232//7/11/45//17/50/149//55/63/122//13/51/77//203//29/78/79//21/71/74//3/4/57//163/220/246//65/66/158//183/199/250,0.0800005505571439,False,True,1.0860354472873388
203,2.0,2.0,4.0,8.0,2.0,-0.560458333,131/138/226//42/124/126//167/173/241//156/161/223//15/27/84//32/82/86//0/1/2//181/224/232//7/11/45//17/50/149//55/63/122//13/51/77//203//29/78/79//21/71/74//3/4/57//163/220/246//65/66/158//183/199/250,0.07604697911079195,False,False,1.0717481819555124
29,4.0,4.0,2.0,6.0,6.0,-0.329223611,131/138/226//42/124/126//167/173/241//156/161/223//15/27/84//32/82/86//0/1/2//181/224/232//7/11/45//17/50/149//55/63/122//13/51/77//203//29/78/79//21/71/74//3/4/57//163/220/246//65/66/158//183/199/250,0.06558869320861019,False,True,0.05504434277034471
21,4.0,4.0,2.0,8.0,4.0,-0.313295944,131/138/226//42/124/126//167/173/241//156/161/223//15/27/84//32/82/86//0/1/2//181/224/232//7/11/45//17/50/149//55/63/122//13/51/77//203//29/78/79//21/71/74//3/4/57//163/220/246//65/66/158//183/199/250,0.06210736104169396,False,True,0.269520123971543
3,4.0,4.0,4.0,8.0,6.0,-0.174361111,131/138/226//42/124/126//167/173/241//156/161/223//15/27/84//32/82/86//0/1/2//181/224/232//7/11/45//17/50/149//55/63/122//13/51/77//203//29/78/79//21/71/74//3/4/57//163/220/246//65/66/158//183/199/250,0.05617485695890719,False,True,0.6661469133019249
163,4.0,2.0,4.0,2.0,6.0,-1.661284764,131/138/226//42/124/126//167/173/241//156/161/223//15/27/84//32/82/86//0/1/2//181/224/232//7/11/45//17/50/149//55/63/122//13/51/77//203//29/78/79//21/71/74//3/4/57//163/220/246//65/66/158//183/199/250,0.9133759435395264,False,True,0.07558562466461809
65,4.0,2.0,4.0,8.0,6.0,-0.352691847,131/138/226//42/124/126//167/173/241//156/161/223//15/27/84//32/82/86//0/1/2//181/224/232//7/11/45//17/50/149//55/63/122//13/51/77//203//29/78/79//21/71/74//3/4/57//163/220/246//65/66/158//183/199/250,0.02300192405879659,False,True,0.3860062564414096
183,4.0,2.0,2.0,8.0,2.0,-0.525085903,131/138/226//42/124/126//167/173/241//156/161/223//15/27/84//32/82/86//0/1/2//181/224/232//7/11/45//17/50/149//55/63/122//13/51/77//203//29/78/79//21/71/74//3/4/57//163/220/246//65/66/158//183/199/250,0.8917203142398893,False,False,0.5867963893775697
