index,parallelism_deepspeech,parallelism_ffmpeg-0,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_librosa,target,memory_queue,acquisition,terminated,feasible,ml_mape
216,2.0,4.0,4.0,6.0,2.0,-0.571856903,,,False,False,
189,2.0,2.0,4.0,2.0,6.0,-1.738330417,,,False,False,
51,4.0,4.0,2.0,8.0,6.0,-0.361694444,,,False,True,
95,2.0,4.0,2.0,4.0,4.0,-0.576430556,,,False,True,
82,4.0,4.0,2.0,4.0,6.0,-0.523083333,,,False,True,
137,2.0,4.0,4.0,8.0,2.0,-0.471614069,,,False,True,
153,4.0,4.0,2.0,6.0,2.0,-0.487353861,,,False,True,
52,2.0,2.0,2.0,6.0,6.0,-0.341679014,,,False,True,
28,2.0,4.0,4.0,4.0,4.0,-0.407666667,,,False,True,
47,2.0,2.0,4.0,8.0,6.0,-0.339389972,,0.062256200829089316,False,True,1.747430064210217
128,2.0,2.0,2.0,8.0,2.0,-0.468699931,,0.06454807351230687,False,True,0.5989187717785494
41,2.0,4.0,4.0,8.0,6.0,-0.336847361,,0.06181370375751298,False,True,1.324926404806664
180,2.0,4.0,2.0,2.0,6.0,-1.863021056,,0.06289712812337486,False,False,0.8916681968949631
61,2.0,2.0,2.0,8.0,6.0,-0.3464265,,0.1646324100320257,False,True,0.5453050702518502
29,4.0,4.0,2.0,6.0,6.0,-0.329223611,,0.15728508650519465,False,True,0.16368409733542535
55,4.0,2.0,2.0,6.0,6.0,-0.347265153,,0.13940352210497045,False,True,0.44665640915501736
18,4.0,4.0,2.0,6.0,4.0,-0.312747681,,0.13476523392661757,False,True,0.2715509038503357
8,2.0,2.0,2.0,8.0,4.0,-0.240564167,,0.11751100823047343,False,True,0.6483945399276841
208,2.0,4.0,2.0,8.0,2.0,-0.562777778,,0.8434759898320822,False,False,0.025295869420492834
