index,parallelism_deepspeech,parallelism_ffmpeg-0,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_librosa,target,memory_queue,acquisition,terminated,feasible,ml_mape
99,4.0,2.0,4.0,4.0,2.0,-0.439447347,87/99/200//152/188/260//128/265/271//72/112/150//52/130/146//9/10/85//56/194/251//175/247//189/242/253//55/63/122//101/185/261//58/69/120//32/82/86//29/78/79//13/51/77//21/71/74//153/162/218//65/66/158//18/34/76,,False,True,
188,2.0,2.0,4.0,4.0,2.0,-0.537317903,87/99/200//152/188/260//128/265/271//72/112/150//52/130/146//9/10/85//56/194/251//175/247//189/242/253//55/63/122//101/185/261//58/69/120//32/82/86//29/78/79//13/51/77//21/71/74//153/162/218//65/66/158//18/34/76,,False,False,
271,2.0,2.0,2.0,8.0,2.0,-0.844166667,87/99/200//152/188/260//128/265/271//72/112/150//52/130/146//9/10/85//56/194/251//175/247//189/242/253//55/63/122//101/185/261//58/69/120//32/82/86//29/78/79//13/51/77//21/71/74//153/162/218//65/66/158//18/34/76,,False,False,
112,4.0,2.0,2.0,2.0,4.0,-1.663708333,87/99/200//152/188/260//128/265/271//72/112/150//52/130/146//9/10/85//56/194/251//175/247//189/242/253//55/63/122//101/185/261//58/69/120//32/82/86//29/78/79//13/51/77//21/71/74//153/162/218//65/66/158//18/34/76,,False,True,
130,2.0,2.0,2.0,6.0,6.0,-0.48275,87/99/200//152/188/260//128/265/271//72/112/150//52/130/146//9/10/85//56/194/251//175/247//189/242/253//55/63/122//101/185/261//58/69/120//32/82/86//29/78/79//13/51/77//21/71/74//153/162/218//65/66/158//18/34/76,,False,True,
85,4.0,4.0,4.0,4.0,6.0,-1.020666667,87/99/200//152/188/260//128/265/271//72/112/150//52/130/146//9/10/85//56/194/251//175/247//189/242/253//55/63/122//101/185/261//58/69/120//32/82/86//29/78/79//13/51/77//21/71/74//153/162/218//65/66/158//18/34/76,,False,True,
56,4.0,2.0,2.0,4.0,6.0,-0.352285833,87/99/200//152/188/260//128/265/271//72/112/150//52/130/146//9/10/85//56/194/251//175/247//189/242/253//55/63/122//101/185/261//58/69/120//32/82/86//29/78/79//13/51/77//21/71/74//153/162/218//65/66/158//18/34/76,,False,True,
175,2.0,2.0,4.0,2.0,4.0,-1.691752611,87/99/200//152/188/260//128/265/271//72/112/150//52/130/146//9/10/85//56/194/251//175/247//189/242/253//55/63/122//101/185/261//58/69/120//32/82/86//29/78/79//13/51/77//21/71/74//153/162/218//65/66/158//18/34/76,,False,False,
242,2.0,2.0,4.0,2.0,6.0,-1.715388889,87/99/200//152/188/260//128/265/271//72/112/150//52/130/146//9/10/85//56/194/251//175/247//189/242/253//55/63/122//101/185/261//58/69/120//32/82/86//29/78/79//13/51/77//21/71/74//153/162/218//65/66/158//18/34/76,,False,False,
55,4.0,2.0,2.0,6.0,6.0,-0.347265153,87/99/200//152/188/260//128/265/271//72/112/150//52/130/146//9/10/85//56/194/251//175/247//189/242/253//55/63/122//101/185/261//58/69/120//32/82/86//29/78/79//13/51/77//21/71/74//153/162/218//65/66/158//18/34/76,0.09244484405500837,False,True,0.2687401993163139
101,4.0,2.0,4.0,6.0,2.0,-0.441108292,87/99/200//152/188/260//128/265/271//72/112/150//52/130/146//9/10/85//56/194/251//175/247//189/242/253//55/63/122//101/185/261//58/69/120//32/82/86//29/78/79//13/51/77//21/71/74//153/162/218//65/66/158//18/34/76,0.039400486327301504,False,True,0.34506777907713815
58,4.0,2.0,2.0,8.0,6.0,-0.368771528,87/99/200//152/188/260//128/265/271//72/112/150//52/130/146//9/10/85//56/194/251//175/247//189/242/253//55/63/122//101/185/261//58/69/120//32/82/86//29/78/79//13/51/77//21/71/74//153/162/218//65/66/158//18/34/76,0.02819185892249025,False,True,0.20108361207886677
32,4.0,4.0,2.0,4.0,6.0,-0.345415417,87/99/200//152/188/260//128/265/271//72/112/150//52/130/146//9/10/85//56/194/251//175/247//189/242/253//55/63/122//101/185/261//58/69/120//32/82/86//29/78/79//13/51/77//21/71/74//153/162/218//65/66/158//18/34/76,0.8510043933711424,False,True,0.3279987755028529
29,4.0,4.0,2.0,6.0,6.0,-0.329223611,87/99/200//152/188/260//128/265/271//72/112/150//52/130/146//9/10/85//56/194/251//175/247//189/242/253//55/63/122//101/185/261//58/69/120//32/82/86//29/78/79//13/51/77//21/71/74//153/162/218//65/66/158//18/34/76,0.06939868743412511,False,True,0.19193406872349433
