index,parallelism_deepspeech,parallelism_ffmpeg-0,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_librosa,target,memory_queue,acquisition,terminated,feasible,ml_mape
199,4.0,2.0,2.0,8.0,2.0,-0.558790042,,,False,False,
36,2.0,4.0,2.0,4.0,4.0,-0.359824042,,,False,True,
155,2.0,4.0,4.0,4.0,2.0,-0.489930597,,,False,True,
250,4.0,2.0,2.0,8.0,2.0,-0.634722222,,,False,False,
99,4.0,2.0,4.0,4.0,2.0,-0.439447347,,,False,True,
169,4.0,2.0,4.0,2.0,2.0,-0.879925569,,,False,True,
112,4.0,2.0,2.0,2.0,4.0,-1.663708333,,,False,True,
90,2.0,4.0,4.0,6.0,6.0,-0.589277778,,,False,True,
0,4.0,2.0,2.0,4.0,4.0,-0.478763889,,,False,True,
9,4.0,4.0,4.0,4.0,6.0,-0.68646125,,0.8238509241573818,False,True,1.0894152816435372
29,4.0,4.0,2.0,6.0,6.0,-0.329223611,,0.02240087950904889,False,True,0.34575236312034313
22,2.0,4.0,2.0,4.0,6.0,-0.377765889,,0.021858412575051066,False,True,0.27595324744348587
20,4.0,4.0,2.0,4.0,4.0,-0.320928667,,0.021917897641038707,False,True,0.28940035832087907
30,2.0,4.0,2.0,6.0,6.0,-0.328707986,,0.022484740621456424,False,True,0.35855270541345424
32,4.0,4.0,2.0,4.0,6.0,-0.345415417,,0.022665130066561137,False,True,0.20311420249381973
35,2.0,4.0,2.0,6.0,4.0,-0.329550403,,0.02212426104482754,False,True,0.022621123588982866
18,4.0,4.0,2.0,6.0,4.0,-0.312747681,,0.036850145182464995,False,True,0.04498840319096448
172,2.0,4.0,2.0,2.0,4.0,-1.909765486,,0.020491943465663295,False,True,0.3007975477235477
205,4.0,2.0,2.0,2.0,2.0,-0.561025153,,0.04208529613725233,False,False,0.17798092477725003
