index,parallelism_deepspeech,parallelism_ffmpeg-0,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_librosa,target,memory_queue,acquisition,terminated,feasible,ml_mape
56,4.0,2.0,2.0,4.0,6.0,-0.352285833,,,False,True,
8,2.0,2.0,2.0,8.0,4.0,-0.240564167,,,False,True,
137,2.0,4.0,4.0,8.0,2.0,-0.471614069,,,False,True,
156,2.0,2.0,2.0,2.0,2.0,-0.8476465,,,False,True,
261,4.0,2.0,4.0,6.0,2.0,-0.702819444,,,False,False,
145,2.0,2.0,4.0,6.0,4.0,-0.503777778,,,False,True,
80,4.0,4.0,4.0,4.0,4.0,-0.691569444,,,False,True,
74,4.0,4.0,2.0,8.0,4.0,-0.413611111,,,False,True,
106,4.0,2.0,4.0,8.0,2.0,-0.456300083,,,False,True,
61,2.0,2.0,2.0,8.0,6.0,-0.3464265,,0.013664524993827077,False,True,0.34380939613621503
128,2.0,2.0,2.0,8.0,2.0,-0.468699931,,0.006426897489550127,False,True,0.9038909236617227
192,4.0,2.0,2.0,8.0,4.0,-0.5575,,0.006087109963177178,False,False,0.8364710450045395
19,2.0,4.0,2.0,8.0,4.0,-0.314709528,,0.007872854485385456,False,True,0.4318835686533549
46,2.0,2.0,4.0,8.0,4.0,-0.341116875,,0.006813941366513126,False,True,0.8275574904055886
33,2.0,4.0,2.0,8.0,6.0,-0.326393083,,0.006839753846154533,False,True,0.9916332137538076
3,4.0,4.0,4.0,8.0,6.0,-0.174361111,,0.0045708596431297596,False,True,0.8504983323586971
41,2.0,4.0,4.0,8.0,6.0,-0.336847361,,0.0050654836358265615,False,True,0.43761179897482605
65,4.0,2.0,4.0,8.0,6.0,-0.352691847,,0.0025386308052547614,False,True,0.48948017104241404
5,4.0,4.0,4.0,6.0,6.0,-0.289680556,,0.0018770107796988646,False,True,0.5161240249020306
