index,parallelism_deepspeech,parallelism_ffmpeg-0,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_librosa,target,memory_queue,acquisition,terminated,feasible,ml_mape
241,2.0,2.0,4.0,2.0,2.0,-1.150944444,,,False,False,
145,2.0,2.0,4.0,6.0,4.0,-0.503777778,,,False,True,
117,4.0,4.0,2.0,4.0,2.0,-0.462181681,,,False,True,
252,2.0,2.0,2.0,4.0,2.0,-0.635083333,,,False,False,
13,4.0,4.0,2.0,8.0,6.0,-0.298934014,,,False,True,
153,4.0,4.0,2.0,6.0,2.0,-0.487353861,,,False,True,
22,2.0,4.0,2.0,4.0,6.0,-0.377765889,,,False,True,
58,4.0,2.0,2.0,8.0,6.0,-0.368771528,,,False,True,
158,4.0,2.0,4.0,8.0,6.0,-0.506138889,,,False,True,
33,2.0,4.0,2.0,8.0,6.0,-0.326393083,,0.06648301261350485,False,True,0.9454379131746338
29,4.0,4.0,2.0,6.0,6.0,-0.329223611,,0.013583576496695058,False,True,0.11260293324174886
128,2.0,2.0,2.0,8.0,2.0,-0.468699931,,-0.004165936863779237,False,True,0.15334140907465452
106,4.0,2.0,4.0,8.0,2.0,-0.456300083,,-0.007176052902569279,False,True,0.3556453145012835
170,4.0,2.0,4.0,2.0,4.0,-1.748654097,,-0.008075164086953154,False,True,0.6880495197496788
52,2.0,2.0,2.0,6.0,6.0,-0.341679014,,0.06959244210661299,False,True,0.2026257637940125
40,2.0,4.0,4.0,6.0,6.0,-0.354989264,,0.042101896027181465,False,True,0.10492102384714239
25,2.0,4.0,4.0,8.0,4.0,-0.322285514,,0.027278841862402533,False,True,0.7311776356731189
137,2.0,4.0,4.0,8.0,2.0,-0.471614069,,0.01806765580689242,False,True,0.5107095233143382
35,2.0,4.0,2.0,6.0,4.0,-0.329550403,,0.025226668783224014,False,True,0.8218214841002469
