index,parallelism_deepspeech,parallelism_ffmpeg-0,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_librosa,target,memory_queue,acquisition,terminated,feasible,ml_mape
259,4.0,2.0,2.0,2.0,2.0,-0.68475,205/222/259//110/190/255//163/220/246//165/171/231//29/78/79//42/124/126//156/161/223//125/213/216//21/71/74//40/90/103//3/4/57//59/62/142//65/66/158//7/11/45//43/133/145//13/51/77//25/92/97//203//104/123/201,,False,False,
255,2.0,2.0,2.0,4.0,6.0,-0.638375,205/222/259//110/190/255//163/220/246//165/171/231//29/78/79//42/124/126//156/161/223//125/213/216//21/71/74//40/90/103//3/4/57//59/62/142//65/66/158//7/11/45//43/133/145//13/51/77//25/92/97//203//104/123/201,,False,False,
246,4.0,2.0,4.0,2.0,6.0,-1.744666667,205/222/259//110/190/255//163/220/246//165/171/231//29/78/79//42/124/126//156/161/223//125/213/216//21/71/74//40/90/103//3/4/57//59/62/142//65/66/158//7/11/45//43/133/145//13/51/77//25/92/97//203//104/123/201,,False,False,
171,4.0,4.0,2.0,2.0,6.0,-1.776849611,205/222/259//110/190/255//163/220/246//165/171/231//29/78/79//42/124/126//156/161/223//125/213/216//21/71/74//40/90/103//3/4/57//59/62/142//65/66/158//7/11/45//43/133/145//13/51/77//25/92/97//203//104/123/201,,False,True,
79,4.0,4.0,2.0,6.0,6.0,-0.416763889,205/222/259//110/190/255//163/220/246//165/171/231//29/78/79//42/124/126//156/161/223//125/213/216//21/71/74//40/90/103//3/4/57//59/62/142//65/66/158//7/11/45//43/133/145//13/51/77//25/92/97//203//104/123/201,,False,True,
124,2.0,2.0,4.0,4.0,6.0,-0.550736111,205/222/259//110/190/255//163/220/246//165/171/231//29/78/79//42/124/126//156/161/223//125/213/216//21/71/74//40/90/103//3/4/57//59/62/142//65/66/158//7/11/45//43/133/145//13/51/77//25/92/97//203//104/123/201,,False,True,
161,2.0,2.0,2.0,2.0,2.0,-0.920423736,205/222/259//110/190/255//163/220/246//165/171/231//29/78/79//42/124/126//156/161/223//125/213/216//21/71/74//40/90/103//3/4/57//59/62/142//65/66/158//7/11/45//43/133/145//13/51/77//25/92/97//203//104/123/201,,False,True,
125,2.0,4.0,4.0,6.0,2.0,-0.4634665,205/222/259//110/190/255//163/220/246//165/171/231//29/78/79//42/124/126//156/161/223//125/213/216//21/71/74//40/90/103//3/4/57//59/62/142//65/66/158//7/11/45//43/133/145//13/51/77//25/92/97//203//104/123/201,,False,True,
71,4.0,4.0,2.0,8.0,4.0,-0.4445,205/222/259//110/190/255//163/220/246//165/171/231//29/78/79//42/124/126//156/161/223//125/213/216//21/71/74//40/90/103//3/4/57//59/62/142//65/66/158//7/11/45//43/133/145//13/51/77//25/92/97//203//104/123/201,,False,True,
40,2.0,4.0,4.0,6.0,6.0,-0.354989264,205/222/259//110/190/255//163/220/246//165/171/231//29/78/79//42/124/126//156/161/223//125/213/216//21/71/74//40/90/103//3/4/57//59/62/142//65/66/158//7/11/45//43/133/145//13/51/77//25/92/97//203//104/123/201,0.13554693927008074,False,True,0.29885803873354394
