index,parallelism_deepspeech,parallelism_ffmpeg-0,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_librosa,target,memory_queue,acquisition,terminated,feasible,ml_mape
66,4.0,2.0,4.0,8.0,6.0,-0.366388889,,,False,True,
35,2.0,4.0,2.0,6.0,4.0,-0.329550403,,,False,True,
32,4.0,4.0,2.0,4.0,6.0,-0.345415417,,,False,True,
166,2.0,4.0,4.0,2.0,2.0,-0.686595319,,,False,True,
152,2.0,2.0,4.0,4.0,2.0,-0.505361111,,,False,True,
249,4.0,2.0,4.0,2.0,4.0,-1.711277778,,,False,False,
73,2.0,2.0,2.0,6.0,4.0,-0.397555556,,,False,True,
67,4.0,2.0,4.0,4.0,4.0,-0.356944444,,,False,True,
87,4.0,2.0,4.0,4.0,2.0,-0.421543819,,,False,True,
17,4.0,2.0,2.0,6.0,4.0,-0.3125,,0.06464674461186366,False,True,0.6028493793583731
110,2.0,2.0,2.0,4.0,6.0,-0.468694444,,0.05848393463222127,False,True,0.3948709441492225
20,4.0,4.0,2.0,4.0,4.0,-0.320928667,,0.053398411283462836,False,True,0.48523171543700977
5,4.0,4.0,4.0,6.0,6.0,-0.289680556,,0.05411826634946816,False,True,0.3707774153400421
36,2.0,4.0,2.0,4.0,4.0,-0.359824042,,0.04818357632263039,False,True,0.23661294749713277
55,4.0,2.0,2.0,6.0,6.0,-0.347265153,,0.05534480579476832,False,True,0.41395040884935846
107,4.0,4.0,4.0,6.0,2.0,-0.446536125,,0.05182536929231455,False,True,0.23206353217266956
29,4.0,4.0,2.0,6.0,6.0,-0.329223611,,0.03732802910651124,False,True,0.5156064048586667
40,2.0,4.0,4.0,6.0,6.0,-0.354989264,,0.04310863666960325,False,True,0.7266102212287925
31,4.0,2.0,4.0,6.0,6.0,-0.327348181,,0.03820534109192612,False,True,0.048501374574856114
