index,parallelism_deepspeech,parallelism_ffmpeg-0,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_librosa,target,memory_queue,acquisition,terminated,feasible,ml_mape
15,2.0,4.0,4.0,4.0,6.0,-0.782349653,,,False,True,
42,2.0,2.0,4.0,4.0,6.0,-0.343127194,,,False,True,
230,2.0,4.0,2.0,2.0,4.0,-2.073611111,,,False,False,
84,2.0,4.0,4.0,4.0,6.0,-0.990777778,,,False,True,
131,4.0,4.0,4.0,2.0,4.0,-2.122924722,,,False,True,
7,4.0,4.0,4.0,8.0,4.0,-0.233569444,,,False,True,
160,4.0,4.0,4.0,2.0,2.0,-0.833162361,,,False,True,
61,2.0,2.0,2.0,8.0,6.0,-0.3464265,,,False,True,
195,2.0,4.0,2.0,4.0,2.0,-0.529499708,,,False,False,
65,4.0,2.0,4.0,8.0,6.0,-0.352691847,,0.49675389754275157,False,True,0.5765772474239153
137,2.0,4.0,4.0,8.0,2.0,-0.471614069,,0.5869231053960537,False,True,1.0463644997375696
157,4.0,4.0,4.0,8.0,2.0,-0.507875,,0.517848159782827,False,True,0.5361699105746635
41,2.0,4.0,4.0,8.0,6.0,-0.336847361,,0.5720907954129532,False,True,1.133367919580673
3,4.0,4.0,4.0,8.0,6.0,-0.174361111,,0.6151529836473237,False,True,0.08231433752662096
5,4.0,4.0,4.0,6.0,6.0,-0.289680556,,0.6057542884069163,False,True,0.5381370480943938
144,2.0,4.0,4.0,2.0,6.0,-2.553500542,,0.5689704212231377,False,True,0.09775857081031698
13,4.0,4.0,2.0,8.0,6.0,-0.298934014,,0.6999456056915103,False,True,1.0056000940794179
166,2.0,4.0,4.0,2.0,2.0,-0.686595319,,0.5734759577788916,False,True,0.4363879222228422
47,2.0,2.0,4.0,8.0,6.0,-0.339389972,,0.4193170267010927,False,True,0.28931874049090756
