index,parallelism_deepspeech,parallelism_ffmpeg-0,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_librosa,target,memory_queue,acquisition,terminated,feasible,ml_mape
80,4.0,4.0,4.0,4.0,4.0,-0.691569444,,,False,True,
7,4.0,4.0,4.0,8.0,4.0,-0.233569444,,,False,True,
100,2.0,4.0,2.0,6.0,4.0,-0.453569444,,,False,True,
185,4.0,2.0,4.0,6.0,2.0,-0.531611111,,,False,False,
8,2.0,2.0,2.0,8.0,4.0,-0.240564167,,,False,True,
203,2.0,2.0,4.0,8.0,2.0,-0.560458333,,,False,False,
200,4.0,2.0,4.0,4.0,2.0,-0.547041667,,,False,False,
127,2.0,2.0,2.0,8.0,6.0,-0.48025,,,False,True,
184,4.0,4.0,2.0,2.0,4.0,-1.912622528,,,False,False,
21,4.0,4.0,2.0,8.0,4.0,-0.313295944,,0.06442355963705171,False,True,1.1982032122039286
25,2.0,4.0,4.0,8.0,4.0,-0.322285514,,0.045990973631906434,False,True,0.0032538541464335307
3,4.0,4.0,4.0,8.0,6.0,-0.174361111,,0.03731085146431232,False,True,1.3697318479939375
5,4.0,4.0,4.0,6.0,6.0,-0.289680556,,0.02277147481336356,False,True,1.7663569610013141
65,4.0,2.0,4.0,8.0,6.0,-0.352691847,,0.01873528937368715,False,True,0.7924854787913761
41,2.0,4.0,4.0,8.0,6.0,-0.336847361,,0.014709248294324396,False,True,0.3887017594058747
13,4.0,4.0,2.0,8.0,6.0,-0.298934014,,0.01093067047926184,False,True,0.1462282125719532
43,2.0,2.0,4.0,6.0,4.0,-0.338625681,,0.007830969230389517,False,True,0.9535770933335357
125,2.0,4.0,4.0,6.0,2.0,-0.4634665,,0.005785737537984194,False,True,0.36400271123659106
16,4.0,4.0,4.0,6.0,4.0,-0.309360444,,0.00330873866045347,False,True,0.12014259635556
