index,parallelism_deepspeech,parallelism_ffmpeg-0,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_librosa,target,memory_queue,acquisition,terminated,feasible,ml_mape
82,4.0,4.0,2.0,4.0,6.0,-0.523083333,,,False,True,
169,4.0,2.0,4.0,2.0,2.0,-0.879925569,,,False,True,
172,2.0,4.0,2.0,2.0,4.0,-1.909765486,,,False,True,
44,4.0,2.0,4.0,6.0,4.0,-0.349742236,,,False,True,
19,2.0,4.0,2.0,8.0,4.0,-0.314709528,,,False,True,
111,2.0,2.0,4.0,4.0,4.0,-0.550722222,,,False,True,
261,4.0,2.0,4.0,6.0,2.0,-0.702819444,,,False,False,
14,4.0,4.0,4.0,4.0,4.0,-0.506810167,,,False,True,
193,4.0,2.0,4.0,8.0,2.0,-0.544234181,,,False,False,
58,4.0,2.0,2.0,8.0,6.0,-0.368771528,,0.5514728258893185,False,True,1.1809565611339876
65,4.0,2.0,4.0,8.0,6.0,-0.352691847,,0.38310347480652235,False,True,1.4664198629379674
192,4.0,2.0,2.0,8.0,4.0,-0.5575,,0.24755521678962406,False,False,0.9770103337005612
137,2.0,4.0,4.0,8.0,2.0,-0.471614069,,0.33413909000385233,False,True,1.2673329997172345
163,4.0,2.0,4.0,2.0,6.0,-1.661284764,,0.9708113506661873,False,True,1.1367012849198457
33,2.0,4.0,2.0,8.0,6.0,-0.326393083,,0.38574979639697754,False,True,0.49376925442606184
166,2.0,4.0,4.0,2.0,2.0,-0.686595319,,0.8944831725030783,False,True,0.45519441449060416
3,4.0,4.0,4.0,8.0,6.0,-0.174361111,,0.23883470791601447,False,True,0.06949612123212229
5,4.0,4.0,4.0,6.0,6.0,-0.289680556,,0.21312140047297137,False,True,0.7297719839783907
7,4.0,4.0,4.0,8.0,4.0,-0.233569444,,0.2042908112628931,False,True,0.6001121168062876
