index,parallelism_deepspeech,parallelism_ffmpeg-0,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_librosa,target,memory_queue,acquisition,terminated,feasible,ml_mape
269,4.0,4.0,2.0,8.0,2.0,-0.818444444,,,False,False,
37,2.0,4.0,2.0,4.0,6.0,-0.4056085,,,False,True,
14,4.0,4.0,4.0,4.0,4.0,-0.506810167,,,False,True,
88,2.0,4.0,2.0,4.0,4.0,-0.563819444,,,False,True,
254,2.0,2.0,2.0,2.0,6.0,-1.897097222,,,False,False,
222,4.0,2.0,2.0,2.0,2.0,-1.028465194,,,False,False,
30,2.0,4.0,2.0,6.0,6.0,-0.328707986,,,False,True,
57,4.0,4.0,4.0,8.0,6.0,-0.411472222,,,False,True,
166,2.0,4.0,4.0,2.0,2.0,-0.686595319,,,False,True,
33,2.0,4.0,2.0,8.0,6.0,-0.326393083,,0.035991545899504755,False,True,0.3109818660362357
180,2.0,4.0,2.0,2.0,6.0,-1.863021056,,0.027214425156697402,False,False,0.37050149738426225
40,2.0,4.0,4.0,6.0,6.0,-0.354989264,,0.8787656823633857,False,True,0.10073746607150054
13,4.0,4.0,2.0,8.0,6.0,-0.298934014,,0.08221293148789724,False,True,0.09339901273864164
15,2.0,4.0,4.0,4.0,6.0,-0.782349653,,0.030646001312631926,False,True,0.21504459451408092
29,4.0,4.0,2.0,6.0,6.0,-0.329223611,,0.03752431471092119,False,True,0.32091193060464146
41,2.0,4.0,4.0,8.0,6.0,-0.336847361,,0.07438312541196691,False,True,0.4872154924825301
40,2.0,4.0,4.0,6.0,6.0,-0.354989264,,0.782073546589186,False,True,0.11769697236518868
18,4.0,4.0,2.0,6.0,4.0,-0.312747681,,0.041547188551090804,False,True,0.4837187497299023
117,4.0,4.0,2.0,4.0,2.0,-0.462181681,,0.043277631836942915,False,True,0.2820924408006878
