index,parallelism_deepspeech,parallelism_ffmpeg-0,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_librosa,target,memory_queue,acquisition,terminated,feasible,ml_mape
261,4.0,2.0,4.0,6.0,2.0,-0.702819444,,,False,False,
202,2.0,2.0,2.0,4.0,2.0,-0.544842333,,,False,False,
124,2.0,2.0,4.0,4.0,6.0,-0.550736111,,,False,True,
163,4.0,2.0,4.0,2.0,6.0,-1.661284764,,,False,True,
100,2.0,4.0,2.0,6.0,4.0,-0.453569444,,,False,True,
77,4.0,4.0,2.0,8.0,6.0,-0.411388889,,,False,True,
237,2.0,4.0,4.0,2.0,2.0,-0.970541667,,,False,False,
225,2.0,2.0,2.0,2.0,6.0,-1.550319444,,,False,False,
78,4.0,4.0,2.0,6.0,6.0,-0.430708333,,,False,True,
18,4.0,4.0,2.0,6.0,4.0,-0.312747681,,0.3119775025216985,False,True,0.6470530494976475
21,4.0,4.0,2.0,8.0,4.0,-0.313295944,,0.49717009997365963,False,True,0.06484293908202152
33,2.0,4.0,2.0,8.0,6.0,-0.326393083,,0.31758034469442004,False,True,0.8567870155174317
153,4.0,4.0,2.0,6.0,2.0,-0.487353861,,0.3884489650082585,False,True,0.561989214719144
65,4.0,2.0,4.0,8.0,6.0,-0.352691847,,0.269546784450151,False,True,0.8726377664708616
30,2.0,4.0,2.0,6.0,6.0,-0.328707986,,0.3746747292128394,False,True,0.402892326192363
20,4.0,4.0,2.0,4.0,4.0,-0.320928667,,0.25476169084211364,False,True,0.29659265833638254
117,4.0,4.0,2.0,4.0,2.0,-0.462181681,,0.2964362398770989,False,True,0.14650083337741626
40,2.0,4.0,4.0,6.0,6.0,-0.354989264,,0.561437809394323,False,True,0.6074434468441482
5,4.0,4.0,4.0,6.0,6.0,-0.289680556,,0.3507769568740029,False,True,1.8752937058987362
