index,parallelism_deepspeech,parallelism_ffmpeg-0,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_librosa,target,memory_queue,acquisition,terminated,feasible,ml_mape
69,4.0,2.0,2.0,8.0,6.0,-0.358575153,58/69/120//181/224/232//195/214/256//55/63/122//139/154/245//5/6/64//109/132/187//152/188/260//54/67/113//44/48/151//3/4/57//13/51/77//41/68/102//60/118/140//7/11/45//107/119/197//21/71/74//73/274/275//65/66/158,,False,True,
232,2.0,4.0,2.0,2.0,2.0,-1.063930556,58/69/120//181/224/232//195/214/256//55/63/122//139/154/245//5/6/64//109/132/187//152/188/260//54/67/113//44/48/151//3/4/57//13/51/77//41/68/102//60/118/140//7/11/45//107/119/197//21/71/74//73/274/275//65/66/158,,False,False,
256,2.0,4.0,2.0,4.0,2.0,-0.640430556,58/69/120//181/224/232//195/214/256//55/63/122//139/154/245//5/6/64//109/132/187//152/188/260//54/67/113//44/48/151//3/4/57//13/51/77//41/68/102//60/118/140//7/11/45//107/119/197//21/71/74//73/274/275//65/66/158,,False,False,
55,4.0,2.0,2.0,6.0,6.0,-0.347265153,58/69/120//181/224/232//195/214/256//55/63/122//139/154/245//5/6/64//109/132/187//152/188/260//54/67/113//44/48/151//3/4/57//13/51/77//41/68/102//60/118/140//7/11/45//107/119/197//21/71/74//73/274/275//65/66/158,,False,True,
154,4.0,4.0,4.0,2.0,6.0,-2.677372167,58/69/120//181/224/232//195/214/256//55/63/122//139/154/245//5/6/64//109/132/187//152/188/260//54/67/113//44/48/151//3/4/57//13/51/77//41/68/102//60/118/140//7/11/45//107/119/197//21/71/74//73/274/275//65/66/158,,False,True,
6,4.0,4.0,4.0,6.0,6.0,-0.263958333,58/69/120//181/224/232//195/214/256//55/63/122//139/154/245//5/6/64//109/132/187//152/188/260//54/67/113//44/48/151//3/4/57//13/51/77//41/68/102//60/118/140//7/11/45//107/119/197//21/71/74//73/274/275//65/66/158,,False,True,
109,4.0,2.0,2.0,4.0,2.0,-0.455934792,58/69/120//181/224/232//195/214/256//55/63/122//139/154/245//5/6/64//109/132/187//152/188/260//54/67/113//44/48/151//3/4/57//13/51/77//41/68/102//60/118/140//7/11/45//107/119/197//21/71/74//73/274/275//65/66/158,,False,True,
152,2.0,2.0,4.0,4.0,2.0,-0.505361111,58/69/120//181/224/232//195/214/256//55/63/122//139/154/245//5/6/64//109/132/187//152/188/260//54/67/113//44/48/151//3/4/57//13/51/77//41/68/102//60/118/140//7/11/45//107/119/197//21/71/74//73/274/275//65/66/158,,False,True,
113,4.0,2.0,4.0,4.0,4.0,-0.496375,58/69/120//181/224/232//195/214/256//55/63/122//139/154/245//5/6/64//109/132/187//152/188/260//54/67/113//44/48/151//3/4/57//13/51/77//41/68/102//60/118/140//7/11/45//107/119/197//21/71/74//73/274/275//65/66/158,,False,True,
44,4.0,2.0,4.0,6.0,4.0,-0.349742236,58/69/120//181/224/232//195/214/256//55/63/122//139/154/245//5/6/64//109/132/187//152/188/260//54/67/113//44/48/151//3/4/57//13/51/77//41/68/102//60/118/140//7/11/45//107/119/197//21/71/74//73/274/275//65/66/158,0.18684892117744795,False,True,0.03228130484264489
