index,parallelism_deepspeech,parallelism_ffmpeg-0,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_librosa,target,memory_queue,acquisition,terminated,feasible,ml_mape
126,2.0,2.0,4.0,4.0,6.0,-0.556583333,,,False,True,
218,4.0,4.0,2.0,6.0,2.0,-0.581611111,,,False,False,
147,2.0,2.0,4.0,8.0,4.0,-0.496416667,,,False,True,
74,4.0,4.0,2.0,8.0,4.0,-0.413611111,,,False,True,
203,2.0,2.0,4.0,8.0,2.0,-0.560458333,,,False,False,
145,2.0,2.0,4.0,6.0,4.0,-0.503777778,,,False,True,
54,4.0,2.0,4.0,4.0,4.0,-0.355211889,,,False,True,
108,2.0,2.0,2.0,4.0,4.0,-0.457611111,,,False,True,
246,4.0,2.0,4.0,2.0,6.0,-1.744666667,,,False,False,
58,4.0,2.0,2.0,8.0,6.0,-0.368771528,,0.0575736237294651,False,True,1.9386809851388227
59,4.0,2.0,4.0,8.0,4.0,-0.346334431,,0.03788436933714869,False,True,0.541045039112749
33,2.0,4.0,2.0,8.0,6.0,-0.326393083,,0.06922204633282299,False,True,1.0078261513447924
192,4.0,2.0,2.0,8.0,4.0,-0.5575,,0.05852658973861177,False,False,0.5361548343737239
3,4.0,4.0,4.0,8.0,6.0,-0.174361111,,0.9887749356452735,False,True,0.6959079101221781
13,4.0,4.0,2.0,8.0,6.0,-0.298934014,,0.03961326342048802,False,True,0.6569526162953392
65,4.0,2.0,4.0,8.0,6.0,-0.352691847,,0.03403705783887533,False,True,0.36619344023920086
87,4.0,2.0,4.0,4.0,2.0,-0.421543819,,0.02704913634963496,False,True,0.4248603724544696
7,4.0,4.0,4.0,8.0,4.0,-0.233569444,,0.02065661712014686,False,True,0.03572034232600056
44,4.0,2.0,4.0,6.0,4.0,-0.349742236,,0.017696823997156764,False,True,0.02114290428077793
