index,parallelism_deepspeech,parallelism_ffmpeg-0,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_librosa,target,memory_queue,acquisition,terminated,feasible,ml_mape
146,2.0,2.0,2.0,6.0,6.0,-0.489805556,,,False,True,
60,2.0,2.0,4.0,6.0,6.0,-0.347250847,,,False,True,
80,4.0,4.0,4.0,4.0,4.0,-0.691569444,,,False,True,
127,2.0,2.0,2.0,8.0,6.0,-0.48025,,,False,True,
55,4.0,2.0,2.0,6.0,6.0,-0.347265153,,,False,True,
27,2.0,4.0,4.0,4.0,6.0,-0.852930556,,,False,True,
146,2.0,2.0,2.0,6.0,6.0,-0.489805556,,,False,True,
142,4.0,2.0,4.0,8.0,4.0,-0.48625,,,False,True,
117,4.0,4.0,2.0,4.0,2.0,-0.462181681,,,False,True,
180,2.0,4.0,2.0,2.0,6.0,-1.863021056,,-0.0,False,False,0.0519160944925193
3,4.0,4.0,4.0,8.0,6.0,-0.174361111,,0.38218973093410935,False,True,0.6065667878673581
121,4.0,4.0,2.0,8.0,2.0,-0.475219681,,0.33754719304211467,False,True,0.10103987647716917
41,2.0,4.0,4.0,8.0,6.0,-0.336847361,,0.2524272102215248,False,True,0.29842530231754333
13,4.0,4.0,2.0,8.0,6.0,-0.298934014,,0.19955923375472442,False,True,0.4053823669100249
125,2.0,4.0,4.0,6.0,2.0,-0.4634665,,0.15164131504340317,False,True,0.5748832730807844
104,4.0,2.0,2.0,6.0,2.0,-0.445360833,,0.12343548350533608,False,True,0.6300874853319429
65,4.0,2.0,4.0,8.0,6.0,-0.352691847,,0.07954060615784296,False,True,0.0627502657604061
5,4.0,4.0,4.0,6.0,6.0,-0.289680556,,0.05748884743441754,False,True,0.5455757000367815
87,4.0,2.0,4.0,4.0,2.0,-0.421543819,,0.013720342563200889,False,True,0.9228809886468725
