index,parallelism_deepspeech,parallelism_ffmpeg-0,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_librosa,target,memory_queue,acquisition,terminated,feasible,ml_mape
63,4.0,2.0,2.0,6.0,6.0,-0.363416389,55/63/122//198/202/252//36/88/95//160/178/234//23/28/89//21/71/74//41/68/102//172/230/244//13/51/77//107/119/197//117/268/273//114/206/219//31/70/136//3/4/57//35/81/100//5/6/64//30/38/94//40/90/103//18/34/76,,False,True,
198,2.0,2.0,2.0,4.0,2.0,-0.54725,55/63/122//198/202/252//36/88/95//160/178/234//23/28/89//21/71/74//41/68/102//172/230/244//13/51/77//107/119/197//117/268/273//114/206/219//31/70/136//3/4/57//35/81/100//5/6/64//30/38/94//40/90/103//18/34/76,,False,False,
88,2.0,4.0,2.0,4.0,4.0,-0.563819444,55/63/122//198/202/252//36/88/95//160/178/234//23/28/89//21/71/74//41/68/102//172/230/244//13/51/77//107/119/197//117/268/273//114/206/219//31/70/136//3/4/57//35/81/100//5/6/64//30/38/94//40/90/103//18/34/76,,False,True,
234,4.0,4.0,4.0,2.0,2.0,-0.777097222,55/63/122//198/202/252//36/88/95//160/178/234//23/28/89//21/71/74//41/68/102//172/230/244//13/51/77//107/119/197//117/268/273//114/206/219//31/70/136//3/4/57//35/81/100//5/6/64//30/38/94//40/90/103//18/34/76,,False,False,
89,2.0,4.0,4.0,4.0,4.0,-0.765861111,55/63/122//198/202/252//36/88/95//160/178/234//23/28/89//21/71/74//41/68/102//172/230/244//13/51/77//107/119/197//117/268/273//114/206/219//31/70/136//3/4/57//35/81/100//5/6/64//30/38/94//40/90/103//18/34/76,,False,True,
74,4.0,4.0,2.0,8.0,4.0,-0.413611111,55/63/122//198/202/252//36/88/95//160/178/234//23/28/89//21/71/74//41/68/102//172/230/244//13/51/77//107/119/197//117/268/273//114/206/219//31/70/136//3/4/57//35/81/100//5/6/64//30/38/94//40/90/103//18/34/76,,False,True,
41,2.0,4.0,4.0,8.0,6.0,-0.336847361,55/63/122//198/202/252//36/88/95//160/178/234//23/28/89//21/71/74//41/68/102//172/230/244//13/51/77//107/119/197//117/268/273//114/206/219//31/70/136//3/4/57//35/81/100//5/6/64//30/38/94//40/90/103//18/34/76,,False,True,
230,2.0,4.0,2.0,2.0,4.0,-2.073611111,55/63/122//198/202/252//36/88/95//160/178/234//23/28/89//21/71/74//41/68/102//172/230/244//13/51/77//107/119/197//117/268/273//114/206/219//31/70/136//3/4/57//35/81/100//5/6/64//30/38/94//40/90/103//18/34/76,,False,False,
51,4.0,4.0,2.0,8.0,6.0,-0.361694444,55/63/122//198/202/252//36/88/95//160/178/234//23/28/89//21/71/74//41/68/102//172/230/244//13/51/77//107/119/197//117/268/273//114/206/219//31/70/136//3/4/57//35/81/100//5/6/64//30/38/94//40/90/103//18/34/76,,False,True,
107,4.0,4.0,4.0,6.0,2.0,-0.446536125,55/63/122//198/202/252//36/88/95//160/178/234//23/28/89//21/71/74//41/68/102//172/230/244//13/51/77//107/119/197//117/268/273//114/206/219//31/70/136//3/4/57//35/81/100//5/6/64//30/38/94//40/90/103//18/34/76,0.07087701239662413,False,True,0.3762708702709157
117,4.0,4.0,2.0,4.0,2.0,-0.462181681,55/63/122//198/202/252//36/88/95//160/178/234//23/28/89//21/71/74//41/68/102//172/230/244//13/51/77//107/119/197//117/268/273//114/206/219//31/70/136//3/4/57//35/81/100//5/6/64//30/38/94//40/90/103//18/34/76,0.06282081920219137,False,True,0.13276476445413163
114,2.0,4.0,2.0,6.0,2.0,-0.45505725,55/63/122//198/202/252//36/88/95//160/178/234//23/28/89//21/71/74//41/68/102//172/230/244//13/51/77//107/119/197//117/268/273//114/206/219//31/70/136//3/4/57//35/81/100//5/6/64//30/38/94//40/90/103//18/34/76,0.061035562817832116,False,True,0.22150633516867582
31,4.0,2.0,4.0,6.0,6.0,-0.327348181,55/63/122//198/202/252//36/88/95//160/178/234//23/28/89//21/71/74//41/68/102//172/230/244//13/51/77//107/119/197//117/268/273//114/206/219//31/70/136//3/4/57//35/81/100//5/6/64//30/38/94//40/90/103//18/34/76,0.060116128649609066,False,True,0.2421022799333367
3,4.0,4.0,4.0,8.0,6.0,-0.174361111,55/63/122//198/202/252//36/88/95//160/178/234//23/28/89//21/71/74//41/68/102//172/230/244//13/51/77//107/119/197//117/268/273//114/206/219//31/70/136//3/4/57//35/81/100//5/6/64//30/38/94//40/90/103//18/34/76,0.07203922876228915,False,True,1.3241287721240844
35,2.0,4.0,2.0,6.0,4.0,-0.329550403,55/63/122//198/202/252//36/88/95//160/178/234//23/28/89//21/71/74//41/68/102//172/230/244//13/51/77//107/119/197//117/268/273//114/206/219//31/70/136//3/4/57//35/81/100//5/6/64//30/38/94//40/90/103//18/34/76,0.051525105761335614,False,True,0.26049607628309257
5,4.0,4.0,4.0,6.0,6.0,-0.289680556,55/63/122//198/202/252//36/88/95//160/178/234//23/28/89//21/71/74//41/68/102//172/230/244//13/51/77//107/119/197//117/268/273//114/206/219//31/70/136//3/4/57//35/81/100//5/6/64//30/38/94//40/90/103//18/34/76,0.03569707897569045,False,True,0.5643942295095588
30,2.0,4.0,2.0,6.0,6.0,-0.328707986,55/63/122//198/202/252//36/88/95//160/178/234//23/28/89//21/71/74//41/68/102//172/230/244//13/51/77//107/119/197//117/268/273//114/206/219//31/70/136//3/4/57//35/81/100//5/6/64//30/38/94//40/90/103//18/34/76,0.04019838106739878,False,True,0.36734309727020265
40,2.0,4.0,4.0,6.0,6.0,-0.354989264,55/63/122//198/202/252//36/88/95//160/178/234//23/28/89//21/71/74//41/68/102//172/230/244//13/51/77//107/119/197//117/268/273//114/206/219//31/70/136//3/4/57//35/81/100//5/6/64//30/38/94//40/90/103//18/34/76,0.8176934112933282,False,True,0.15468476832818448
18,4.0,4.0,2.0,6.0,4.0,-0.312747681,55/63/122//198/202/252//36/88/95//160/178/234//23/28/89//21/71/74//41/68/102//172/230/244//13/51/77//107/119/197//117/268/273//114/206/219//31/70/136//3/4/57//35/81/100//5/6/64//30/38/94//40/90/103//18/34/76,0.036719041908319615,False,True,0.058085184055657234
