index,parallelism_deepspeech,parallelism_ffmpeg-0,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_librosa,target,memory_queue,acquisition,terminated,feasible,ml_mape
121,4.0,4.0,2.0,8.0,2.0,-0.475219681,,,False,True,
168,2.0,2.0,4.0,6.0,2.0,-0.523680556,,,False,True,
17,4.0,2.0,2.0,6.0,4.0,-0.3125,,,False,True,
196,2.0,2.0,2.0,6.0,2.0,-0.53278925,,,False,False,
137,2.0,4.0,4.0,8.0,2.0,-0.471614069,,,False,True,
141,2.0,2.0,2.0,8.0,6.0,-0.486847222,,,False,True,
69,4.0,2.0,2.0,8.0,6.0,-0.358575153,,,False,True,
209,2.0,4.0,4.0,8.0,2.0,-0.569402778,,,False,False,
88,2.0,4.0,2.0,4.0,4.0,-0.563819444,,,False,True,
31,4.0,2.0,4.0,6.0,6.0,-0.327348181,,0.0007252066061723421,False,True,0.600659431306338
169,4.0,2.0,4.0,2.0,2.0,-0.879925569,,0.001658008381542995,False,True,0.5886924870569924
3,4.0,4.0,4.0,8.0,6.0,-0.174361111,,0.007080409277152402,False,True,0.43037887615884274
47,2.0,2.0,4.0,8.0,6.0,-0.339389972,,0.00203903349630578,False,True,0.16648672441895282
65,4.0,2.0,4.0,8.0,6.0,-0.352691847,,0.017675282723301378,False,True,0.31759109532619856
13,4.0,4.0,2.0,8.0,6.0,-0.298934014,,0.012263008580175514,False,True,0.411387166012041
5,4.0,4.0,4.0,6.0,6.0,-0.289680556,,0.011902788878156975,False,True,0.03988719402185789
107,4.0,4.0,4.0,6.0,2.0,-0.446536125,,0.9841051131878029,False,True,0.32763224757132287
41,2.0,4.0,4.0,8.0,6.0,-0.336847361,,0.014690173467241417,False,True,0.7419039207278222
207,2.0,2.0,2.0,2.0,6.0,-2.025200306,,0.00265974018783692,False,False,0.25000417482124215
