index,parallelism_deepspeech,parallelism_ffmpeg-0,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_librosa,target,memory_queue,acquisition,terminated,feasible,ml_mape
252,2.0,2.0,2.0,4.0,2.0,-0.635083333,,,False,False,
17,4.0,2.0,2.0,6.0,4.0,-0.3125,,,False,True,
166,2.0,4.0,4.0,2.0,2.0,-0.686595319,,,False,True,
3,4.0,4.0,4.0,8.0,6.0,-0.174361111,,,False,True,
269,4.0,4.0,2.0,8.0,2.0,-0.818444444,,,False,False,
91,2.0,4.0,2.0,8.0,6.0,-0.442208333,,,False,True,
162,4.0,4.0,2.0,6.0,2.0,-0.5013195,,,False,True,
86,4.0,4.0,2.0,4.0,6.0,-0.514958333,,,False,True,
214,2.0,4.0,2.0,4.0,2.0,-0.573271181,,,False,False,
128,2.0,2.0,2.0,8.0,2.0,-0.468699931,,-0.0,False,True,1.7457785350434631
189,2.0,2.0,4.0,2.0,6.0,-1.738330417,,-0.0,False,False,1.760418741524368
179,4.0,4.0,2.0,2.0,2.0,-0.773426778,,0.3789775917566246,False,False,1.672595907765707
65,4.0,2.0,4.0,8.0,6.0,-0.352691847,,0.4151363008173776,False,True,2.9075786926836362
41,2.0,4.0,4.0,8.0,6.0,-0.336847361,,0.5217132528218469,False,True,1.8218831259779753
61,2.0,2.0,2.0,8.0,6.0,-0.3464265,,0.30116547576862546,False,True,0.3609512943057398
16,4.0,4.0,4.0,6.0,4.0,-0.309360444,,0.263664574722185,False,True,0.038614812263100984
13,4.0,4.0,2.0,8.0,6.0,-0.298934014,,0.4163907729460697,False,True,0.10177102009282228
5,4.0,4.0,4.0,6.0,6.0,-0.289680556,,0.36972173959565685,False,True,0.7352976560260828
106,4.0,2.0,4.0,8.0,2.0,-0.456300083,,0.9646189282899477,False,True,1.6221053229782896
