index,parallelism_deepspeech,parallelism_ffmpeg-0,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_librosa,target,memory_queue,acquisition,terminated,feasible,ml_mape
268,4.0,4.0,2.0,4.0,2.0,-0.752026028,,,False,False,
267,4.0,4.0,4.0,8.0,2.0,-0.750095889,,,False,False,
91,2.0,4.0,2.0,8.0,6.0,-0.442208333,,,False,True,
8,2.0,2.0,2.0,8.0,4.0,-0.240564167,,,False,True,
236,4.0,2.0,4.0,2.0,2.0,-1.192458333,,,False,False,
89,2.0,4.0,4.0,4.0,4.0,-0.765861111,,,False,True,
17,4.0,2.0,2.0,6.0,4.0,-0.3125,,,False,True,
219,2.0,4.0,2.0,6.0,2.0,-0.582208333,,,False,False,
90,2.0,4.0,4.0,6.0,6.0,-0.589277778,,,False,True,
58,4.0,2.0,2.0,8.0,6.0,-0.368771528,,0.03231689703255527,False,True,0.9105136758828283
192,4.0,2.0,2.0,8.0,4.0,-0.5575,,0.9895624617146972,False,False,0.6387330935847163
73,2.0,2.0,2.0,6.0,4.0,-0.397555556,,0.9770041503572475,False,True,1.0502336573374615
55,4.0,2.0,2.0,6.0,6.0,-0.347265153,,0.8762168618878259,False,True,0.4900527018534615
61,2.0,2.0,2.0,8.0,6.0,-0.3464265,,0.8271640681298602,False,True,0.31112067988321185
46,2.0,2.0,4.0,8.0,4.0,-0.341116875,,0.9502528826158534,False,True,1.5516266767648508
47,2.0,2.0,4.0,8.0,6.0,-0.339389972,,0.8516558299559087,False,True,0.3663100102447657
3,4.0,4.0,4.0,8.0,6.0,-0.174361111,,0.8375072297051416,False,True,0.6416165678039778
65,4.0,2.0,4.0,8.0,6.0,-0.352691847,,0.8097163686619222,False,True,0.01291819016439004
29,4.0,4.0,2.0,6.0,6.0,-0.329223611,,0.7904010956870047,False,True,0.8131871532825955
