index,parallelism_deepspeech,parallelism_ffmpeg-0,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_librosa,target,memory_queue,acquisition,terminated,feasible,ml_mape
221,2.0,4.0,4.0,4.0,2.0,-0.581986111,,,False,False,
76,4.0,4.0,2.0,6.0,4.0,-0.409236111,,,False,True,
95,2.0,4.0,2.0,4.0,4.0,-0.576430556,,,False,True,
125,2.0,4.0,4.0,6.0,2.0,-0.4634665,,,False,True,
97,2.0,4.0,4.0,8.0,4.0,-0.457888889,,,False,True,
213,2.0,4.0,4.0,6.0,2.0,-0.56625,,,False,False,
124,2.0,2.0,4.0,4.0,6.0,-0.550736111,,,False,True,
72,4.0,2.0,2.0,2.0,4.0,-0.389361375,,,False,True,
180,2.0,4.0,2.0,2.0,6.0,-1.863021056,,,False,False,
61,2.0,2.0,2.0,8.0,6.0,-0.3464265,,0.4659250441126621,False,True,0.8595533498533711
198,2.0,2.0,2.0,4.0,2.0,-0.54725,,0.9998375802488872,False,False,0.3803568012658288
55,4.0,2.0,2.0,6.0,6.0,-0.347265153,,0.9829192943516822,False,True,0.22259195002555518
33,2.0,4.0,2.0,8.0,6.0,-0.326393083,,1.0,False,True,0.38841998667205335
47,2.0,2.0,4.0,8.0,6.0,-0.339389972,,0.9933286465421323,False,True,0.03903893398857136
208,2.0,4.0,2.0,8.0,2.0,-0.562777778,,0.9632940428458798,False,False,0.30602533321930153
117,4.0,4.0,2.0,4.0,2.0,-0.462181681,,0.9627959437967224,False,True,0.19653181502479225
52,2.0,2.0,2.0,6.0,6.0,-0.341679014,,0.954859218900044,False,True,0.0017467935658648937
31,4.0,2.0,4.0,6.0,6.0,-0.327348181,,0.9481736252150434,False,True,0.24015051367780205
60,2.0,2.0,4.0,6.0,6.0,-0.347250847,,0.9018221120767802,False,True,0.11982596314535601
