index,parallelism_deepspeech,parallelism_ffmpeg-0,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_librosa,target,memory_queue,acquisition,terminated,feasible,ml_mape
134,4.0,4.0,4.0,4.0,2.0,-0.472590528,129/134/204//195/214/256//43/133/145//19/93/105//169/236/240//104/123/201//5/6/64//46/147/148//121/264/269//16/26//3/4/57//41/68/102//13/51/77//58/69/120//7/11/45//22/37/96//29/78/79//157/267/272//52/130/146,,False,True,
195,2.0,4.0,2.0,4.0,2.0,-0.529499708,129/134/204//195/214/256//43/133/145//19/93/105//169/236/240//104/123/201//5/6/64//46/147/148//121/264/269//16/26//3/4/57//41/68/102//13/51/77//58/69/120//7/11/45//22/37/96//29/78/79//157/267/272//52/130/146,,False,False,
133,2.0,2.0,4.0,6.0,4.0,-0.483902778,129/134/204//195/214/256//43/133/145//19/93/105//169/236/240//104/123/201//5/6/64//46/147/148//121/264/269//16/26//3/4/57//41/68/102//13/51/77//58/69/120//7/11/45//22/37/96//29/78/79//157/267/272//52/130/146,,False,True,
93,2.0,4.0,2.0,8.0,4.0,-0.449402778,129/134/204//195/214/256//43/133/145//19/93/105//169/236/240//104/123/201//5/6/64//46/147/148//121/264/269//16/26//3/4/57//41/68/102//13/51/77//58/69/120//7/11/45//22/37/96//29/78/79//157/267/272//52/130/146,,False,True,
240,4.0,2.0,4.0,2.0,2.0,-1.144777778,129/134/204//195/214/256//43/133/145//19/93/105//169/236/240//104/123/201//5/6/64//46/147/148//121/264/269//16/26//3/4/57//41/68/102//13/51/77//58/69/120//7/11/45//22/37/96//29/78/79//157/267/272//52/130/146,,False,False,
123,4.0,2.0,2.0,6.0,2.0,-0.461257611,129/134/204//195/214/256//43/133/145//19/93/105//169/236/240//104/123/201//5/6/64//46/147/148//121/264/269//16/26//3/4/57//41/68/102//13/51/77//58/69/120//7/11/45//22/37/96//29/78/79//157/267/272//52/130/146,,False,True,
6,4.0,4.0,4.0,6.0,6.0,-0.263958333,129/134/204//195/214/256//43/133/145//19/93/105//169/236/240//104/123/201//5/6/64//46/147/148//121/264/269//16/26//3/4/57//41/68/102//13/51/77//58/69/120//7/11/45//22/37/96//29/78/79//157/267/272//52/130/146,,False,True,
147,2.0,2.0,4.0,8.0,4.0,-0.496416667,129/134/204//195/214/256//43/133/145//19/93/105//169/236/240//104/123/201//5/6/64//46/147/148//121/264/269//16/26//3/4/57//41/68/102//13/51/77//58/69/120//7/11/45//22/37/96//29/78/79//157/267/272//52/130/146,,False,True,
121,4.0,4.0,2.0,8.0,2.0,-0.475219681,129/134/204//195/214/256//43/133/145//19/93/105//169/236/240//104/123/201//5/6/64//46/147/148//121/264/269//16/26//3/4/57//41/68/102//13/51/77//58/69/120//7/11/45//22/37/96//29/78/79//157/267/272//52/130/146,,False,True,
16,4.0,4.0,4.0,6.0,4.0,-0.309360444,129/134/204//195/214/256//43/133/145//19/93/105//169/236/240//104/123/201//5/6/64//46/147/148//121/264/269//16/26//3/4/57//41/68/102//13/51/77//58/69/120//7/11/45//22/37/96//29/78/79//157/267/272//52/130/146,0.02903764632500196,False,True,0.02319553042129401
