index,parallelism_deepspeech,parallelism_ffmpeg-0,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_librosa,target,memory_queue,acquisition,terminated,feasible,ml_mape
183,4.0,2.0,2.0,8.0,2.0,-0.525085903,,,False,False,
242,2.0,2.0,4.0,2.0,6.0,-1.715388889,,,False,False,
237,2.0,4.0,4.0,2.0,2.0,-0.970541667,,,False,False,
241,2.0,2.0,4.0,2.0,2.0,-1.150944444,,,False,False,
172,2.0,4.0,2.0,2.0,4.0,-1.909765486,,,False,True,
83,4.0,4.0,2.0,4.0,4.0,-0.461416667,,,False,True,
132,4.0,2.0,2.0,4.0,2.0,-0.474599083,,,False,True,
147,2.0,2.0,4.0,8.0,4.0,-0.496416667,,,False,True,
182,4.0,4.0,2.0,2.0,2.0,-1.021298139,,,False,False,
30,2.0,4.0,2.0,6.0,6.0,-0.328707986,,0.04381207233640741,False,True,0.0030957734670250723
3,4.0,4.0,4.0,8.0,6.0,-0.174361111,,0.46751663637227425,False,True,1.324836529371386
58,4.0,2.0,2.0,8.0,6.0,-0.368771528,,0.5228944299998162,False,True,0.18408637521210103
137,2.0,4.0,4.0,8.0,2.0,-0.471614069,,0.547661051261818,False,True,0.24168593110679776
18,4.0,4.0,2.0,6.0,4.0,-0.312747681,,0.8858964930664157,False,True,0.20081101364393283
41,2.0,4.0,4.0,8.0,6.0,-0.336847361,,0.8473007479020835,False,True,0.2542931761704744
107,4.0,4.0,4.0,6.0,2.0,-0.446536125,,0.5507550506493673,False,True,0.3824835632587688
139,4.0,4.0,4.0,2.0,6.0,-2.581552792,,0.5008898753077525,False,True,0.0836585196944372
29,4.0,4.0,2.0,6.0,6.0,-0.329223611,,0.8665000275389875,False,True,0.14107583455973935
114,2.0,4.0,2.0,6.0,2.0,-0.45505725,,0.5944203272270562,False,True,0.3322677793907312
