index,parallelism_deepspeech,parallelism_ffmpeg-0,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_librosa,target,memory_queue,acquisition,terminated,feasible,ml_mape
53,2.0,2.0,4.0,4.0,4.0,-0.353006875,,,False,True,
185,4.0,2.0,4.0,6.0,2.0,-0.531611111,,,False,False,
171,4.0,4.0,2.0,2.0,6.0,-1.776849611,,,False,True,
13,4.0,4.0,2.0,8.0,6.0,-0.298934014,,,False,True,
256,2.0,4.0,2.0,4.0,2.0,-0.640430556,,,False,False,
38,2.0,4.0,2.0,6.0,6.0,-0.332537986,,,False,True,
62,4.0,2.0,4.0,8.0,4.0,-0.374241069,,,False,True,
163,4.0,2.0,4.0,2.0,6.0,-1.661284764,,,False,True,
186,2.0,2.0,4.0,6.0,2.0,-0.539194444,,,False,False,
65,4.0,2.0,4.0,8.0,6.0,-0.352691847,,0.9326611896506074,False,True,0.8375387367937813
41,2.0,4.0,4.0,8.0,6.0,-0.336847361,,0.9818298395480956,False,True,0.9871281383089555
192,4.0,2.0,2.0,8.0,4.0,-0.5575,,0.9665284512312023,False,False,0.6117747435074392
3,4.0,4.0,4.0,8.0,6.0,-0.174361111,,1.0,False,True,0.3618957221363126
40,2.0,4.0,4.0,6.0,6.0,-0.354989264,,0.835142676201077,False,True,0.4277822490411714
33,2.0,4.0,2.0,8.0,6.0,-0.326393083,,0.9006841210812275,False,True,0.08271690333712303
43,2.0,2.0,4.0,6.0,4.0,-0.338625681,,0.8825610289607589,False,True,0.14427748315528718
5,4.0,4.0,4.0,6.0,6.0,-0.289680556,,0.8728464258077662,False,True,0.18486043175839859
44,4.0,2.0,4.0,6.0,4.0,-0.349742236,,0.8785969875368771,False,True,0.13659504951192583
35,2.0,4.0,2.0,6.0,4.0,-0.329550403,,0.8168378772079072,False,True,0.30021145321081405
