index,parallelism_deepspeech,parallelism_ffmpeg-0,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_librosa,target,memory_queue,acquisition,terminated,feasible,ml_mape
53,2.0,2.0,4.0,4.0,4.0,-0.353006875,,,False,True,
175,2.0,2.0,4.0,2.0,4.0,-1.691752611,,,False,False,
59,4.0,2.0,4.0,8.0,4.0,-0.346334431,,,False,True,
128,2.0,2.0,2.0,8.0,2.0,-0.468699931,,,False,True,
104,4.0,2.0,2.0,6.0,2.0,-0.445360833,,,False,True,
9,4.0,4.0,4.0,4.0,6.0,-0.68646125,,,False,True,
273,4.0,4.0,2.0,4.0,2.0,-0.848291667,,,False,False,
162,4.0,4.0,2.0,6.0,2.0,-0.5013195,,,False,True,
51,4.0,4.0,2.0,8.0,6.0,-0.361694444,,,False,True,
41,2.0,4.0,4.0,8.0,6.0,-0.336847361,,0.05705392598194673,False,True,2.171848111304469
210,4.0,2.0,2.0,2.0,6.0,-0.572237847,,0.9946407620532948,False,False,1.249603043374605
137,2.0,4.0,4.0,8.0,2.0,-0.471614069,,0.9950986744871552,False,True,0.7759460781997092
3,4.0,4.0,4.0,8.0,6.0,-0.174361111,,0.9631796332976601,False,True,1.0873517213301573
180,2.0,4.0,2.0,2.0,6.0,-1.863021056,,1.0,False,False,1.2017082271217405
43,2.0,2.0,4.0,6.0,4.0,-0.338625681,,0.9803622219377423,False,True,0.15819361284161823
19,2.0,4.0,2.0,8.0,4.0,-0.314709528,,0.8001733665768659,False,True,1.0804749276069636
7,4.0,4.0,4.0,8.0,4.0,-0.233569444,,0.6863862865326843,False,True,0.02500300639636123
31,4.0,2.0,4.0,6.0,6.0,-0.327348181,,0.7564469864133327,False,True,0.12029282970729237
44,4.0,2.0,4.0,6.0,4.0,-0.349742236,,0.8343996328367967,False,True,0.16007434498144826
