index,parallelism_deepspeech,parallelism_ffmpeg-0,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_librosa,target,memory_queue,acquisition,terminated,feasible,ml_mape
156,2.0,2.0,2.0,2.0,2.0,-0.8476465,,,False,True,
201,4.0,2.0,2.0,6.0,2.0,-0.548472222,,,False,False,
0,4.0,2.0,2.0,4.0,4.0,-0.478763889,,,False,True,
172,2.0,4.0,2.0,2.0,4.0,-1.909765486,,,False,True,
164,4.0,4.0,2.0,2.0,4.0,-1.723588111,,,False,True,
269,4.0,4.0,2.0,8.0,2.0,-0.818444444,,,False,False,
32,4.0,4.0,2.0,4.0,6.0,-0.345415417,,,False,True,
102,2.0,4.0,4.0,8.0,6.0,-0.515444444,,,False,True,
170,4.0,2.0,4.0,2.0,4.0,-1.748654097,,,False,True,
195,2.0,4.0,2.0,4.0,2.0,-0.529499708,,0.8121894594303357,False,False,0.4220692261008199
55,4.0,2.0,2.0,6.0,6.0,-0.347265153,,0.8717663570763594,False,True,0.3504933563233786
29,4.0,4.0,2.0,6.0,6.0,-0.329223611,,0.8170363876538871,False,True,0.05593653951248165
157,4.0,4.0,4.0,8.0,2.0,-0.507875,,0.8309976355151835,False,True,0.15261852218874916
139,4.0,4.0,4.0,2.0,6.0,-2.581552792,,0.959761208654376,False,True,0.20517495112668244
110,2.0,2.0,2.0,4.0,6.0,-0.468694444,,0.9099989923446904,False,True,0.2944457812965689
75,2.0,2.0,4.0,6.0,2.0,-0.391723917,,0.969391120976758,False,True,0.03440752793731217
137,2.0,4.0,4.0,8.0,2.0,-0.471614069,,0.9705637289822717,False,True,0.41790098976779466
31,4.0,2.0,4.0,6.0,6.0,-0.327348181,,0.9590147571205699,False,True,0.46014124590026056
125,2.0,4.0,4.0,6.0,2.0,-0.4634665,,0.911822154423753,False,True,0.14041792563029987
