index,parallelism_deepspeech,parallelism_ffmpeg-0,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_librosa,target,memory_queue,acquisition,terminated,feasible,ml_mape
114,2.0,4.0,2.0,6.0,2.0,-0.45505725,114/206/219//179/182/233//29/78/79//33/91/98//46/147/148//17/50/149//61/127/141//18/34/76//21/71/74//30/38/94//35/81/100//40/90/103//41/68/102//60/118/140//16/26//44/48/151//125/213/216//110/190/255//3/4/57,,False,True,
179,4.0,4.0,2.0,2.0,2.0,-0.773426778,114/206/219//179/182/233//29/78/79//33/91/98//46/147/148//17/50/149//61/127/141//18/34/76//21/71/74//30/38/94//35/81/100//40/90/103//41/68/102//60/118/140//16/26//44/48/151//125/213/216//110/190/255//3/4/57,,False,False,
78,4.0,4.0,2.0,6.0,6.0,-0.430708333,114/206/219//179/182/233//29/78/79//33/91/98//46/147/148//17/50/149//61/127/141//18/34/76//21/71/74//30/38/94//35/81/100//40/90/103//41/68/102//60/118/140//16/26//44/48/151//125/213/216//110/190/255//3/4/57,,False,True,
33,2.0,4.0,2.0,8.0,6.0,-0.326393083,114/206/219//179/182/233//29/78/79//33/91/98//46/147/148//17/50/149//61/127/141//18/34/76//21/71/74//30/38/94//35/81/100//40/90/103//41/68/102//60/118/140//16/26//44/48/151//125/213/216//110/190/255//3/4/57,,False,True,
148,2.0,2.0,4.0,8.0,4.0,-0.496097222,114/206/219//179/182/233//29/78/79//33/91/98//46/147/148//17/50/149//61/127/141//18/34/76//21/71/74//30/38/94//35/81/100//40/90/103//41/68/102//60/118/140//16/26//44/48/151//125/213/216//110/190/255//3/4/57,,False,True,
50,4.0,2.0,2.0,6.0,4.0,-0.353336194,114/206/219//179/182/233//29/78/79//33/91/98//46/147/148//17/50/149//61/127/141//18/34/76//21/71/74//30/38/94//35/81/100//40/90/103//41/68/102//60/118/140//16/26//44/48/151//125/213/216//110/190/255//3/4/57,,False,True,
127,2.0,2.0,2.0,8.0,6.0,-0.48025,114/206/219//179/182/233//29/78/79//33/91/98//46/147/148//17/50/149//61/127/141//18/34/76//21/71/74//30/38/94//35/81/100//40/90/103//41/68/102//60/118/140//16/26//44/48/151//125/213/216//110/190/255//3/4/57,,False,True,
34,4.0,4.0,2.0,6.0,4.0,-0.328441333,114/206/219//179/182/233//29/78/79//33/91/98//46/147/148//17/50/149//61/127/141//18/34/76//21/71/74//30/38/94//35/81/100//40/90/103//41/68/102//60/118/140//16/26//44/48/151//125/213/216//110/190/255//3/4/57,,False,True,
71,4.0,4.0,2.0,8.0,4.0,-0.4445,114/206/219//179/182/233//29/78/79//33/91/98//46/147/148//17/50/149//61/127/141//18/34/76//21/71/74//30/38/94//35/81/100//40/90/103//41/68/102//60/118/140//16/26//44/48/151//125/213/216//110/190/255//3/4/57,,False,True,
30,2.0,4.0,2.0,6.0,6.0,-0.328707986,114/206/219//179/182/233//29/78/79//33/91/98//46/147/148//17/50/149//61/127/141//18/34/76//21/71/74//30/38/94//35/81/100//40/90/103//41/68/102//60/118/140//16/26//44/48/151//125/213/216//110/190/255//3/4/57,0.012110484748643,False,True,0.1133172716363813
