index,parallelism_deepspeech,parallelism_ffmpeg-0,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_librosa,target,memory_queue,acquisition,terminated,feasible,ml_mape
85,4.0,4.0,4.0,4.0,6.0,-1.020666667,,,False,True,
187,4.0,2.0,2.0,4.0,2.0,-0.527723514,,,False,False,
94,2.0,4.0,2.0,6.0,6.0,-0.453180556,,,False,True,
257,2.0,2.0,2.0,6.0,2.0,-0.662,,,False,False,
253,2.0,2.0,4.0,2.0,6.0,-1.661791667,,,False,False,
29,4.0,4.0,2.0,6.0,6.0,-0.329223611,,,False,True,
145,2.0,2.0,4.0,6.0,4.0,-0.503777778,,,False,True,
23,2.0,4.0,4.0,4.0,4.0,-0.457704472,,,False,True,
272,4.0,4.0,4.0,8.0,2.0,-0.842475736,,,False,False,
41,2.0,4.0,4.0,8.0,6.0,-0.336847361,,0.030522183311100876,False,True,0.637548862020581
3,4.0,4.0,4.0,8.0,6.0,-0.174361111,,0.46502461159953473,False,True,1.9749849630015224
13,4.0,4.0,2.0,8.0,6.0,-0.298934014,,0.6553998467670877,False,True,0.47403120475181987
65,4.0,2.0,4.0,8.0,6.0,-0.352691847,,0.6198549844634975,False,True,0.3241462035863299
58,4.0,2.0,2.0,8.0,6.0,-0.368771528,,0.5871369807241135,False,True,0.2779217368566907
55,4.0,2.0,2.0,6.0,6.0,-0.347265153,,0.5341249901863092,False,True,0.04263964451725923
155,2.0,4.0,4.0,4.0,2.0,-0.489930597,,0.5901479708830726,False,True,0.01565220489912748
40,2.0,4.0,4.0,6.0,6.0,-0.354989264,,0.5780074255988954,False,True,0.35092595388508796
5,4.0,4.0,4.0,6.0,6.0,-0.289680556,,0.5326046308256587,False,True,0.512711403973393
117,4.0,4.0,2.0,4.0,2.0,-0.462181681,,0.5254325134453638,False,True,0.3091604742004045
