index,parallelism_deepspeech,parallelism_ffmpeg-0,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_librosa,target,memory_queue,acquisition,terminated,feasible,ml_mape
101,4.0,2.0,4.0,6.0,2.0,-0.441108292,,,False,True,
65,4.0,2.0,4.0,8.0,6.0,-0.352691847,,,False,True,
148,2.0,2.0,4.0,8.0,4.0,-0.496097222,,,False,True,
82,4.0,4.0,2.0,4.0,6.0,-0.523083333,,,False,True,
254,2.0,2.0,2.0,2.0,6.0,-1.897097222,,,False,False,
160,4.0,4.0,4.0,2.0,2.0,-0.833162361,,,False,True,
128,2.0,2.0,2.0,8.0,2.0,-0.468699931,,,False,True,
114,2.0,4.0,2.0,6.0,2.0,-0.45505725,,,False,True,
149,4.0,2.0,2.0,6.0,4.0,-0.503263889,,,False,True,
21,4.0,4.0,2.0,8.0,4.0,-0.313295944,,0.45469385809572516,False,True,0.33861278885518453
59,4.0,2.0,4.0,8.0,4.0,-0.346334431,,0.9878383091543482,False,True,0.006587926563391177
137,2.0,4.0,4.0,8.0,2.0,-0.471614069,,0.8760016567663503,False,True,0.3842582165863352
19,2.0,4.0,2.0,8.0,4.0,-0.314709528,,0.960709234177061,False,True,0.35856522234220517
179,4.0,4.0,2.0,2.0,2.0,-0.773426778,,0.914559006920866,False,False,0.052310406197562644
13,4.0,4.0,2.0,8.0,6.0,-0.298934014,,0.984425100952026,False,True,0.12652737861312777
44,4.0,2.0,4.0,6.0,4.0,-0.349742236,,0.9420137358988165,False,True,0.2658681501532642
29,4.0,4.0,2.0,6.0,6.0,-0.329223611,,0.9094151237018167,False,True,0.17658098366753538
3,4.0,4.0,4.0,8.0,6.0,-0.174361111,,0.966993430117267,False,True,0.2966370550638824
5,4.0,4.0,4.0,6.0,6.0,-0.289680556,,0.962155255109452,False,True,0.4528462107830281
