index,parallelism_deepspeech,parallelism_ffmpeg-0,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_librosa,target,memory_queue,acquisition,terminated,feasible,ml_mape
122,4.0,2.0,2.0,6.0,6.0,-0.474069444,,,False,True,
40,2.0,4.0,4.0,6.0,6.0,-0.354989264,,,False,True,
226,4.0,4.0,4.0,2.0,4.0,-2.279416667,,,False,False,
250,4.0,2.0,2.0,8.0,2.0,-0.634722222,,,False,False,
244,2.0,4.0,2.0,2.0,4.0,-2.045125,,,False,False,
73,2.0,2.0,2.0,6.0,4.0,-0.397555556,,,False,True,
146,2.0,2.0,2.0,6.0,6.0,-0.489805556,,,False,True,
244,2.0,4.0,2.0,2.0,4.0,-2.045125,,,False,False,
178,4.0,4.0,4.0,2.0,2.0,-0.674233264,,,False,False,
47,2.0,2.0,4.0,8.0,6.0,-0.339389972,,1.052560698921917,False,True,0.40861348003904474
33,2.0,4.0,2.0,8.0,6.0,-0.326393083,,0.984364562251757,False,True,0.07977574856794346
25,2.0,4.0,4.0,8.0,4.0,-0.322285514,,0.9243492407527499,False,True,0.6186484041401892
3,4.0,4.0,4.0,8.0,6.0,-0.174361111,,0.9608361994560686,False,True,0.8408779747328607
87,4.0,2.0,4.0,4.0,2.0,-0.421543819,,0.9623304596280029,False,True,0.12930502325449653
58,4.0,2.0,2.0,8.0,6.0,-0.368771528,,0.9450822941272287,False,True,0.11635227793209287
153,4.0,4.0,2.0,6.0,2.0,-0.487353861,,0.8213038000550967,False,True,0.032043189687035456
109,4.0,2.0,2.0,4.0,2.0,-0.455934792,,0.8794145869723689,False,True,0.044357241711388724
75,2.0,2.0,4.0,6.0,2.0,-0.391723917,,0.9803214839928409,False,True,0.283515185482328
125,2.0,4.0,4.0,6.0,2.0,-0.4634665,,0.9335243773829539,False,True,0.07879455764988988
