index,#vm,ram,target,memory_queue,acquisition,terminated,feasible,ml_mape
290,23.0,0.2,-9729874.0,,,False,False,
562,20.0,0.7,-4132180.0,,,False,False,
96,11.0,0.2,-9719347.0,,,False,False,
583,22.0,0.7,-4142446.0,,134.1764347957952,False,True,0.56470850919585
625,26.0,0.7,-4426656.0,,1518.207552039655,False,True,0.8427213826733986
604,24.0,0.7,-4437600.0,,2483.9021170332403,False,True,0.14540239465692276
0,3.0,0.2,-6782883.0,,0.0,False,False,0.2660296883500614
10,4.0,0.2,-8015384.0,,0.0,False,False,0.012900834531806356
20,5.0,0.2,-9436605.0,,0.0,False,False,0.028431563308132193
35,6.0,0.2,-9471234.0,,0.0,False,False,0.05965134362018099
40,7.0,0.2,-10276763.0,,0.0,False,False,0.014529877703286528
63,8.0,0.2,-9751200.0,,0.0,False,False,0.09290484725889439
65,9.0,0.2,-10237491.0,,0.0,False,False,0.025588360208094497
84,10.0,0.2,-10254350.0,,0.0,False,False,0.0025057822070892717
115,12.0,0.2,-10371108.0,,0.0,False,False,0.07753020065757499
120,13.0,0.2,-8398923.0,,0.0,False,False,0.1071969685827526
150,15.0,0.2,-7718760.0,,0.0,False,False,0.05519607321077835
173,16.0,0.2,-9021200.0,,0.0,False,False,0.1562150509763371
175,17.0,0.2,-9910167.0,,0.0,False,False,0.24133086410889457
213,18.0,0.2,-9415458.0,,0.0,False,False,0.17812501650445464
215,19.0,0.2,-9311957.0,,0.0,False,False,0.13793651059691678
243,20.0,0.2,-9209900.0,,0.0,False,False,0.07841773970117782
249,21.0,0.2,-9138129.0,,0.0,False,False,0.0021298389823307348
281,22.0,0.2,-8355358.0,,0.0,False,False,0.1839452675456
314,24.0,0.2,-8312232.0,,0.0,False,False,0.42808322189644255
329,3.0,0.9,-3937797.0,,0.0,False,False,0.650096198367985
541,18.0,0.7,-5813136.0,,0.9542314540534536,False,False,0.4915221715780521
339,4.0,0.9,-2195600.0,,0.0,False,False,1.4237152968405227
349,5.0,0.9,-2514650.0,,0.0,False,False,0.7275055126247016
515,16.0,0.7,-4027792.0,,14.009372979400586,False,False,0.3085276951685409
359,6.0,0.9,-2607030.0,,0.0,False,False,0.4952722907384438
369,6.0,0.7,-3952086.0,,0.0,False,False,0.4777833047361001
410,8.0,0.7,-4361248.0,,0.0,False,False,0.29899171656377727
