index,#vm,ram,target,memory_queue,acquisition,terminated,feasible,ml_mape
297,23.0,0.2,-8631348.0,,,False,False,
473,12.0,0.7,-5478492.0,,,False,False,
465,10.0,0.7,-4957600.0,,,False,False,
0,3.0,0.2,-6782883.0,,0.0,False,False,0.7226311978214411
494,14.0,0.7,-4082512.0,,0.2702605681291755,False,False,0.724950988550026
173,16.0,0.2,-9021200.0,,36.79270351637458,False,False,0.8112609401277215
10,4.0,0.2,-8015384.0,,0.0,False,False,0.0049820512650173105
20,5.0,0.2,-9436605.0,,0.0,False,False,0.0319508176241973
35,6.0,0.2,-9471234.0,,0.0,False,False,0.060285182017855446
40,7.0,0.2,-10276763.0,,0.0,False,False,0.01216773807887301
63,8.0,0.2,-9751200.0,,0.0,False,False,0.09027418119416782
515,16.0,0.7,-4027792.0,,1.8317203821249592,False,False,0.9507527332072071
625,26.0,0.7,-4426656.0,,20.57490905852297,False,True,0.07934404106549336
604,24.0,0.7,-4437600.0,,59.78193698464073,False,True,0.699187867920599
583,22.0,0.7,-4142446.0,,120.39298751467224,False,True,0.8239047363452755
562,20.0,0.7,-4132180.0,,231.625990944867,False,False,0.7737537609273871
541,18.0,0.7,-5813136.0,,371.97876581236653,False,False,0.6734644803209041
65,9.0,0.2,-10237491.0,,0.0,False,False,0.012825548449521811
84,10.0,0.2,-10254350.0,,0.0,False,False,0.005113896824997136
92,11.0,0.2,-10798579.0,,0.0,False,False,0.07972621031739059
115,12.0,0.2,-10371108.0,,0.0,False,False,0.06192071770762056
120,13.0,0.2,-8398923.0,,0.0,False,False,0.12441570679759156
150,15.0,0.2,-7718760.0,,0.0,False,False,0.09555132917974252
175,17.0,0.2,-9910167.0,,0.0,False,False,0.2246578359420029
213,18.0,0.2,-9415458.0,,0.0,False,False,0.1572364284781903
215,19.0,0.2,-9311957.0,,0.0,False,False,0.11408567242385255
243,20.0,0.2,-9209900.0,,0.0,False,False,0.052883951020818686
249,21.0,0.2,-9138129.0,,0.0,False,False,0.02386863840293238
281,22.0,0.2,-8355358.0,,0.0,False,False,0.21267379003624637
314,24.0,0.2,-8312232.0,,0.0,False,False,0.46910414111154164
329,3.0,0.9,-3937797.0,,0.0,False,False,0.3004381395910435
339,4.0,0.9,-2195600.0,,0.0,False,False,1.2938389514813609
349,5.0,0.9,-2514650.0,,0.0,False,False,0.7042454793086085
