index,#vm,ram,target,memory_queue,acquisition,terminated,feasible,ml_mape
603,22.0,0.7,-4139894.0,,,False,True,
471,10.0,0.7,-3844290.0,,,False,False,
564,20.0,0.7,-4170180.0,,,False,False,
0,3.0,0.2,-6782883.0,,-0.0,False,False,0.7619054718991325
10,4.0,0.2,-8015384.0,,-0.0,False,False,0.054510368776478274
20,5.0,0.2,-9436605.0,,-0.0,False,False,0.003234260381373853
35,6.0,0.2,-9471234.0,,-0.0,False,False,0.11591303226533495
40,7.0,0.2,-10276763.0,,-0.0,False,False,0.01886163884220998
473,12.0,0.7,-5478492.0,,203757.00518671144,False,False,0.5799701133729426
63,8.0,0.2,-9751200.0,,-0.0,False,False,0.10786424415507816
65,9.0,0.2,-10237491.0,,-0.0,False,False,0.014571147824031386
84,10.0,0.2,-10254350.0,,-0.0,False,False,0.007480096626708002
92,11.0,0.2,-10798579.0,,-0.0,False,False,0.046963385221015404
115,12.0,0.2,-10371108.0,,-0.0,False,False,0.017882270414117274
120,13.0,0.2,-8398923.0,,-0.0,False,False,0.27151953074327745
150,15.0,0.2,-7718760.0,,-0.0,False,False,0.3658634913393408
173,16.0,0.2,-9021200.0,,-0.0,False,False,0.09527390522399275
175,17.0,0.2,-9910167.0,,-0.0,False,False,0.02742853348212963
213,18.0,0.2,-9415458.0,,-0.0,False,False,0.16776223837974907
215,19.0,0.2,-9311957.0,,-0.0,False,False,0.24834322739079473
243,20.0,0.2,-9209900.0,,-0.0,False,False,0.3273624631588213
249,21.0,0.2,-9138129.0,,-0.0,False,False,0.3965997504898436
281,22.0,0.2,-8355358.0,,-0.0,False,False,0.5833605131456437
289,23.0,0.2,-9440672.0,,-0.0,False,False,0.41175047599387354
314,24.0,0.2,-8312232.0,,-0.0,False,False,0.6698478439302753
329,3.0,0.9,-3937797.0,,-0.0,False,False,0.25317703070300096
339,4.0,0.9,-2195600.0,,-0.0,False,False,1.238341543366509
349,5.0,0.9,-2514650.0,,-0.0,False,False,0.6347023874827418
359,6.0,0.9,-2607030.0,,-0.0,False,False,0.3993146262384768
369,6.0,0.7,-3952086.0,,-0.0,False,False,0.4511153347665945
410,8.0,0.7,-4361248.0,,-0.0,False,False,0.2441321751604935
604,24.0,0.7,-4437600.0,,-0.0,False,True,0.35654934122890997
625,26.0,0.7,-4426656.0,,-0.0,False,True,1.137696237357534
