index,confidence,hypo_step,max_arm_length,num_threads,target,memory_queue,acquisition,terminated,feasible,ml_mape
8523,54.0,3.0,4.0,4.0,-52484.0,,,False,True,
11570,64.0,2.0,11.0,13.0,-114439.0,,,False,True,
10781,34.0,2.0,7.0,16.0,-134064.0,,,False,True,
2,44.0,3.0,16.0,32.0,-229504.0,,2.622835059312372,False,True,0.9270557824601455
8697,54.0,1.0,11.0,3.0,-135063.0,,305.79343302650653,False,False,0.7683464772793415
8,44.0,2.0,16.0,32.0,-308416.0,,19.145080884191103,False,True,0.19885585253860263
8235,54.0,3.0,4.0,5.0,-53775.0,,759.6547713290905,False,True,0.0811736488816292
8223,54.0,2.0,5.0,5.0,-69540.0,,1204.4532514467985,False,True,0.201669010560553
8547,54.0,2.0,3.0,4.0,-64864.0,,1240.5592542134573,False,True,0.22651745699019682
8001,54.0,3.0,1.0,6.0,-60036.0,,860.3525675142147,False,True,0.13345763334153826
7419,54.0,1.0,2.0,8.0,-120704.0,,1186.8995714447822,False,True,0.9660300588852792
8577,54.0,3.0,1.0,4.0,-41504.0,,968.4515904886837,False,True,0.6375515680815887
9153,54.0,3.0,1.0,2.0,-37958.0,,744.9191275786529,False,False,0.23807641666299684
7714,44.0,3.0,1.0,7.0,-66164.0,,597.1682620798877,False,True,0.6611624466694186
6796,44.0,3.0,4.0,10.0,-82650.0,,836.087583111548,False,True,0.6731297097508179
7960,44.0,1.0,4.0,6.0,-119982.0,,763.5050124660235,False,False,0.8728066127052104
6274,44.0,3.0,1.0,12.0,-95556.0,,577.2003998318495,False,True,0.20828643821594411
5302,44.0,3.0,7.0,15.0,-130050.0,,392.8114398926005,False,True,0.6724011233110357
7712,64.0,3.0,1.0,7.0,-56322.0,,303.94797972224836,False,True,0.49730764163055796
7946,64.0,3.0,4.0,6.0,-50388.0,,625.1712165679635,False,True,0.8144257911037839
8558,64.0,3.0,2.0,4.0,-52988.0,,910.0245684200708,False,True,0.034290917602020486
7088,64.0,2.0,4.0,9.0,-89451.0,,651.1277012328961,False,True,0.00365401498611549
8792,64.0,3.0,5.0,3.0,-52236.0,,617.9741479574535,False,False,0.17876432974614756
8162,64.0,3.0,8.0,5.0,-61900.0,,578.0742877248425,False,True,0.05357329250718271
8072,64.0,3.0,13.0,5.0,-74755.0,,387.7018583876706,False,True,0.31347797679717837
