index,confidence,hypo_step,max_arm_length,num_threads,target,memory_queue,acquisition,terminated,feasible,ml_mape
462,64.0,1.0,7.0,31.0,-355477.0,,,False,True,
15140,54.0,1.0,11.0,26.0,-311948.0,,,False,True,
10205,34.0,2.0,7.0,18.0,-168732.0,,,False,True,
5023,14.0,2.0,7.0,16.0,-147424.0,,-40889.855112015444,False,True,0.09561005484948742
9174,24.0,3.0,16.0,1.0,-64608.0,,-16414.82055435932,False,False,0.8657176936400562
0,64.0,3.0,16.0,32.0,-274336.0,,-0.0,False,True,1.1233714113578868
5293,14.0,2.0,8.0,15.0,-151395.0,,50671.42731875417,False,True,0.03168918893395695
8581,14.0,3.0,1.0,4.0,-42604.0,,27228.054829313012,False,True,0.5554329908872796
9443,34.0,3.0,1.0,1.0,-37887.0,,99147.1833785953,False,False,0.6080366121870021
8292,24.0,3.0,1.0,5.0,-53175.0,,39834.53209289424,False,True,0.5859980730150022
9445,14.0,3.0,1.0,1.0,-36791.0,,3450.3512150802308,False,False,0.6163151499730075
9250,44.0,2.0,12.0,1.0,-77359.0,,58039.22610628381,False,False,0.9803625856748506
9182,64.0,1.0,16.0,1.0,-134647.0,,23332.495393161895,False,False,0.9076689259693145
9442,44.0,3.0,1.0,1.0,-39210.0,,733.8119549207477,False,False,0.6297868884896708
9422,64.0,3.0,2.0,1.0,-41774.0,,3426.8828911889577,False,False,0.6954518794286793
2,44.0,3.0,16.0,32.0,-229504.0,,-0.0,False,True,18.021423498099537
287,14.0,1.0,1.0,32.0,-353536.0,,3394.9795787484327,False,True,0.37354630821329465
9387,54.0,3.0,4.0,1.0,-43795.0,,30596.602721262927,False,False,0.7159134783223473
8001,54.0,3.0,1.0,6.0,-60036.0,,1709.4292468378408,False,True,0.6964353619967671
5,14.0,3.0,16.0,32.0,-225216.0,,-0.0,False,True,1.8075889068378757
6,64.0,2.0,16.0,32.0,-256480.0,,-0.0,False,True,1.7913806116527486
7607,34.0,3.0,7.0,7.0,-72576.0,,18014.141761180654,False,True,0.495666023429687
7426,44.0,3.0,1.0,8.0,-58760.0,,5199.541383873962,False,True,0.7877488590893177
11,14.0,2.0,16.0,32.0,-296352.0,,-0.0,False,True,1.1408107668492242
7572,24.0,3.0,9.0,7.0,-70763.0,,155132.79979998837,False,True,0.46083304553241283
7082,64.0,3.0,4.0,9.0,-93195.0,,149985.68512814504,False,True,0.43342405967303643
7281,54.0,3.0,9.0,8.0,-69352.0,,143643.2787901136,False,True,0.747042106173628
6976,44.0,3.0,10.0,9.0,-82476.0,,135269.93597120885,False,True,0.058082408757157956
5706,24.0,2.0,1.0,14.0,-114590.0,,123436.23279427114,False,True,0.972213423233598
6293,34.0,3.0,16.0,11.0,-92961.0,,121049.34794737554,False,True,0.6407590198818042
6006,24.0,3.0,16.0,12.0,-106128.0,,114927.7984876268,False,True,0.10093811512521345
7427,34.0,3.0,1.0,8.0,-63304.0,,106680.19024101339,False,True,0.4752703108991917
