index,confidence,hypo_step,max_arm_length,num_threads,target,memory_queue,acquisition,terminated,feasible,ml_mape
11560,44.0,1.0,12.0,13.0,-196274.0,5800/11560//2680/15706/18010//7704/13464//4/13922/16226//7416/13176//8293//8773//8867//8290//7712/13472//8559//2268/15431/17735//7856/13616//9445//9446//9236//9118//4562/10322//182/14041/16345//3155//6573/12333//0/1//8759//7439/13199//8145/13905//8850//8452//6770/12530//8522//6289/12049//8454//167//6327/12087//7517/13277//6924/12684//6025/11785//2863/15828/18132//8793//5704/11464//7960/13720//2865//5717/11477//4563/10323//2864/15829/18133//7516/13276//6326/12086//2/13921/16225//2290/15446/17750//5126/10886//7519/13279//4842/10602//6427/12187//8237//183//5//5831/11591//5417/11177//7947/13707//7038/12798//199/200/14052/16356//5865/11625//2907//7426/13186,,False,True,
2680,24.0,1.0,12.0,23.0,-324438.0,5800/11560//2680/15706/18010//7704/13464//4/13922/16226//7416/13176//8293//8773//8867//8290//7712/13472//8559//2268/15431/17735//7856/13616//9445//9446//9236//9118//4562/10322//182/14041/16345//3155//6573/12333//0/1//8759//7439/13199//8145/13905//8850//8452//6770/12530//8522//6289/12049//8454//167//6327/12087//7517/13277//6924/12684//6025/11785//2863/15828/18132//8793//5704/11464//7960/13720//2865//5717/11477//4563/10323//2864/15829/18133//7516/13276//6326/12086//2/13921/16225//2290/15446/17750//5126/10886//7519/13279//4842/10602//6427/12187//8237//183//5//5831/11591//5417/11177//7947/13707//7038/12798//199/200/14052/16356//5865/11625//2907//7426/13186,,False,True,
7704,24.0,2.0,2.0,7.0,-74396.0,5800/11560//2680/15706/18010//7704/13464//4/13922/16226//7416/13176//8293//8773//8867//8290//7712/13472//8559//2268/15431/17735//7856/13616//9445//9446//9236//9118//4562/10322//182/14041/16345//3155//6573/12333//0/1//8759//7439/13199//8145/13905//8850//8452//6770/12530//8522//6289/12049//8454//167//6327/12087//7517/13277//6924/12684//6025/11785//2863/15828/18132//8793//5704/11464//7960/13720//2865//5717/11477//4563/10323//2864/15829/18133//7516/13276//6326/12086//2/13921/16225//2290/15446/17750//5126/10886//7519/13279//4842/10602//6427/12187//8237//183//5//5831/11591//5417/11177//7947/13707//7038/12798//199/200/14052/16356//5865/11625//2907//7426/13186,,False,True,
4,24.0,3.0,16.0,32.0,-242112.0,5800/11560//2680/15706/18010//7704/13464//4/13922/16226//7416/13176//8293//8773//8867//8290//7712/13472//8559//2268/15431/17735//7856/13616//9445//9446//9236//9118//4562/10322//182/14041/16345//3155//6573/12333//0/1//8759//7439/13199//8145/13905//8850//8452//6770/12530//8522//6289/12049//8454//167//6327/12087//7517/13277//6924/12684//6025/11785//2863/15828/18132//8793//5704/11464//7960/13720//2865//5717/11477//4563/10323//2864/15829/18133//7516/13276//6326/12086//2/13921/16225//2290/15446/17750//5126/10886//7519/13279//4842/10602//6427/12187//8237//183//5//5831/11591//5417/11177//7947/13707//7038/12798//199/200/14052/16356//5865/11625//2907//7426/13186,144.60051802943963,False,True,1.224790734608902
7416,24.0,2.0,2.0,8.0,-81048.0,5800/11560//2680/15706/18010//7704/13464//4/13922/16226//7416/13176//8293//8773//8867//8290//7712/13472//8559//2268/15431/17735//7856/13616//9445//9446//9236//9118//4562/10322//182/14041/16345//3155//6573/12333//0/1//8759//7439/13199//8145/13905//8850//8452//6770/12530//8522//6289/12049//8454//167//6327/12087//7517/13277//6924/12684//6025/11785//2863/15828/18132//8793//5704/11464//7960/13720//2865//5717/11477//4563/10323//2864/15829/18133//7516/13276//6326/12086//2/13921/16225//2290/15446/17750//5126/10886//7519/13279//4842/10602//6427/12187//8237//183//5//5831/11591//5417/11177//7947/13707//7038/12798//199/200/14052/16356//5865/11625//2907//7426/13186,330.1521433590641,False,True,0.06979546138303687
8293,14.0,3.0,1.0,5.0,-51000.0,5800/11560//2680/15706/18010//7704/13464//4/13922/16226//7416/13176//8293//8773//8867//8290//7712/13472//8559//2268/15431/17735//7856/13616//9445//9446//9236//9118//4562/10322//182/14041/16345//3155//6573/12333//0/1//8759//7439/13199//8145/13905//8850//8452//6770/12530//8522//6289/12049//8454//167//6327/12087//7517/13277//6924/12684//6025/11785//2863/15828/18132//8793//5704/11464//7960/13720//2865//5717/11477//4563/10323//2864/15829/18133//7516/13276//6326/12086//2/13921/16225//2290/15446/17750//5126/10886//7519/13279//4842/10602//6427/12187//8237//183//5//5831/11591//5417/11177//7947/13707//7038/12798//199/200/14052/16356//5865/11625//2907//7426/13186,775.9421683911966,False,True,0.443257846921502
8773,14.0,1.0,7.0,3.0,-129207.0,5800/11560//2680/15706/18010//7704/13464//4/13922/16226//7416/13176//8293//8773//8867//8290//7712/13472//8559//2268/15431/17735//7856/13616//9445//9446//9236//9118//4562/10322//182/14041/16345//3155//6573/12333//0/1//8759//7439/13199//8145/13905//8850//8452//6770/12530//8522//6289/12049//8454//167//6327/12087//7517/13277//6924/12684//6025/11785//2863/15828/18132//8793//5704/11464//7960/13720//2865//5717/11477//4563/10323//2864/15829/18133//7516/13276//6326/12086//2/13921/16225//2290/15446/17750//5126/10886//7519/13279//4842/10602//6427/12187//8237//183//5//5831/11591//5417/11177//7947/13707//7038/12798//199/200/14052/16356//5865/11625//2907//7426/13186,796.4905589894358,False,False,0.6750370319303586
8867,34.0,3.0,1.0,3.0,-40638.0,5800/11560//2680/15706/18010//7704/13464//4/13922/16226//7416/13176//8293//8773//8867//8290//7712/13472//8559//2268/15431/17735//7856/13616//9445//9446//9236//9118//4562/10322//182/14041/16345//3155//6573/12333//0/1//8759//7439/13199//8145/13905//8850//8452//6770/12530//8522//6289/12049//8454//167//6327/12087//7517/13277//6924/12684//6025/11785//2863/15828/18132//8793//5704/11464//7960/13720//2865//5717/11477//4563/10323//2864/15829/18133//7516/13276//6326/12086//2/13921/16225//2290/15446/17750//5126/10886//7519/13279//4842/10602//6427/12187//8237//183//5//5831/11591//5417/11177//7947/13707//7038/12798//199/200/14052/16356//5865/11625//2907//7426/13186,265.3148007093151,False,True,0.9949520082216942
8290,44.0,3.0,1.0,5.0,-45525.0,5800/11560//2680/15706/18010//7704/13464//4/13922/16226//7416/13176//8293//8773//8867//8290//7712/13472//8559//2268/15431/17735//7856/13616//9445//9446//9236//9118//4562/10322//182/14041/16345//3155//6573/12333//0/1//8759//7439/13199//8145/13905//8850//8452//6770/12530//8522//6289/12049//8454//167//6327/12087//7517/13277//6924/12684//6025/11785//2863/15828/18132//8793//5704/11464//7960/13720//2865//5717/11477//4563/10323//2864/15829/18133//7516/13276//6326/12086//2/13921/16225//2290/15446/17750//5126/10886//7519/13279//4842/10602//6427/12187//8237//183//5//5831/11591//5417/11177//7947/13707//7038/12798//199/200/14052/16356//5865/11625//2907//7426/13186,331.63001320229944,False,True,0.8663694613543081
7712,64.0,3.0,1.0,7.0,-56322.0,5800/11560//2680/15706/18010//7704/13464//4/13922/16226//7416/13176//8293//8773//8867//8290//7712/13472//8559//2268/15431/17735//7856/13616//9445//9446//9236//9118//4562/10322//182/14041/16345//3155//6573/12333//0/1//8759//7439/13199//8145/13905//8850//8452//6770/12530//8522//6289/12049//8454//167//6327/12087//7517/13277//6924/12684//6025/11785//2863/15828/18132//8793//5704/11464//7960/13720//2865//5717/11477//4563/10323//2864/15829/18133//7516/13276//6326/12086//2/13921/16225//2290/15446/17750//5126/10886//7519/13279//4842/10602//6427/12187//8237//183//5//5831/11591//5417/11177//7947/13707//7038/12798//199/200/14052/16356//5865/11625//2907//7426/13186,1000.2236819188591,False,True,0.4055727289369747
