index,confidence,hypo_step,max_arm_length,num_threads,target,memory_queue,acquisition,terminated,feasible,ml_mape
10334,64.0,1.0,16.0,17.0,-269654.0,,,False,True,
4545,54.0,3.0,1.0,18.0,-132552.0,,,False,True,
16201,44.0,3.0,2.0,21.0,-143703.0,,,False,True,
0,64.0,3.0,16.0,32.0,-274336.0,,-0.0,False,True,0.9861856798072166
5438,64.0,1.0,16.0,14.0,-231084.0,,-0.0,False,True,0.035028783282057545
6590,64.0,1.0,16.0,10.0,-172230.0,,-0.0,False,False,0.009623764425661794
6302,64.0,1.0,16.0,11.0,-177221.0,,-0.0,False,True,0.05883913799503951
12,64.0,1.0,16.0,32.0,-505088.0,,-0.0,False,True,0.07901973281744237
3969,54.0,3.0,1.0,20.0,-139080.0,,70603.9092391718,False,True,0.04040776678076272
4233,54.0,1.0,3.0,19.0,-247399.0,,75730.9023447985,False,True,0.013406518123430192
4264,44.0,2.0,1.0,19.0,-182590.0,,55126.084100251144,False,True,0.03380812512541648
3164,44.0,1.0,1.0,22.0,-242660.0,,48451.5318974753,False,True,0.07812033275366465
3674,44.0,3.0,4.0,20.0,-112440.0,,39226.92377252385,False,True,0.15413594226276803
3080,44.0,3.0,5.0,22.0,-142802.0,,52183.13142324527,False,True,0.08290884339924635
4156,44.0,2.0,7.0,19.0,-160778.0,,46761.21539459244,False,True,0.029487414493851196
5068,44.0,3.0,4.0,16.0,-100368.0,,40775.00308079197,False,True,0.3260819059475176
5332,44.0,1.0,6.0,15.0,-240405.0,,60273.44213487138,False,True,0.23594262465808505
5680,44.0,3.0,2.0,14.0,-102900.0,,55234.60631304621,False,True,0.22496332553020557
5116,44.0,1.0,2.0,16.0,-196864.0,,50285.9402928983,False,True,0.25014266855297634
6220,44.0,3.0,4.0,12.0,-93096.0,,47812.548014639004,False,True,0.08409405848509544
6850,44.0,3.0,1.0,10.0,-98450.0,,60572.69876692924,False,True,0.2035420327856523
7372,44.0,3.0,4.0,8.0,-57680.0,,64786.51632727208,False,True,0.24287645133777805
8278,44.0,2.0,2.0,5.0,-73460.0,,80839.64271349041,False,True,0.01347069358073269
8488,44.0,3.0,6.0,4.0,-54624.0,,88574.11068794137,False,True,0.3184423179316003
9406,44.0,3.0,3.0,1.0,-43189.0,,90249.50066963828,False,False,0.7500935603614588
9364,44.0,1.0,6.0,1.0,-115988.0,,98911.69341660845,False,False,0.8828007219632488
6855,54.0,2.0,1.0,10.0,-91600.0,,81334.2171405344,False,True,0.9725051697089883
8259,54.0,2.0,3.0,5.0,-64645.0,,90673.25304643012,False,True,0.6729441466200685
7611,54.0,2.0,7.0,7.0,-78358.0,,102627.3545175626,False,True,0.9374333129198664
9333,54.0,3.0,7.0,1.0,-49765.0,,100913.60511527976,False,False,0.9968784558986996
9437,34.0,1.0,2.0,1.0,-108148.0,,91133.11948708445,False,False,0.9530398263410634
8397,54.0,3.0,11.0,4.0,-67448.0,,105137.81478473361,False,True,0.09091450861707122
7534,44.0,3.0,11.0,7.0,-68887.0,,98680.5083929545,False,True,0.380061508569355
8308,44.0,3.0,16.0,4.0,-75948.0,,100460.7641133122,False,False,0.11954929623182069
