index,confidence,hypo_step,max_arm_length,num_threads,target,memory_queue,acquisition,terminated,feasible,ml_mape
5998,44.0,1.0,1.0,13.0,-205647.0,5998/11758//1899/1900//1080/14639/16943//0/1//2/13921/16225//3//1116/14663/16967//4838/10598//5713/11473//8935//9444//7152/12912//8593//281//8894//9152//8577//7928/13688//8505//4/13922/16226//6887/12647//8020/13780//8585//8866//8488//7859/13619//4855/10615//6888/12648//8631//272/14101/16405//6009/11769//8006/13766//4284/10044//7590/13350//7015/12775//8756//5//5432/11192//8525//4570/10330//7425/13185//8398//7769/13529//7427/13187//6/13923/16227//2578/15638/17942//5322/11082//4547/10307//7806/13566//8238//6871/12631//7/13924/16228//273//7551/13311//7532/13292//8/13925/16229//8739//6473/12233//6976/12736//7984/13744//6183/11943//6146/11906//9,,False,True,
1900,34.0,2.0,7.0,26.0,-191854.0,5998/11758//1899/1900//1080/14639/16943//0/1//2/13921/16225//3//1116/14663/16967//4838/10598//5713/11473//8935//9444//7152/12912//8593//281//8894//9152//8577//7928/13688//8505//4/13922/16226//6887/12647//8020/13780//8585//8866//8488//7859/13619//4855/10615//6888/12648//8631//272/14101/16405//6009/11769//8006/13766//4284/10044//7590/13350//7015/12775//8756//5//5432/11192//8525//4570/10330//7425/13185//8398//7769/13529//7427/13187//6/13923/16227//2578/15638/17942//5322/11082//4547/10307//7806/13566//8238//6871/12631//7/13924/16228//273//7551/13311//7532/13292//8/13925/16229//8739//6473/12233//6976/12736//7984/13744//6183/11943//6146/11906//9,,False,True,
14639,64.0,3.0,4.0,29.0,-189660.0,5998/11758//1899/1900//1080/14639/16943//0/1//2/13921/16225//3//1116/14663/16967//4838/10598//5713/11473//8935//9444//7152/12912//8593//281//8894//9152//8577//7928/13688//8505//4/13922/16226//6887/12647//8020/13780//8585//8866//8488//7859/13619//4855/10615//6888/12648//8631//272/14101/16405//6009/11769//8006/13766//4284/10044//7590/13350//7015/12775//8756//5//5432/11192//8525//4570/10330//7425/13185//8398//7769/13529//7427/13187//6/13923/16227//2578/15638/17942//5322/11082//4547/10307//7806/13566//8238//6871/12631//7/13924/16228//273//7551/13311//7532/13292//8/13925/16229//8739//6473/12233//6976/12736//7984/13744//6183/11943//6146/11906//9,,False,True,
0,64.0,3.0,16.0,32.0,-274336.0,5998/11758//1899/1900//1080/14639/16943//0/1//2/13921/16225//3//1116/14663/16967//4838/10598//5713/11473//8935//9444//7152/12912//8593//281//8894//9152//8577//7928/13688//8505//4/13922/16226//6887/12647//8020/13780//8585//8866//8488//7859/13619//4855/10615//6888/12648//8631//272/14101/16405//6009/11769//8006/13766//4284/10044//7590/13350//7015/12775//8756//5//5432/11192//8525//4570/10330//7425/13185//8398//7769/13529//7427/13187//6/13923/16227//2578/15638/17942//5322/11082//4547/10307//7806/13566//8238//6871/12631//7/13924/16228//273//7551/13311//7532/13292//8/13925/16229//8739//6473/12233//6976/12736//7984/13744//6183/11943//6146/11906//9,0.0,False,True,0.8831588935723872
2,44.0,3.0,16.0,32.0,-229504.0,5998/11758//1899/1900//1080/14639/16943//0/1//2/13921/16225//3//1116/14663/16967//4838/10598//5713/11473//8935//9444//7152/12912//8593//281//8894//9152//8577//7928/13688//8505//4/13922/16226//6887/12647//8020/13780//8585//8866//8488//7859/13619//4855/10615//6888/12648//8631//272/14101/16405//6009/11769//8006/13766//4284/10044//7590/13350//7015/12775//8756//5//5432/11192//8525//4570/10330//7425/13185//8398//7769/13529//7427/13187//6/13923/16227//2578/15638/17942//5322/11082//4547/10307//7806/13566//8238//6871/12631//7/13924/16228//273//7551/13311//7532/13292//8/13925/16229//8739//6473/12233//6976/12736//7984/13744//6183/11943//6146/11906//9,1.0928572184393795e-06,False,True,0.22328924015646287
3,34.0,3.0,16.0,32.0,-225216.0,5998/11758//1899/1900//1080/14639/16943//0/1//2/13921/16225//3//1116/14663/16967//4838/10598//5713/11473//8935//9444//7152/12912//8593//281//8894//9152//8577//7928/13688//8505//4/13922/16226//6887/12647//8020/13780//8585//8866//8488//7859/13619//4855/10615//6888/12648//8631//272/14101/16405//6009/11769//8006/13766//4284/10044//7590/13350//7015/12775//8756//5//5432/11192//8525//4570/10330//7425/13185//8398//7769/13529//7427/13187//6/13923/16227//2578/15638/17942//5322/11082//4547/10307//7806/13566//8238//6871/12631//7/13924/16228//273//7551/13311//7532/13292//8/13925/16229//8739//6473/12233//6976/12736//7984/13744//6183/11943//6146/11906//9,6.186503056220304e-09,False,True,0.10412372922112058
1116,64.0,3.0,2.0,29.0,-177219.0,5998/11758//1899/1900//1080/14639/16943//0/1//2/13921/16225//3//1116/14663/16967//4838/10598//5713/11473//8935//9444//7152/12912//8593//281//8894//9152//8577//7928/13688//8505//4/13922/16226//6887/12647//8020/13780//8585//8866//8488//7859/13619//4855/10615//6888/12648//8631//272/14101/16405//6009/11769//8006/13766//4284/10044//7590/13350//7015/12775//8756//5//5432/11192//8525//4570/10330//7425/13185//8398//7769/13529//7427/13187//6/13923/16227//2578/15638/17942//5322/11082//4547/10307//7806/13566//8238//6871/12631//7/13924/16228//273//7551/13311//7532/13292//8/13925/16229//8739//6473/12233//6976/12736//7984/13744//6183/11943//6146/11906//9,6.79393243760976e-11,False,True,0.003237902333572548
4838,64.0,2.0,1.0,17.0,-150059.0,5998/11758//1899/1900//1080/14639/16943//0/1//2/13921/16225//3//1116/14663/16967//4838/10598//5713/11473//8935//9444//7152/12912//8593//281//8894//9152//8577//7928/13688//8505//4/13922/16226//6887/12647//8020/13780//8585//8866//8488//7859/13619//4855/10615//6888/12648//8631//272/14101/16405//6009/11769//8006/13766//4284/10044//7590/13350//7015/12775//8756//5//5432/11192//8525//4570/10330//7425/13185//8398//7769/13529//7427/13187//6/13923/16227//2578/15638/17942//5322/11082//4547/10307//7806/13566//8238//6871/12631//7/13924/16228//273//7551/13311//7532/13292//8/13925/16229//8739//6473/12233//6976/12736//7984/13744//6183/11943//6146/11906//9,7.286460399672096e-09,False,True,0.8903581383888193
5713,14.0,1.0,1.0,14.0,-137326.0,5998/11758//1899/1900//1080/14639/16943//0/1//2/13921/16225//3//1116/14663/16967//4838/10598//5713/11473//8935//9444//7152/12912//8593//281//8894//9152//8577//7928/13688//8505//4/13922/16226//6887/12647//8020/13780//8585//8866//8488//7859/13619//4855/10615//6888/12648//8631//272/14101/16405//6009/11769//8006/13766//4284/10044//7590/13350//7015/12775//8756//5//5432/11192//8525//4570/10330//7425/13185//8398//7769/13529//7427/13187//6/13923/16227//2578/15638/17942//5322/11082//4547/10307//7806/13566//8238//6871/12631//7/13924/16228//273//7551/13311//7532/13292//8/13925/16229//8739//6473/12233//6976/12736//7984/13744//6183/11943//6146/11906//9,3.421916266971575e-06,False,True,0.4229122756246154
8935,14.0,1.0,14.0,2.0,-139272.0,5998/11758//1899/1900//1080/14639/16943//0/1//2/13921/16225//3//1116/14663/16967//4838/10598//5713/11473//8935//9444//7152/12912//8593//281//8894//9152//8577//7928/13688//8505//4/13922/16226//6887/12647//8020/13780//8585//8866//8488//7859/13619//4855/10615//6888/12648//8631//272/14101/16405//6009/11769//8006/13766//4284/10044//7590/13350//7015/12775//8756//5//5432/11192//8525//4570/10330//7425/13185//8398//7769/13529//7427/13187//6/13923/16227//2578/15638/17942//5322/11082//4547/10307//7806/13566//8238//6871/12631//7/13924/16228//273//7551/13311//7532/13292//8/13925/16229//8739//6473/12233//6976/12736//7984/13744//6183/11943//6146/11906//9,0.002146043259798222,False,False,0.9653746777061906
