index,confidence,hypo_step,max_arm_length,num_threads,target,memory_queue,acquisition,terminated,feasible,ml_mape
17713,44.0,3.0,4.0,25.0,-155300.0,2234/15409/17713//4367/10127//7969/13729//7681/13441//9007//9157//8004/13764//4418/10178//8293//8587//8220//8544//8257//8526//8275//269//8527//8778//8545//8563//8581//8814//8796//8815//8832//8833//8850//8851//8868//8562//8580//8579//8578//8577//8864//8813//9154//9155//8598//8847//8848//8288//8002/13762//8289//8291//8846//9153//8290//8292//8849//8560//8561//8576//8797//8830//8831//8865//8866//8867//8869//8875//8995//8829,,False,True,
4367,34.0,3.0,11.0,18.0,-179460.0,2234/15409/17713//4367/10127//7969/13729//7681/13441//9007//9157//8004/13764//4418/10178//8293//8587//8220//8544//8257//8526//8275//269//8527//8778//8545//8563//8581//8814//8796//8815//8832//8833//8850//8851//8868//8562//8580//8579//8578//8577//8864//8813//9154//9155//8598//8847//8848//8288//8002/13762//8289//8291//8846//9153//8290//8292//8849//8560//8561//8576//8797//8830//8831//8865//8866//8867//8869//8875//8995//8829,,False,True,
7969,14.0,3.0,3.0,6.0,-58080.0,2234/15409/17713//4367/10127//7969/13729//7681/13441//9007//9157//8004/13764//4418/10178//8293//8587//8220//8544//8257//8526//8275//269//8527//8778//8545//8563//8581//8814//8796//8815//8832//8833//8850//8851//8868//8562//8580//8579//8578//8577//8864//8813//9154//9155//8598//8847//8848//8288//8002/13762//8289//8291//8846//9153//8290//8292//8849//8560//8561//8576//8797//8830//8831//8865//8866//8867//8869//8875//8995//8829,,False,True,
7681,14.0,3.0,3.0,7.0,-64337.0,2234/15409/17713//4367/10127//7969/13729//7681/13441//9007//9157//8004/13764//4418/10178//8293//8587//8220//8544//8257//8526//8275//269//8527//8778//8545//8563//8581//8814//8796//8815//8832//8833//8850//8851//8868//8562//8580//8579//8578//8577//8864//8813//9154//9155//8598//8847//8848//8288//8002/13762//8289//8291//8846//9153//8290//8292//8849//8560//8561//8576//8797//8830//8831//8865//8866//8867//8869//8875//8995//8829,106.04645866661237,False,True,0.05015327656671571
9007,14.0,1.0,10.0,2.0,-135968.0,2234/15409/17713//4367/10127//7969/13729//7681/13441//9007//9157//8004/13764//4418/10178//8293//8587//8220//8544//8257//8526//8275//269//8527//8778//8545//8563//8581//8814//8796//8815//8832//8833//8850//8851//8868//8562//8580//8579//8578//8577//8864//8813//9154//9155//8598//8847//8848//8288//8002/13762//8289//8291//8846//9153//8290//8292//8849//8560//8561//8576//8797//8830//8831//8865//8866//8867//8869//8875//8995//8829,358.0338620913075,False,False,0.826059722679266
9157,14.0,3.0,1.0,2.0,-38578.0,2234/15409/17713//4367/10127//7969/13729//7681/13441//9007//9157//8004/13764//4418/10178//8293//8587//8220//8544//8257//8526//8275//269//8527//8778//8545//8563//8581//8814//8796//8815//8832//8833//8850//8851//8868//8562//8580//8579//8578//8577//8864//8813//9154//9155//8598//8847//8848//8288//8002/13762//8289//8291//8846//9153//8290//8292//8849//8560//8561//8576//8797//8830//8831//8865//8866//8867//8869//8875//8995//8829,99.07148326495184,False,False,0.3983527693684368
8004,24.0,3.0,1.0,6.0,-60252.0,2234/15409/17713//4367/10127//7969/13729//7681/13441//9007//9157//8004/13764//4418/10178//8293//8587//8220//8544//8257//8526//8275//269//8527//8778//8545//8563//8581//8814//8796//8815//8832//8833//8850//8851//8868//8562//8580//8579//8578//8577//8864//8813//9154//9155//8598//8847//8848//8288//8002/13762//8289//8291//8846//9153//8290//8292//8849//8560//8561//8576//8797//8830//8831//8865//8866//8867//8869//8875//8995//8829,75.08804061062828,False,True,0.5908889538789672
4418,64.0,3.0,8.0,18.0,-191682.0,2234/15409/17713//4367/10127//7969/13729//7681/13441//9007//9157//8004/13764//4418/10178//8293//8587//8220//8544//8257//8526//8275//269//8527//8778//8545//8563//8581//8814//8796//8815//8832//8833//8850//8851//8868//8562//8580//8579//8578//8577//8864//8813//9154//9155//8598//8847//8848//8288//8002/13762//8289//8291//8846//9153//8290//8292//8849//8560//8561//8576//8797//8830//8831//8865//8866//8867//8869//8875//8995//8829,55.9888207361013,False,True,0.5721873125969844
8293,14.0,3.0,1.0,5.0,-51000.0,2234/15409/17713//4367/10127//7969/13729//7681/13441//9007//9157//8004/13764//4418/10178//8293//8587//8220//8544//8257//8526//8275//269//8527//8778//8545//8563//8581//8814//8796//8815//8832//8833//8850//8851//8868//8562//8580//8579//8578//8577//8864//8813//9154//9155//8598//8847//8848//8288//8002/13762//8289//8291//8846//9153//8290//8292//8849//8560//8561//8576//8797//8830//8831//8865//8866//8867//8869//8875//8995//8829,8.164874940541976e-05,False,True,0.08920541612249008
8587,14.0,2.0,1.0,4.0,-57016.0,2234/15409/17713//4367/10127//7969/13729//7681/13441//9007//9157//8004/13764//4418/10178//8293//8587//8220//8544//8257//8526//8275//269//8527//8778//8545//8563//8581//8814//8796//8815//8832//8833//8850//8851//8868//8562//8580//8579//8578//8577//8864//8813//9154//9155//8598//8847//8848//8288//8002/13762//8289//8291//8846//9153//8290//8292//8849//8560//8561//8576//8797//8830//8831//8865//8866//8867//8869//8875//8995//8829,7.108620098336897e-10,False,True,0.1891201352548837
8220,24.0,3.0,5.0,5.0,-55655.0,2234/15409/17713//4367/10127//7969/13729//7681/13441//9007//9157//8004/13764//4418/10178//8293//8587//8220//8544//8257//8526//8275//269//8527//8778//8545//8563//8581//8814//8796//8815//8832//8833//8850//8851//8868//8562//8580//8579//8578//8577//8864//8813//9154//9155//8598//8847//8848//8288//8002/13762//8289//8291//8846//9153//8290//8292//8849//8560//8561//8576//8797//8830//8831//8865//8866//8867//8869//8875//8995//8829,0.0,False,True,1.1739073993656175
8544,24.0,3.0,3.0,4.0,-52960.0,2234/15409/17713//4367/10127//7969/13729//7681/13441//9007//9157//8004/13764//4418/10178//8293//8587//8220//8544//8257//8526//8275//269//8527//8778//8545//8563//8581//8814//8796//8815//8832//8833//8850//8851//8868//8562//8580//8579//8578//8577//8864//8813//9154//9155//8598//8847//8848//8288//8002/13762//8289//8291//8846//9153//8290//8292//8849//8560//8561//8576//8797//8830//8831//8865//8866//8867//8869//8875//8995//8829,1.746134878871116e-05,False,True,0.16161509443701352
8257,14.0,3.0,3.0,5.0,-56515.0,2234/15409/17713//4367/10127//7969/13729//7681/13441//9007//9157//8004/13764//4418/10178//8293//8587//8220//8544//8257//8526//8275//269//8527//8778//8545//8563//8581//8814//8796//8815//8832//8833//8850//8851//8868//8562//8580//8579//8578//8577//8864//8813//9154//9155//8598//8847//8848//8288//8002/13762//8289//8291//8846//9153//8290//8292//8849//8560//8561//8576//8797//8830//8831//8865//8866//8867//8869//8875//8995//8829,0.0,False,True,0.05074262610314699
8526,24.0,3.0,4.0,4.0,-53760.0,2234/15409/17713//4367/10127//7969/13729//7681/13441//9007//9157//8004/13764//4418/10178//8293//8587//8220//8544//8257//8526//8275//269//8527//8778//8545//8563//8581//8814//8796//8815//8832//8833//8850//8851//8868//8562//8580//8579//8578//8577//8864//8813//9154//9155//8598//8847//8848//8288//8002/13762//8289//8291//8846//9153//8290//8292//8849//8560//8561//8576//8797//8830//8831//8865//8866//8867//8869//8875//8995//8829,0.0,False,True,0.03094721117599658
8275,14.0,3.0,2.0,5.0,-56790.0,2234/15409/17713//4367/10127//7969/13729//7681/13441//9007//9157//8004/13764//4418/10178//8293//8587//8220//8544//8257//8526//8275//269//8527//8778//8545//8563//8581//8814//8796//8815//8832//8833//8850//8851//8868//8562//8580//8579//8578//8577//8864//8813//9154//9155//8598//8847//8848//8288//8002/13762//8289//8291//8846//9153//8290//8292//8849//8560//8561//8576//8797//8830//8831//8865//8866//8867//8869//8875//8995//8829,0.0,False,True,0.11086276019166012
