index,confidence,hypo_step,max_arm_length,num_threads,target,memory_queue,acquisition,terminated,feasible,ml_mape
14166,24.0,2.0,12.0,31.0,-253146.0,370/14166/16470//3176/16037/18341//451/14220/16524//0/1//2/13921/16225//3//4/13922/16226//5//6/13923/16227//7/13924/16228//8/13925/16229//9//275//10795//6853/12613//7141/12901//6835/12595//6859/12619//6277/12037//5665/11425//5413/11173//4801/10561//5983/11743//8587//8287//9157//8563//8815//8725//8292//8526//9138//8874//7104/12864//7860/13620//8561//8507//7679/13439//9407//8002/13762//6850/12610//7948/13708//8560//8289//8217//9135//8576//8810//7406/13166//9152//7838/13598//8415//8434//8399//8594//6561/12321//6993/12753//5987/11747//6725/12485//7749/13509//8056/13816//8041/13801//8022/13782,,False,True,
16037,44.0,2.0,16.0,21.0,-213759.0,370/14166/16470//3176/16037/18341//451/14220/16524//0/1//2/13921/16225//3//4/13922/16226//5//6/13923/16227//7/13924/16228//8/13925/16229//9//275//10795//6853/12613//7141/12901//6835/12595//6859/12619//6277/12037//5665/11425//5413/11173//4801/10561//5983/11743//8587//8287//9157//8563//8815//8725//8292//8526//9138//8874//7104/12864//7860/13620//8561//8507//7679/13439//9407//8002/13762//6850/12610//7948/13708//8560//8289//8217//9135//8576//8810//7406/13166//9152//7838/13598//8415//8434//8399//8594//6561/12321//6993/12753//5987/11747//6725/12485//7749/13509//8056/13816//8041/13801//8022/13782,,False,True,
451,54.0,3.0,7.0,31.0,-204941.0,370/14166/16470//3176/16037/18341//451/14220/16524//0/1//2/13921/16225//3//4/13922/16226//5//6/13923/16227//7/13924/16228//8/13925/16229//9//275//10795//6853/12613//7141/12901//6835/12595//6859/12619//6277/12037//5665/11425//5413/11173//4801/10561//5983/11743//8587//8287//9157//8563//8815//8725//8292//8526//9138//8874//7104/12864//7860/13620//8561//8507//7679/13439//9407//8002/13762//6850/12610//7948/13708//8560//8289//8217//9135//8576//8810//7406/13166//9152//7838/13598//8415//8434//8399//8594//6561/12321//6993/12753//5987/11747//6725/12485//7749/13509//8056/13816//8041/13801//8022/13782,,False,True,
0,64.0,3.0,16.0,32.0,-274336.0,370/14166/16470//3176/16037/18341//451/14220/16524//0/1//2/13921/16225//3//4/13922/16226//5//6/13923/16227//7/13924/16228//8/13925/16229//9//275//10795//6853/12613//7141/12901//6835/12595//6859/12619//6277/12037//5665/11425//5413/11173//4801/10561//5983/11743//8587//8287//9157//8563//8815//8725//8292//8526//9138//8874//7104/12864//7860/13620//8561//8507//7679/13439//9407//8002/13762//6850/12610//7948/13708//8560//8289//8217//9135//8576//8810//7406/13166//9152//7838/13598//8415//8434//8399//8594//6561/12321//6993/12753//5987/11747//6725/12485//7749/13509//8056/13816//8041/13801//8022/13782,0.0,False,True,0.14929395899692083
2,44.0,3.0,16.0,32.0,-229504.0,370/14166/16470//3176/16037/18341//451/14220/16524//0/1//2/13921/16225//3//4/13922/16226//5//6/13923/16227//7/13924/16228//8/13925/16229//9//275//10795//6853/12613//7141/12901//6835/12595//6859/12619//6277/12037//5665/11425//5413/11173//4801/10561//5983/11743//8587//8287//9157//8563//8815//8725//8292//8526//9138//8874//7104/12864//7860/13620//8561//8507//7679/13439//9407//8002/13762//6850/12610//7948/13708//8560//8289//8217//9135//8576//8810//7406/13166//9152//7838/13598//8415//8434//8399//8594//6561/12321//6993/12753//5987/11747//6725/12485//7749/13509//8056/13816//8041/13801//8022/13782,0.0,False,True,0.19984582191223768
3,34.0,3.0,16.0,32.0,-225216.0,370/14166/16470//3176/16037/18341//451/14220/16524//0/1//2/13921/16225//3//4/13922/16226//5//6/13923/16227//7/13924/16228//8/13925/16229//9//275//10795//6853/12613//7141/12901//6835/12595//6859/12619//6277/12037//5665/11425//5413/11173//4801/10561//5983/11743//8587//8287//9157//8563//8815//8725//8292//8526//9138//8874//7104/12864//7860/13620//8561//8507//7679/13439//9407//8002/13762//6850/12610//7948/13708//8560//8289//8217//9135//8576//8810//7406/13166//9152//7838/13598//8415//8434//8399//8594//6561/12321//6993/12753//5987/11747//6725/12485//7749/13509//8056/13816//8041/13801//8022/13782,0.0,False,True,0.057072735752524265
4,24.0,3.0,16.0,32.0,-242112.0,370/14166/16470//3176/16037/18341//451/14220/16524//0/1//2/13921/16225//3//4/13922/16226//5//6/13923/16227//7/13924/16228//8/13925/16229//9//275//10795//6853/12613//7141/12901//6835/12595//6859/12619//6277/12037//5665/11425//5413/11173//4801/10561//5983/11743//8587//8287//9157//8563//8815//8725//8292//8526//9138//8874//7104/12864//7860/13620//8561//8507//7679/13439//9407//8002/13762//6850/12610//7948/13708//8560//8289//8217//9135//8576//8810//7406/13166//9152//7838/13598//8415//8434//8399//8594//6561/12321//6993/12753//5987/11747//6725/12485//7749/13509//8056/13816//8041/13801//8022/13782,0.0,False,True,0.037575450971874286
5,14.0,3.0,16.0,32.0,-225216.0,370/14166/16470//3176/16037/18341//451/14220/16524//0/1//2/13921/16225//3//4/13922/16226//5//6/13923/16227//7/13924/16228//8/13925/16229//9//275//10795//6853/12613//7141/12901//6835/12595//6859/12619//6277/12037//5665/11425//5413/11173//4801/10561//5983/11743//8587//8287//9157//8563//8815//8725//8292//8526//9138//8874//7104/12864//7860/13620//8561//8507//7679/13439//9407//8002/13762//6850/12610//7948/13708//8560//8289//8217//9135//8576//8810//7406/13166//9152//7838/13598//8415//8434//8399//8594//6561/12321//6993/12753//5987/11747//6725/12485//7749/13509//8056/13816//8041/13801//8022/13782,0.0,False,True,0.2011332491788919
6,64.0,2.0,16.0,32.0,-256480.0,370/14166/16470//3176/16037/18341//451/14220/16524//0/1//2/13921/16225//3//4/13922/16226//5//6/13923/16227//7/13924/16228//8/13925/16229//9//275//10795//6853/12613//7141/12901//6835/12595//6859/12619//6277/12037//5665/11425//5413/11173//4801/10561//5983/11743//8587//8287//9157//8563//8815//8725//8292//8526//9138//8874//7104/12864//7860/13620//8561//8507//7679/13439//9407//8002/13762//6850/12610//7948/13708//8560//8289//8217//9135//8576//8810//7406/13166//9152//7838/13598//8415//8434//8399//8594//6561/12321//6993/12753//5987/11747//6725/12485//7749/13509//8056/13816//8041/13801//8022/13782,0.0,False,True,0.13649122451863238
7,54.0,2.0,16.0,32.0,-262176.0,370/14166/16470//3176/16037/18341//451/14220/16524//0/1//2/13921/16225//3//4/13922/16226//5//6/13923/16227//7/13924/16228//8/13925/16229//9//275//10795//6853/12613//7141/12901//6835/12595//6859/12619//6277/12037//5665/11425//5413/11173//4801/10561//5983/11743//8587//8287//9157//8563//8815//8725//8292//8526//9138//8874//7104/12864//7860/13620//8561//8507//7679/13439//9407//8002/13762//6850/12610//7948/13708//8560//8289//8217//9135//8576//8810//7406/13166//9152//7838/13598//8415//8434//8399//8594//6561/12321//6993/12753//5987/11747//6725/12485//7749/13509//8056/13816//8041/13801//8022/13782,0.0,False,True,0.09253800949741191
8,44.0,2.0,16.0,32.0,-308416.0,370/14166/16470//3176/16037/18341//451/14220/16524//0/1//2/13921/16225//3//4/13922/16226//5//6/13923/16227//7/13924/16228//8/13925/16229//9//275//10795//6853/12613//7141/12901//6835/12595//6859/12619//6277/12037//5665/11425//5413/11173//4801/10561//5983/11743//8587//8287//9157//8563//8815//8725//8292//8526//9138//8874//7104/12864//7860/13620//8561//8507//7679/13439//9407//8002/13762//6850/12610//7948/13708//8560//8289//8217//9135//8576//8810//7406/13166//9152//7838/13598//8415//8434//8399//8594//6561/12321//6993/12753//5987/11747//6725/12485//7749/13509//8056/13816//8041/13801//8022/13782,0.0,False,True,0.11019984733625474
9,34.0,2.0,16.0,32.0,-298944.0,370/14166/16470//3176/16037/18341//451/14220/16524//0/1//2/13921/16225//3//4/13922/16226//5//6/13923/16227//7/13924/16228//8/13925/16229//9//275//10795//6853/12613//7141/12901//6835/12595//6859/12619//6277/12037//5665/11425//5413/11173//4801/10561//5983/11743//8587//8287//9157//8563//8815//8725//8292//8526//9138//8874//7104/12864//7860/13620//8561//8507//7679/13439//9407//8002/13762//6850/12610//7948/13708//8560//8289//8217//9135//8576//8810//7406/13166//9152//7838/13598//8415//8434//8399//8594//6561/12321//6993/12753//5987/11747//6725/12485//7749/13509//8056/13816//8041/13801//8022/13782,0.0,False,True,0.13616404450566688
275,14.0,3.0,1.0,32.0,-211808.0,370/14166/16470//3176/16037/18341//451/14220/16524//0/1//2/13921/16225//3//4/13922/16226//5//6/13923/16227//7/13924/16228//8/13925/16229//9//275//10795//6853/12613//7141/12901//6835/12595//6859/12619//6277/12037//5665/11425//5413/11173//4801/10561//5983/11743//8587//8287//9157//8563//8815//8725//8292//8526//9138//8874//7104/12864//7860/13620//8561//8507//7679/13439//9407//8002/13762//6850/12610//7948/13708//8560//8289//8217//9135//8576//8810//7406/13166//9152//7838/13598//8415//8434//8399//8594//6561/12321//6993/12753//5987/11747//6725/12485//7749/13509//8056/13816//8041/13801//8022/13782,5.926946652844417e-13,False,True,0.9067727994618452
10795,14.0,3.0,6.0,16.0,-114720.0,370/14166/16470//3176/16037/18341//451/14220/16524//0/1//2/13921/16225//3//4/13922/16226//5//6/13923/16227//7/13924/16228//8/13925/16229//9//275//10795//6853/12613//7141/12901//6835/12595//6859/12619//6277/12037//5665/11425//5413/11173//4801/10561//5983/11743//8587//8287//9157//8563//8815//8725//8292//8526//9138//8874//7104/12864//7860/13620//8561//8507//7679/13439//9407//8002/13762//6850/12610//7948/13708//8560//8289//8217//9135//8576//8810//7406/13166//9152//7838/13598//8415//8434//8399//8594//6561/12321//6993/12753//5987/11747//6725/12485//7749/13509//8056/13816//8041/13801//8022/13782,3.97871036592213e-12,False,True,0.47526767550653026
6853,14.0,3.0,1.0,10.0,-77510.0,370/14166/16470//3176/16037/18341//451/14220/16524//0/1//2/13921/16225//3//4/13922/16226//5//6/13923/16227//7/13924/16228//8/13925/16229//9//275//10795//6853/12613//7141/12901//6835/12595//6859/12619//6277/12037//5665/11425//5413/11173//4801/10561//5983/11743//8587//8287//9157//8563//8815//8725//8292//8526//9138//8874//7104/12864//7860/13620//8561//8507//7679/13439//9407//8002/13762//6850/12610//7948/13708//8560//8289//8217//9135//8576//8810//7406/13166//9152//7838/13598//8415//8434//8399//8594//6561/12321//6993/12753//5987/11747//6725/12485//7749/13509//8056/13816//8041/13801//8022/13782,4.269610286774586e-06,False,True,0.34474045855604074
7141,14.0,3.0,1.0,9.0,-94500.0,370/14166/16470//3176/16037/18341//451/14220/16524//0/1//2/13921/16225//3//4/13922/16226//5//6/13923/16227//7/13924/16228//8/13925/16229//9//275//10795//6853/12613//7141/12901//6835/12595//6859/12619//6277/12037//5665/11425//5413/11173//4801/10561//5983/11743//8587//8287//9157//8563//8815//8725//8292//8526//9138//8874//7104/12864//7860/13620//8561//8507//7679/13439//9407//8002/13762//6850/12610//7948/13708//8560//8289//8217//9135//8576//8810//7406/13166//9152//7838/13598//8415//8434//8399//8594//6561/12321//6993/12753//5987/11747//6725/12485//7749/13509//8056/13816//8041/13801//8022/13782,0.40617582955615483,False,True,0.2517465702105191
