index,confidence,hypo_step,max_arm_length,num_threads,target,memory_queue,acquisition,terminated,feasible,ml_mape
5354,64.0,3.0,4.0,15.0,-100935.0,5354/11114//2517//7602/13362//5642/11402//7370/13130//7083/12843//8805//5349/11109//7948/13708//9112//6796/12556//8320//8237//9053//9407//7790/13550//8815//7663/13423//8989//8881//8579//7714/13474//4207/9967//9156//8010/13770//252/14087/16391//239//5816/11576//9206//6560/12320//9314//8895//7139/12899//7445/13205//6019/11779//8001/13761//6017/11777//272/14101/16405//6565/12325//6276/12036//6579/12339//8294//7264/13024//7553/13313//5440/11200//7734/13494//7263/13023//1817//121/14000/16304//274/14102/16406//4272/10032//6727/12487//8256//7735/13495//6866/12626//51//12/13927/16231//8293//6402/12162//7843/13603//6561/12321//4270/10030//7428/13188,,False,True,
2517,34.0,1.0,5.0,24.0,-277824.0,5354/11114//2517//7602/13362//5642/11402//7370/13130//7083/12843//8805//5349/11109//7948/13708//9112//6796/12556//8320//8237//9053//9407//7790/13550//8815//7663/13423//8989//8881//8579//7714/13474//4207/9967//9156//8010/13770//252/14087/16391//239//5816/11576//9206//6560/12320//9314//8895//7139/12899//7445/13205//6019/11779//8001/13761//6017/11777//272/14101/16405//6565/12325//6276/12036//6579/12339//8294//7264/13024//7553/13313//5440/11200//7734/13494//7263/13023//1817//121/14000/16304//274/14102/16406//4272/10032//6727/12487//8256//7735/13495//6866/12626//51//12/13927/16231//8293//6402/12162//7843/13603//6561/12321//4270/10030//7428/13188,,False,True,
13362,24.0,1.0,8.0,7.0,-146867.0,5354/11114//2517//7602/13362//5642/11402//7370/13130//7083/12843//8805//5349/11109//7948/13708//9112//6796/12556//8320//8237//9053//9407//7790/13550//8815//7663/13423//8989//8881//8579//7714/13474//4207/9967//9156//8010/13770//252/14087/16391//239//5816/11576//9206//6560/12320//9314//8895//7139/12899//7445/13205//6019/11779//8001/13761//6017/11777//272/14101/16405//6565/12325//6276/12036//6579/12339//8294//7264/13024//7553/13313//5440/11200//7734/13494//7263/13023//1817//121/14000/16304//274/14102/16406//4272/10032//6727/12487//8256//7735/13495//6866/12626//51//12/13927/16231//8293//6402/12162//7843/13603//6561/12321//4270/10030//7428/13188,,False,False,
5642,64.0,3.0,4.0,14.0,-86044.0,5354/11114//2517//7602/13362//5642/11402//7370/13130//7083/12843//8805//5349/11109//7948/13708//9112//6796/12556//8320//8237//9053//9407//7790/13550//8815//7663/13423//8989//8881//8579//7714/13474//4207/9967//9156//8010/13770//252/14087/16391//239//5816/11576//9206//6560/12320//9314//8895//7139/12899//7445/13205//6019/11779//8001/13761//6017/11777//272/14101/16405//6565/12325//6276/12036//6579/12339//8294//7264/13024//7553/13313//5440/11200//7734/13494//7263/13023//1817//121/14000/16304//274/14102/16406//4272/10032//6727/12487//8256//7735/13495//6866/12626//51//12/13927/16231//8293//6402/12162//7843/13603//6561/12321//4270/10030//7428/13188,125.95539010159489,False,True,0.20105994550589576
7370,64.0,3.0,4.0,8.0,-73464.0,5354/11114//2517//7602/13362//5642/11402//7370/13130//7083/12843//8805//5349/11109//7948/13708//9112//6796/12556//8320//8237//9053//9407//7790/13550//8815//7663/13423//8989//8881//8579//7714/13474//4207/9967//9156//8010/13770//252/14087/16391//239//5816/11576//9206//6560/12320//9314//8895//7139/12899//7445/13205//6019/11779//8001/13761//6017/11777//272/14101/16405//6565/12325//6276/12036//6579/12339//8294//7264/13024//7553/13313//5440/11200//7734/13494//7263/13023//1817//121/14000/16304//274/14102/16406//4272/10032//6727/12487//8256//7735/13495//6866/12626//51//12/13927/16231//8293//6402/12162//7843/13603//6561/12321//4270/10030//7428/13188,890.7118325760904,False,True,0.9037472887155683
7083,54.0,3.0,4.0,9.0,-77166.0,5354/11114//2517//7602/13362//5642/11402//7370/13130//7083/12843//8805//5349/11109//7948/13708//9112//6796/12556//8320//8237//9053//9407//7790/13550//8815//7663/13423//8989//8881//8579//7714/13474//4207/9967//9156//8010/13770//252/14087/16391//239//5816/11576//9206//6560/12320//9314//8895//7139/12899//7445/13205//6019/11779//8001/13761//6017/11777//272/14101/16405//6565/12325//6276/12036//6579/12339//8294//7264/13024//7553/13313//5440/11200//7734/13494//7263/13023//1817//121/14000/16304//274/14102/16406//4272/10032//6727/12487//8256//7735/13495//6866/12626//51//12/13927/16231//8293//6402/12162//7843/13603//6561/12321//4270/10030//7428/13188,425.8114605739781,False,True,0.17506640941731438
8805,54.0,1.0,5.0,3.0,-119934.0,5354/11114//2517//7602/13362//5642/11402//7370/13130//7083/12843//8805//5349/11109//7948/13708//9112//6796/12556//8320//8237//9053//9407//7790/13550//8815//7663/13423//8989//8881//8579//7714/13474//4207/9967//9156//8010/13770//252/14087/16391//239//5816/11576//9206//6560/12320//9314//8895//7139/12899//7445/13205//6019/11779//8001/13761//6017/11777//272/14101/16405//6565/12325//6276/12036//6579/12339//8294//7264/13024//7553/13313//5440/11200//7734/13494//7263/13023//1817//121/14000/16304//274/14102/16406//4272/10032//6727/12487//8256//7735/13495//6866/12626//51//12/13927/16231//8293//6402/12162//7843/13603//6561/12321//4270/10030//7428/13188,315.666725526508,False,False,0.6785138794309111
5349,54.0,1.0,5.0,15.0,-175845.0,5354/11114//2517//7602/13362//5642/11402//7370/13130//7083/12843//8805//5349/11109//7948/13708//9112//6796/12556//8320//8237//9053//9407//7790/13550//8815//7663/13423//8989//8881//8579//7714/13474//4207/9967//9156//8010/13770//252/14087/16391//239//5816/11576//9206//6560/12320//9314//8895//7139/12899//7445/13205//6019/11779//8001/13761//6017/11777//272/14101/16405//6565/12325//6276/12036//6579/12339//8294//7264/13024//7553/13313//5440/11200//7734/13494//7263/13023//1817//121/14000/16304//274/14102/16406//4272/10032//6727/12487//8256//7735/13495//6866/12626//51//12/13927/16231//8293//6402/12162//7843/13603//6561/12321//4270/10030//7428/13188,131.8672745196622,False,True,0.20668339617075868
7948,44.0,3.0,4.0,6.0,-57414.0,5354/11114//2517//7602/13362//5642/11402//7370/13130//7083/12843//8805//5349/11109//7948/13708//9112//6796/12556//8320//8237//9053//9407//7790/13550//8815//7663/13423//8989//8881//8579//7714/13474//4207/9967//9156//8010/13770//252/14087/16391//239//5816/11576//9206//6560/12320//9314//8895//7139/12899//7445/13205//6019/11779//8001/13761//6017/11777//272/14101/16405//6565/12325//6276/12036//6579/12339//8294//7264/13024//7553/13313//5440/11200//7734/13494//7263/13023//1817//121/14000/16304//274/14102/16406//4272/10032//6727/12487//8256//7735/13495//6866/12626//51//12/13927/16231//8293//6402/12162//7843/13603//6561/12321//4270/10030//7428/13188,92.0796334580648,False,True,0.015096906262165585
9112,44.0,1.0,4.0,2.0,-117164.0,5354/11114//2517//7602/13362//5642/11402//7370/13130//7083/12843//8805//5349/11109//7948/13708//9112//6796/12556//8320//8237//9053//9407//7790/13550//8815//7663/13423//8989//8881//8579//7714/13474//4207/9967//9156//8010/13770//252/14087/16391//239//5816/11576//9206//6560/12320//9314//8895//7139/12899//7445/13205//6019/11779//8001/13761//6017/11777//272/14101/16405//6565/12325//6276/12036//6579/12339//8294//7264/13024//7553/13313//5440/11200//7734/13494//7263/13023//1817//121/14000/16304//274/14102/16406//4272/10032//6727/12487//8256//7735/13495//6866/12626//51//12/13927/16231//8293//6402/12162//7843/13603//6561/12321//4270/10030//7428/13188,233.35162880197754,False,False,0.7261448402970031
