index,confidence,hypo_step,max_arm_length,num_threads,target,memory_queue,acquisition,terminated,feasible,ml_mape
6227,34.0,2.0,4.0,12.0,-89616.0,6227/11987//7271/13031//2473/15568/17872//6553/12313//887//6497/12257//5111/10871//6857/12617//7705/13465//7345/13105//8827//5881/11641//7751/13511//6587/12347//8669//8885//6601/12361//7750/13510//6292/12052//7558/13318//7197/12957//5426/11186//5854/11614//8674//6498/12258//4855/10615//9035//1449//8022/13782//8599//8976//6/13923/16227//7076/12836//8878//8312//9174//2591//8880//8805//8883//3450/16219/18523//284/14109/16413//4563/10323//9326//9455//9255//6861/12621//9164//9172//7836/13596//9354//9265//8095/13855//9334//5430/11190//6850/12610//9441//8577//282/14107/16411//8218//5412/11172//7140/12900//9444,,False,True,
7271,34.0,2.0,10.0,8.0,-96608.0,6227/11987//7271/13031//2473/15568/17872//6553/12313//887//6497/12257//5111/10871//6857/12617//7705/13465//7345/13105//8827//5881/11641//7751/13511//6587/12347//8669//8885//6601/12361//7750/13510//6292/12052//7558/13318//7197/12957//5426/11186//5854/11614//8674//6498/12258//4855/10615//9035//1449//8022/13782//8599//8976//6/13923/16227//7076/12836//8878//8312//9174//2591//8880//8805//8883//3450/16219/18523//284/14109/16413//4563/10323//9326//9455//9255//6861/12621//9164//9172//7836/13596//9354//9265//8095/13855//9334//5430/11190//6850/12610//9441//8577//282/14107/16411//8218//5412/11172//7140/12900//9444,,False,True,
2473,54.0,2.0,7.0,24.0,-183720.0,6227/11987//7271/13031//2473/15568/17872//6553/12313//887//6497/12257//5111/10871//6857/12617//7705/13465//7345/13105//8827//5881/11641//7751/13511//6587/12347//8669//8885//6601/12361//7750/13510//6292/12052//7558/13318//7197/12957//5426/11186//5854/11614//8674//6498/12258//4855/10615//9035//1449//8022/13782//8599//8976//6/13923/16227//7076/12836//8878//8312//9174//2591//8880//8805//8883//3450/16219/18523//284/14109/16413//4563/10323//9326//9455//9255//6861/12621//9164//9172//7836/13596//9354//9265//8095/13855//9334//5430/11190//6850/12610//9441//8577//282/14107/16411//8218//5412/11172//7140/12900//9444,,False,True,
6553,14.0,2.0,2.0,11.0,-90244.0,6227/11987//7271/13031//2473/15568/17872//6553/12313//887//6497/12257//5111/10871//6857/12617//7705/13465//7345/13105//8827//5881/11641//7751/13511//6587/12347//8669//8885//6601/12361//7750/13510//6292/12052//7558/13318//7197/12957//5426/11186//5854/11614//8674//6498/12258//4855/10615//9035//1449//8022/13782//8599//8976//6/13923/16227//7076/12836//8878//8312//9174//2591//8880//8805//8883//3450/16219/18523//284/14109/16413//4563/10323//9326//9455//9255//6861/12621//9164//9172//7836/13596//9354//9265//8095/13855//9334//5430/11190//6850/12610//9441//8577//282/14107/16411//8218//5412/11172//7140/12900//9444,6.389990973472506,False,True,0.3677267716506404
887,14.0,3.0,15.0,29.0,-200158.0,6227/11987//7271/13031//2473/15568/17872//6553/12313//887//6497/12257//5111/10871//6857/12617//7705/13465//7345/13105//8827//5881/11641//7751/13511//6587/12347//8669//8885//6601/12361//7750/13510//6292/12052//7558/13318//7197/12957//5426/11186//5854/11614//8674//6498/12258//4855/10615//9035//1449//8022/13782//8599//8976//6/13923/16227//7076/12836//8878//8312//9174//2591//8880//8805//8883//3450/16219/18523//284/14109/16413//4563/10323//9326//9455//9255//6861/12621//9164//9172//7836/13596//9354//9265//8095/13855//9334//5430/11190//6850/12610//9441//8577//282/14107/16411//8218//5412/11172//7140/12900//9444,4.516221873810246,False,True,1.4112952060734902
6497,34.0,2.0,5.0,11.0,-108438.0,6227/11987//7271/13031//2473/15568/17872//6553/12313//887//6497/12257//5111/10871//6857/12617//7705/13465//7345/13105//8827//5881/11641//7751/13511//6587/12347//8669//8885//6601/12361//7750/13510//6292/12052//7558/13318//7197/12957//5426/11186//5854/11614//8674//6498/12258//4855/10615//9035//1449//8022/13782//8599//8976//6/13923/16227//7076/12836//8878//8312//9174//2591//8880//8805//8883//3450/16219/18523//284/14109/16413//4563/10323//9326//9455//9255//6861/12621//9164//9172//7836/13596//9354//9265//8095/13855//9334//5430/11190//6850/12610//9441//8577//282/14107/16411//8218//5412/11172//7140/12900//9444,11.319650291919158,False,True,0.17006510790956525
5111,34.0,2.0,2.0,16.0,-140896.0,6227/11987//7271/13031//2473/15568/17872//6553/12313//887//6497/12257//5111/10871//6857/12617//7705/13465//7345/13105//8827//5881/11641//7751/13511//6587/12347//8669//8885//6601/12361//7750/13510//6292/12052//7558/13318//7197/12957//5426/11186//5854/11614//8674//6498/12258//4855/10615//9035//1449//8022/13782//8599//8976//6/13923/16227//7076/12836//8878//8312//9174//2591//8880//8805//8883//3450/16219/18523//284/14109/16413//4563/10323//9326//9455//9255//6861/12621//9164//9172//7836/13596//9354//9265//8095/13855//9334//5430/11190//6850/12610//9441//8577//282/14107/16411//8218//5412/11172//7140/12900//9444,14.259607276866735,False,True,1.0861848799643992
6857,34.0,2.0,1.0,10.0,-101090.0,6227/11987//7271/13031//2473/15568/17872//6553/12313//887//6497/12257//5111/10871//6857/12617//7705/13465//7345/13105//8827//5881/11641//7751/13511//6587/12347//8669//8885//6601/12361//7750/13510//6292/12052//7558/13318//7197/12957//5426/11186//5854/11614//8674//6498/12258//4855/10615//9035//1449//8022/13782//8599//8976//6/13923/16227//7076/12836//8878//8312//9174//2591//8880//8805//8883//3450/16219/18523//284/14109/16413//4563/10323//9326//9455//9255//6861/12621//9164//9172//7836/13596//9354//9265//8095/13855//9334//5430/11190//6850/12610//9441//8577//282/14107/16411//8218//5412/11172//7140/12900//9444,3.0950432502705283,False,True,0.586595612971005
7705,14.0,2.0,2.0,7.0,-76685.0,6227/11987//7271/13031//2473/15568/17872//6553/12313//887//6497/12257//5111/10871//6857/12617//7705/13465//7345/13105//8827//5881/11641//7751/13511//6587/12347//8669//8885//6601/12361//7750/13510//6292/12052//7558/13318//7197/12957//5426/11186//5854/11614//8674//6498/12258//4855/10615//9035//1449//8022/13782//8599//8976//6/13923/16227//7076/12836//8878//8312//9174//2591//8880//8805//8883//3450/16219/18523//284/14109/16413//4563/10323//9326//9455//9255//6861/12621//9164//9172//7836/13596//9354//9265//8095/13855//9334//5430/11190//6850/12610//9441//8577//282/14107/16411//8218//5412/11172//7140/12900//9444,2.5556810552371356,False,True,1.4264383049830707
7345,14.0,2.0,6.0,8.0,-86816.0,6227/11987//7271/13031//2473/15568/17872//6553/12313//887//6497/12257//5111/10871//6857/12617//7705/13465//7345/13105//8827//5881/11641//7751/13511//6587/12347//8669//8885//6601/12361//7750/13510//6292/12052//7558/13318//7197/12957//5426/11186//5854/11614//8674//6498/12258//4855/10615//9035//1449//8022/13782//8599//8976//6/13923/16227//7076/12836//8878//8312//9174//2591//8880//8805//8883//3450/16219/18523//284/14109/16413//4563/10323//9326//9455//9255//6861/12621//9164//9172//7836/13596//9354//9265//8095/13855//9334//5430/11190//6850/12610//9441//8577//282/14107/16411//8218//5412/11172//7140/12900//9444,5.737783098529878,False,True,1.0601648571696094
