ml_bounds,ml_target,consider_only_true_max,epsilon_greedy,adaptive_method_kernel,af,threshold,error (%),std_dev (%),error_cleaned (%),std_dev_cleaned (%),feasible_values_found (%),avg_time (sec)
indicator,None,True,True,None,eic,205000,inf,inf,1.579,0.134,40.0,15.63
indicator,None,True,True,RBF,eic,205000,inf,inf,1.607,0.118,13.333,52.888
indicator,None,True,True,RBF,ucb,205000,inf,inf,2.252,2.287,80.0,214.91
indicator,None,True,True,Matern,eic,205000,inf,inf,1.542,0.006,16.667,127.019
indicator,None,True,True,Matern,ucb,205000,inf,inf,3.238,3.264,76.667,395.1
indicator,None,True,False,None,eic,205000,inf,inf,2.378,2.448,26.667,15.229
indicator,None,True,False,RBF,eic,205000,inf,inf,1.347,0.509,26.667,58.715
indicator,None,True,False,RBF,ucb,205000,inf,inf,2.45,2.393,93.333,217.399
indicator,None,True,False,Matern,eic,205000,inf,inf,1.483,0.149,26.667,127.766
indicator,None,True,False,Matern,ucb,205000,inf,inf,3.089,2.922,93.333,360.475
indicator,None,False,True,None,eic,205000,inf,inf,2.073,1.822,90.0,20.881
indicator,None,False,True,RBF,eic,205000,inf,inf,2.249,2.086,66.667,81.961
indicator,None,False,True,RBF,ucb,205000,inf,inf,4.169,3.345,63.333,264.818
indicator,None,False,True,Matern,eic,205000,inf,inf,1.529,0.052,83.333,128.86
indicator,None,False,True,Matern,ucb,205000,inf,inf,5.457,3.77,63.333,442.129
indicator,None,False,False,None,eic,205000,inf,inf,2.046,1.878,90.0,22.216
indicator,None,False,False,RBF,eic,205000,inf,inf,1.988,1.866,90.0,79.181
indicator,None,False,False,RBF,ucb,205000,inf,inf,3.619,3.221,96.667,257.173
indicator,None,False,False,Matern,eic,205000,inf,inf,2.391,2.313,80.0,118.365
indicator,None,False,False,Matern,ucb,205000,5.308,3.491,5.308,3.491,100.0,319.089
indicator,indicator,True,True,None,eic,205000,inf,inf,1.579,0.134,40.0,17.089
indicator,indicator,True,True,RBF,eic,205000,inf,inf,1.607,0.118,13.333,55.516
indicator,indicator,True,True,RBF,ucb,205000,inf,inf,1.578,0.132,80.0,207.865
indicator,indicator,True,True,Matern,eic,205000,inf,inf,1.542,0.006,16.667,128.004
indicator,indicator,True,True,Matern,ucb,205000,inf,inf,1.851,1.426,76.667,362.17
indicator,indicator,True,False,None,eic,205000,inf,inf,2.378,2.448,26.667,14.729
indicator,indicator,True,False,RBF,eic,205000,inf,inf,1.347,0.509,26.667,60.197
indicator,indicator,True,False,RBF,ucb,205000,inf,inf,1.489,0.292,93.333,204.213
indicator,indicator,True,False,Matern,eic,205000,inf,inf,1.483,0.149,26.667,137.514
indicator,indicator,True,False,Matern,ucb,205000,inf,inf,1.81,1.294,93.333,372.527
indicator,indicator,False,True,None,eic,205000,inf,inf,6.138,3.6,96.667,21.738
indicator,indicator,False,True,RBF,eic,205000,inf,inf,6.354,3.297,93.333,89.958
indicator,indicator,False,True,RBF,ucb,205000,inf,inf,5.104,3.501,93.333,267.284
